horse_id	生年月日	調教師	馬主	生産者	産地	セリ取引価格	獲得賞金	通算成績
2013103896	2013-04-23	石栗龍彦	奈村信重	伊藤和明	新ひだか町	-	550000	0-7-5-84
2013101759	2013-02-05	手塚貴久	落合幸弘	新冠橋本牧場	新冠町	-	0	0-0-0-6
2013106451	2013-05-01	古賀史生	ドリームジャパンホースレーシング	山春牧場	浦河町	-	0	0-0-0-3
2013101458	2013-02-27	城地俊光	藤村忠三郎	コスモヴューファーム	新冠町	-	450000	2-0-3-11
2013103581	2013-04-18	牧田和弥	キャピタル・システム	辻牧場	浦河町	8100000	0	0-0-0-1
2013105677	2013-05-22	長谷川浩	社台レースホース	社台ファーム	千歳市	-	18360000	3-6-10-25
2013105809	2013-03-07	武井亮	吉田和美	ノーザンファーム	安平町	8400000	168480000	0-1-1-5
2013100828	2013-05-09	安田隆行	金子真人ホールディングス	日高大洋牧場	日高町	-	0	0-0-0-4
2013110110	2013-04-03	木村哲也	猪熊広次	Hidden Brook Farm	米	-	56070000	4-2-1-5
2013104718	2013-04-28	蛯名利弘	加藤信之	原達也	新ひだか町	1620000	0	0-0-0-2
2013103928	2013-03-28	大江原哲	岡田牧雄	岡田スタッド	新ひだか町	-	1850000	9-0-1-27
2013101354	2013-04-25	高橋義博	高橋信博	上井農場	新冠町	-	0	0-0-0-5
2013100327	2013-03-30	角田輝也	新田嘉一	下河辺牧場	日高町	-	70000	0-1-1-4
2013102161	2013-03-27	天間昭一	ＬＳ．Ｍ	正和山本牧場	日高町	2590000	330000	1-3-0-10
2013103035	2013-04-30	服部利之	山本武司	冨岡牧場	浦河町	3240000	5110000	11-8-10-23
2013101026	2013-05-22	平沢芳三	中川健	ヤナガワ牧場	日高町	-	2001890000	5-10-11-54
2013100841	2013-05-05	川田孝好	竹園正繼	日高テイエム牧場	日高町	-	370000	2-2-0-6
2013106117	2013-04-02	小西一男	キャロットファーム	ノーザンファーム	安平町	-	1100000	0-0-0-2
2013105539	2013-04-30	中竹和也	社台レースホース	社台ファーム	千歳市	-	110470000	5-5-2-23
2013103589	2013-05-15	柄崎孝	三度屋	辻牧場	浦河町	-	86963810000	4-11-8-25
2013104209	2013-05-13	小久保智	飯田訓大	坂本智広	新ひだか町	-	40313960000	3-2-2-7
2013103564	2013-05-09	友道康夫	近藤旬子	辻牧場	浦河町	-	75190000	4-4-2-11
2013102056	2013-03-21	矢作芳人	国本哲秀	ムラカミファーム	新冠町	-	0	0-0-0-1
2013105333	2013-01-10	藤岡健一	社台レースホース	社台コーポレーション白老ファーム	白老町	-	700000	0-0-0-3
2013101730	2013-05-24	平田修	八木良司	八木牧場	新冠町	-	0	0-0-0-3
2013102424	2013-04-06	田中剛	前田幸治	土居忠吉	新ひだか町	-	21220000	2-1-1-16
2013100792	2013-03-15	伊藤強一	小野博郷	浜本牧場	日高町	-	130000	0-1-2-9
2013102865	2013-03-29	相沢郁	則武輝一	北俣ファーム	浦河町	-	460000	1-2-5-10
2013102166	2013-05-15	佐藤吉勝	平本敏夫	川上牧場	新冠町	-	0	0-0-0-4
2013105406	2013-05-16	宗像義忠	社台レースホース	社台ファーム	千歳市	-	6880000	0-1-3-6
2013105693	2013-02-06	玉垣光章	佐藤新吾	社台ファーム	千歳市	54600000	23604850000	4-7-6-34
2013104480	2013-04-08	奥村武	窪田康志	千代田牧場	新ひだか町	-	70000	0-0-0-5
2013106005	2013-02-08	藤沢和雄	サンデーレーシング	ノーザンファーム	安平町	-	128130000	3-2-0-2
2013105959	2013-04-05	石毛善彦	イージス	ノーザンファーム	安平町	24840000	25950000	2-4-1-23
2013103060	2013-03-04	九日俊光	森中蕃	中村雅明	浦河町	-	1270000	6-0-0-12
2013100462	2013-03-01	吉村圭司	坂東勝彦	シンボリ牧場	日高町	4860000	1650000	5-2-8-34
2013103730	2013-05-05	新開幸一	加藤貴子	丸幸小林牧場	浦河町	2800000	9300000	0-4-1-3
2013105776	2013-02-14	松下武士	近藤英子	ノーザンファーム	安平町	36750000	5400000	1-0-0-8
2013102406	2013-04-13	勢司和浩	内海正章	土田農場	新ひだか町	6040000	0	0-0-0-1
2013103758	2013-04-29	西園正都	栄進堂	三嶋牧場	浦河町	-	12060000	0-0-1-7
2013105623	2013-04-24	平田修	里見治	社台ファーム	千歳市	24840000	0	0-0-0-4
2013104614	2013-03-31	鈴木孝志	柏木務	鳥谷勝彦	新ひだか町	7560000	0	0-0-0-2
2013106108	2013-01-30	堀宣行	金子真人ホールディングス	ノーザンファーム	安平町	-	122210000	5-2-0-6
2013102723	2013-04-16	佐藤吉勝	古川智洋	土井仁	様似町	5400000	0	0-0-0-3
2013103207	2013-05-23	長南和宏	山岡良一	畔高牧場	浦河町	-	144370000	1-0-0-4
2013104453	2013-04-22	佐々木晶	サトー	千代田牧場	新ひだか町	19440000	2280000	0-0-1-10
2013102200	2013-03-16	杉浦宏昭	加藤信之	大平牧場	新ひだか町	-	1100000	0-0-0-12
2013100822	2013-03-02	村山明	キャピタル・システム	日高大洋牧場	日高町	7450000	1820000	6-8-6-51
2013104278	2013-04-14	萱野浩二	鹿倉勝爾	静内フジカワ牧場	新ひだか町	-	2404480000	3-1-5-22
2013102954	2013-04-27	大江原哲	井上一郎	小島牧場	浦河町	-	5000000	1-0-0-7
2013102349	2013-04-28	栗田徹	山口功一郎	下屋敷牧場	新ひだか町	18360000	4011590000	3-4-5-10
2013101779	2013-02-24	千田輝彦	土井肇	錦岡牧場	新冠町	-	79150000	5-1-8-31
2013101765	2013-04-09	松田国英	ディアマント	新冠橋本牧場	新冠町	-	23930000	1-2-4-18
2013102037	2013-03-18	新子雅司	桂土地	村上欽哉	新冠町	8640000	963112240000	7-2-5-25
2013101593	2013-02-25		大黒富美子	タニグチ牧場	新冠町	1080000	2430000	8-9-3-6
2013105818	2013-03-14	萩原清	金子真人ホールディングス	ノーザンファーム	安平町	-	13600000	2-0-0-2
2013100258	2013-05-03	内野健二	井門敏雄	坂牧場	日高町	-	11006010000	4-6-3-63
2013104338	2013-03-19	武井亮	中辻明	タイヘイ牧場	新ひだか町	4530000	0	0-0-0-3
2013102020	2013-02-25	清水英克	ヒダカ・ブリーダーズ・ユニオン	三村卓也	新冠町	-	0	0-0-0-6
2013103780	2013-05-14	川添明弘	（株）ボンズ	宮内牧場	浦河町	-	200310000	0-2-5-51
2013103647	2013-04-02	中川竜馬	酒井孝敏	日進牧場	浦河町	-	0	0-0-0-4
2013105749	2013-03-05	板垣吉則	渋谷高雄	ノーザンファーム	安平町	-	368340000	1-1-3-17
2013101954	2013-01-16	中川竜馬	豊島幸麿	ビッグレッドファーム	新冠町	-	480000	2-5-3-17
2013101978	2013-03-31	藤沢和雄	北星村田牧場	北星村田牧場	新冠町	-	0	0-0-0-4
2013103949	2013-03-27	天間昭一	ノルマンディーサラブレッドレーシング	岡田スタッド	新ひだか町	-	307440000	1-0-1-19
2013102157	2013-04-20	池添学	窪田康志	若林牧場	新冠町	6480000	17520000	2-2-0-6
2013100114	2013-05-13	小桧山悟	島川隆哉	エスティファーム	日高町	-	0	0-0-0-1
2013106121	2013-03-14	萩原清	キャロットファーム	ノーザンファーム	安平町	-	130210000	7-3-2-12
2013100632	2013-05-09	藤岡健一	Ｈ．Ｈ．シェイク・モハメド	ダーレー・ジャパン・ファーム	日高町	-	13920000	2-0-0-6
2013102084	2013-03-29	昆貢	ローレルレーシング	村田牧場	新冠町	-	0	0-0-0-1
2013102818	2013-04-05	沖芳夫	松本好雄	大島牧場	浦河町	-	13770000	2-0-0-5
2013100852	2013-02-26	中尾秀正	オースミ	広富牧場	日高町	-	420000	0-0-0-7
2013104865	2013-05-02	星野忍	渡邉啓高	増本牧場	新ひだか町	540000	0	0-0-0-2
2013106426	2013-04-24	桜田康二	西村專次	グラストレーニングセンター	浦河町	-	5682430000	5-6-12-36
2013102072	2013-03-11	藤沢則雄	永井啓弍	村上雅規	新冠町	5940000	0	0-0-0-2
2013104687	2013-04-17	柄崎孝	村田滋	畠山牧場	新ひだか町	2700000	0	0-0-0-2
2013104328	2013-01-23	石橋守	ライオンレースホース	タイヘイ牧場	新ひだか町	21060000	130000	0-1-1-17
2013100389	2013-04-09	鈴木伸尋	石橋和夫	下河辺牧場	日高町	-	85550000	5-2-1-19
2013104683	2013-03-28	高橋義忠	ヒダカ・ブリーダーズ・ユニオン	畠山牧場	新ひだか町	-	610000	2-2-3-18
2013106162	2013-03-23	中川竜馬	梶原哲朗	ノーザンファーム	安平町	4530000	1665140000	1-3-2-27
2013109003	2013-04-30	清水英克	関駿也	関兵牧場	宮城県	-	0	0-0-0-1
2013101602	2013-05-01	山中尊徳	菅實	大栄牧場	新冠町	11340000	133528590000	5-6-9-31
2013100703	2013-04-04	松山将樹	バイオ	中館牧場	日高町	-	1230000	3-5-10-44
2013103299	2013-05-05		組）ウィル	岡本昌市	浦河町	5400000	14505810000	7-3-2-31
2013101066	2013-04-05	田村康仁	菅原光博	若林武雄	日高町	3780000	3754590000	6-2-2-33
2013100808	2013-03-31	清水英克	サラブレッドクラブ・ラフィアン	春木昭雄	日高町	5290000	0	0-0-0-2
2013103132	2013-03-05	山中輝久	渋谷高雄	福岡光夫	浦河	3340000	2770000	5-0-8-35
2013101239	2013-02-11	小桧山悟	島川隆哉	秋田牧場	新冠町	-	0	0-0-0-6
2013103699	2013-03-06	山崎尋美	大樹ファーム	ビクトリーホースランチ	浦河町	-	2612600000	1-3-5-27
2013105631	2013-03-26	平田正一	東京ホースレーシング	社台ファーム	千歳市	-	113580000	4-3-7-29
2013101115	2013-04-18	中舘英二	子安裕樹	清水牧場	平取町	-	40000	0-0-1-20
2013105216	2013-02-11	中竹和也	社台レースホース	社台コーポレーション白老ファーム	白老町	-	0	0-0-0-3
2013110099	2013-03-30	武井亮	了徳寺健二	Westwind Farm Mike Harris & Susan Harris	米	-	9501000000	1-0-1-5
2013102171	2013-02-09	西浦勝一	コウトミックレーシング	須崎牧場	新冠町	-	36110000	2-4-3-21
2013105804	2013-04-23	角居勝彦	窪田康志	ノーザンファーム	安平町	-	80230000	3-3-6-20
2013104171	2013-02-26	佐藤茂	宮内牧場	グランド牧場	新ひだか町	3990000	2480000	8-6-3-25
2013105785	2013-02-22	戸田博文	キャロットファーム	ノーザンファーム	安平町	-	194240000	6-2-6-14
2013104867	2013-05-01	菊川正達	ディアレストクラブ	増本牧場	新ひだか町	3780000	0	0-0-0-6
2013102831	2013-04-04	和田正一	スピードファーム	荻伏三好ファーム	浦河町	1080000	0	0-0-0-2
2013101747	2013-04-10	安田隆行	ユアストーリー	新冠橋本牧場	新冠町	5400000	0	0-0-0-4
2013101840	2013-04-15	平沢芳三	（株）ボンズ	ハクツ牧場	新冠町	16200000	5006600000	10-9-9-80
2013103362	2013-05-02	福島信晴	森中蕃	木戸口牧場	浦河町	2160000	1304200000	1-4-7-19
2013103165	2013-03-24	田中剛	ミルファーム	村下農場	浦河町	1720000	0	0-0-0-2
2013100480	2013-04-27	渡辺薫彦	堀祥子	シンボリ牧場	日高町	44100000	300000	2-1-0-7
2013103051	2013-03-30	和田雄二	栗坂崇	中神牧場	浦河町	-	44690000	0-2-0-15
2013102107	2013-06-29	奥平雅士	エンジェルレーシング	森永聡	新冠町	-	424350000	3-1-2-11
2013105915	2013-01-29	角居勝彦	キャロットファーム	ノーザンファーム	安平町	-	130400000	2-1-0-2
2013100062	2013-03-18	井樋明正	西隆久	いとう牧場	日高町	2800000	1253240000	4-0-0-33
2013106071	2013-02-28	田中守	佐藤新吾	ノーザンファーム	安平町	65100000	15683960000	7-8-5-31
2013102790	2013-03-21	橋田満	永井啓弍	梅田牧場	浦河町	46440000	1100000	0-0-0-2
2013104579	2013-03-08	畠山信一	谷謙介	トウショウ産業株式会社トウショウ牧場	新ひだか町	-	1155320000	1-1-2-22
2013102916	2013-02-09	高木登	西山茂行	高昭牧場	浦河町	-	8400000	1-1-0-14
2013102710	2013-04-13	森田直行	山本能成	スイートファーム	様似町	-	310570000	1-2-2-13
2013101358	2013-06-05	鮫島一歩	中島稔	川上悦夫	新冠町	-	60690000	4-2-3-23
2013101217	2013-03-27	池上昌和	ヌンクラブ	赤石久夫	新冠町	-	530000	0-7-3-31
2013100458	2013-04-04	宗石大	酒井孝敏	シンボリ牧場	日高町	-	560000	0-4-7-117
2013104304	2013-03-24	雑賀正光	宮崎忠比古	谷岡スタット	新ひだか町	3020000	1062350000	2-2-3-10
2013104255	2013-04-02	山本学	手嶋康雄	佐竹学	新ひだか町	-	408670000	0-0-2-28
2013102649	2013-02-25	村田順一	大野商事	米田牧場	新ひだか町	-	11940000	14-4-5-38
2013105467	2013-03-15	田中守	伊藤捷一	社台ファーム	千歳市	-	89924390000	13-6-3-26
2013104643	2013-02-13	川村禎彦	石川博	西村和夫	新ひだか町	1620000	47710000	4-1-1-11
2013100084	2013-03-04	小桧山悟	島川隆哉	エスティファーム	日高町	-	0	0-0-0-2
2013102307	2013-02-16	高野友和	ロードホースクラブ	ケイアイファーム	新ひだか町	-	9021690000	3-3-0-21
2013101523	2013-03-28	牧浦充徳	岡浩二	スカイビーチステーブル	新冠町	-	0	0-0-0-3
2013102526	2013-02-10	田中剛	河合純二	前田宗将	新ひだか町	-	200000	0-0-0-20
2013100136	2013-03-20	土井道隆	酒井孝敏	大江牧場	日高町	-	30211740000	5-7-6-32
2013104934	2013-04-24	小桧山悟	江川伸夫	川上牧場	新冠町	-	20724000000	2-2-1-27
2013102407	2013-05-11	西橋豊治	熊田義孝	土田農場	新ひだか町	3670000	0	0-0-0-2
2013100839	2013-05-05	坂井孝義	竹園正繼	日高テイエム牧場	日高町	-	12500000	0-0-0-15
2013109169	2013-04-15	佐宗応和	井上久光	荒谷牧場	青森県	3240000	21021700000	7-3-4-32
2013101582	2013-03-21	日吉正和	丸山隆雄	武田牧場	新冠町	-	3302250000	4-6-8-21
2013105736	2013-03-11	杉浦宏昭	小松欣也	社台ファーム	千歳市	21600000	351630000	8-12-5-13
2013103918	2013-05-06	松永康利	森中蕃	漆原武男	新ひだか町	4320000	0	0-0-0-9
2013104475	2013-03-01	山内研二	山元哲二	千代田牧場	新ひだか町	7450000	137480000	4-4-3-13
2013105388	2013-02-20	武市康男	小川眞査雄	社台ファーム	千歳市	16800000	24500000	3-1-1-8
2013103654	2013-04-09	宗綱泰彦	金野博幸	日進牧場	浦河町	-	2288300000	6-4-9-72
2013103948	2013-05-19	尾形和幸	岡田牧雄	岡田スタッド	新ひだか町	-	6000000	1-0-1-3
2013105938	2013-02-27	高野毅	前田幸治	ノーザンファーム	安平町	77700000	9257120000	2-0-4-13
2013100055	2013-03-12	五十嵐忠	深見富朗	いとう牧場	日高町	-	440000	1-4-2-15
2013100642	2013-02-04	宇野木数	倉田博樹	ダーレー・ジャパン・ファーム	日高町	-	50800000	0-1-1-9
2013100377	2013-02-02	矢野英一	下河辺隆行	下河辺牧場	日高町	-	13600000	1-2-2-14
2013100596	2013-02-04	加藤和義	東邦男	ダーレー・ジャパン・ファーム	日高町	-	1110000	5-0-2-11
2013102277	2013-03-04	新田守	高橋敏英	木田牧場	新ひだか町	4860000	1951780000	6-5-6-34
2013100520	2013-04-22	高橋亮	塚本能交	竹島幸治	日高町	-	6100000	1-0-0-7
2013106476	2013-03-21	中野博	小田切光	中原牧場	日高町	-	390000	1-1-2-12
2013102299	2013-04-11	西園正都	ロードホースクラブ	ケイアイファーム	新ひだか町	-	1800000	0-0-1-3
2013105626	2013-04-23	岡田利一	巨山京子	社台ファーム	千歳市	23760000	2760000	2-14-12-58
2013106344	2013-04-30	嶋田幸晴	アークフロンティア	日西牧場	日高町	3130000	13013160000	4-5-9-72
2013100039	2013-04-09	松木啓助	難波澄子	新井昭二	日高町	-	990000	3-6-8-22
2013105371	2013-03-10	畠山吉宏	村野康司	社台ファーム	千歳市	-	1100000	0-0-0-3
2013101519	2013-02-11	和田正一	スピードファーム	スカイビーチステーブル	新冠町	5500000	0	0-0-0-1
2013105095	2013-04-11	田中伸一	内田玄祥	青藍牧場	登別市	-	510000	2-1-0-62
2013105195	2013-02-18	国枝栄	アフロｉｎＥｌＰａｓｏ	レイクヴィラファーム	洞爺湖町	21600000	12500000	1-1-2-15
2013103602	2013-04-13	谷潔	仁田脇彰	冨岡博一	浦河町	-	0	0-0-0-3
2013110016	2013-03-14	水野貴広	ウイン	Colts Neck Stables LLC.	米	-	720000	0-0-1-10
2013100602	2013-02-14	西浦勝一	Ｈ．Ｈ．シェイク・モハメド	ダーレー・ジャパン・ファーム	日高町	-	6800000	1-0-0-8
2013100974	2013-03-19	南井克巳	栗本博晴	三輪牧場	日高町	3340000	751150000	4-2-1-20
2013100664	2013-06-10	渡瀬寛彰	遠藤喜和	坪田信作	日高町	-	1684910000	7-5-6-31
2013104911	2013-02-16	池上昌弘	ヒダカ・ブリーダーズ・ユニオン	矢野牧場	新ひだか町	-	22220000	2-2-2-15
2013104789	2013-03-04	本田優	フジワラ・ファーム	フジワラファーム	新ひだか町	-	0	0-0-0-8
2013101119	2013-06-01	浅野洋一	浅野正敏	清水牧場	平取町	-	470000	2-1-1-7
2013100211	2013-02-24	加用正	南波壽	木村牧場	日高町	-	52770000	4-2-2-18
2013100655	2013-03-13	相沢郁	久米大	千葉飯田牧場	日高町	-	43000000	3-2-4-30
2013105459	2013-04-02	青木達彦	（株）ファーストビジ	社台ファーム	千歳市	-	960000	2-11-4-32
2013103264	2013-05-05	奥村豊	栄進堂	栄進牧場	浦河町	-	1950000	0-1-0-3
2013105521	2013-03-28	音無秀孝	浅沼廣幸	社台ファーム	千歳市	-	36570000	2-4-2-33
2013103899	2013-03-18	海馬沢司	神田成二	伊藤敏明	新ひだか町	-	12211690000	8-8-4-52
2013100382	2013-05-03	北出成人	ノースヒルズ	下河辺牧場	日高町	11010000	0	0-0-0-3
2013104647	2013-02-10	川島正一	山下新一	西村和夫	新ひだか町	-	188623040000	6-8-1-28
2013103554	2013-04-26	和田雄二	深澤朝房	大道牧場	浦河町	-	310000	2-4-0-6
2013104076	2013-04-26	二本柳俊	柏木務	片岡博	新ひだか町	2590000	0	0-0-0-7
2013103684	2013-04-26	伊藤大士	吉井理人	林孝輝	浦河町	-	600000	3-1-3-8
