	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200854011404	ダ	右	1300	曇	不良	12:40	Cロ		2008-1-14	16	高知	2	(馬齢)		3	290	2	2-3	140	1	2-3	130	1	3-10	200	2	2-10	310	5	3=>2	240	1	2-3-10	320	2	3=>2=>10	880	4.0	2835710	2835710	2835710	2310875		
200854011405	ダ	右	1400	曇	不良	13:10	E4		2008-1-14	16	高知	2	(馬齢)		2	120	1	2-6	280	2	2-6	140	2	2-3	110	1	3-6	220	5	2=>6	300	2	2-3-6	220	1	2=>6=>3	480	2.0	2739645	2,7,3,9-6,4,5	2,7,3,9-6,4,5	2-3,7,9,6-4-5		
200854011406	ダ	右	1300	曇	不良	13:45	Cイ		2008-1-14	16	高知	2	(馬齢)		4	840	4	4-8	1170	4	4-8	340	5	4-5	200	3	5-8	100	1	4=>8	2840	11	4-5-8	430	1	4=>8=>5	5880	22.0	78394156	7,8,(3,4,9),1,5,6	7,8,(3,4,9),1,5,6	84793516		
200854011407	ダ	右	1300	曇	不良	14:20	亮介2歳お誕生日特別		2008-1-14	16	高知	2	(馬齢)		7	860	4	7-10	16690	19	7-10	1,330	11	7-8	1,950	18	8-10	2,420	21	7=>10	9060	23	7-8-10	23520	34	7=>10=>8	467660	229.0	1068741392	1068471239	1068741239	10,(8,7,4),6,1,2,9,3		
200854011408	ダ	右	1400	曇	不良	14:55	小松聖46才特別		2008-1-14	16	高知	2	(馬齢)		5	1380	4	2-5	720	3	2-5	180	2	1-5	1,070	12	1-2	290	3	5=>2	2070	10	1-2-5	950	4	5=>2=>1	9310	31.0	1682573	1628573	1628573	2165783		
200854011409	ダ	右	1400	曇	不良	15:30	はりまや盃[JRA指 		2008-1-14	16	高知	2	(馬齢)		8	2580	6	7-8	8810	19	7-8	1,870	17	5-8	390	2	5-7	510	6	8=>7	38820	56	5-7-8	4350	11	8=>7=>5	57630	133.0	581101147693212	581011142763912	581011176239412	587611102394112		
200854012001	ダ	右	1300	小雨	不良	11:10	D8		2008-1-20	16	高知	4	(馬齢)		6	150	1	1-6	100	1	1-6	110	1	5-6	690	11	1-5	610	9	6=>1	230	1	1-5-6	600	3	6=>1=>5	910	4.0	1,3,5,(2,4,7),6	1352476	1356274	1563274		
200854012002	ダ	右	1300	小雨	不良	11:40	D7		2008-1-20	16	高知	4	(馬齢)		8	110	1	6-8	210	1	6-8	150	2	2-8	1,010	11	2-6	1,470	14	8=>6	290	1	2-6-8	1920	6	8=>6=>2	3050	10.0	68231574	68231547	6,8,2,3,1-5,4,7	8,6,2,3,1-5,4,7		
200854012003	ダ	右	1400	小雨	不良	12:10	C5		2008-1-20	16	高知	4	(馬齢)		3	300	2	2-3	5220	11	2-3	1,120	13	3-6	200	2	2-6	1,290	17	3=>2	17710	27	2-3-6	5780	14	3=>2=>6	82600	120.0	61482357	1,6,(4,8),2,3,5,7	1,(4,6,8),2,3,5,7	6,1,4,8,2,3,5-7		
200854012004	ダ	右	1300	雨	不良	12:40	Eロ		2008-1-20	16	高知	4	(馬齢)		2	210	1	2-5	320	1	2-5	160	1	2-4	530	5	4-5	530	5	2=>5	610	2	2-4-5	1330	5	2=>5=>4	3160	8.0	2,1,10,5,(4,7),6,3,8,9	21015478639	21015478639	21510438976		
200854012006	ダ	右	1300	雨	不良	13:40	Eハ		2008-1-20	16	高知	4	(馬齢)		4	380	3	2-4	480	2	2-4	260	2	4-8	210	1	2-8	330	3	4=>2	800	1	2-4-8	480	1	4=>2=>8	1910	5.0	4131082956711	4132810659711	4125863109711	4285196117103		
200854012007	ダ	右	1400	雨	不良	14:15	後藤正徳氏祝古稀特別		2008-1-20	16	高知	4	(馬齢)		2	690	3	2-3	840	3	2-3	390	3	2-6	1,580	20	3-6	980	11	2=>3	1720	6	2-3-6	6100	21	2=>3=>6	30960	78.0	35194628	35149268	35419268	32516498		
200854020201	ダ	右	1300	小雨	重	11:10	E11		2008-2-2	17	高知	1	(馬齢)		7	320	2	4-7	540	3	4-7	220	3	1-7	140	1	1-4	320	5	7=>4	580	3	1-4-7	200	1	7=>4=>1	1300	4.0	75148263	75148263	71548623	71458632		
200854020202	ダ	右	1300	小雨	重	11:40	E10		2008-2-2	17	高知	1	(馬齢)		7	330	2	7-8	750	3	7-8	200	2	5-7	650	8	5-8	1,780	15	7=>8	690	2	5-7-8	8580	20	7=>8=>5	12320	36.0	37285164	37285146	73285164	78516342		
200854020203	ダ	右	1300	雨	重	12:10	E9		2008-2-2	17	高知	1	(馬齢)		9	340	2	4-9	360	2	4-9	200	2	6-9	1,360	15	4-6	470	5	9=>4	690	3	4-6-9	1680	5	9=>4=>6	6010	20.0	493685721	493685721	493685712	493681752		
200854020204	ダ	右	1400	雨	重	12:40	E8		2008-2-2	17	高知	1	(馬齢)		1	1330	4	1-7	1390	4	1-7	230	4	1-4	150	2	4-7	100	1	1=>7	4600	9	1-4-7	190	1	1=>7=>4	5910	16.0	742815936	7,4,2,1,8,(5,9),3,6	741825936	714526983		
200854020205	ダ	右	1300	雨	重	13:10	Eイ		2008-2-2	17	高知	1	(馬齢)		9	230	2	9-10	150	1	9-10	100	1	2-9	380	4	2-10	590	7	9=>10	180	1	2-9-10	2660	5	9=>10=>2	3360	12.0	1910112487365	9110211486735	9101241165873	9102543716118		
200854020206	ダ	右	1300	雨	重	13:40	のりちゃん誕生日特別		2008-2-2	17	高知	1	(馬齢)		10	220	1	6-10	530	2	6-10	310	4	10-11	200	1	6-11	820	9	10=>6	890	2	6-10-11	840	1	10=>6=>11	3580	6.0	2101134896175	2101134681957	2101138461597	1021113684795		
200854021101	ダ	右	1300	晴	稍重	11:20	D5		2008-2-11	17	高知	4	(馬齢)		5	290	1	1-5	590	4	1-5	280	4	3-5	220	3	1-3	450	10	5=>1	990	3	1-3-5	540	1	5=>1=>3	2680	7.0	5417623	5146237	(1,5),6,4,2,3,7	1543627		
200854021102	ダ	右	1300	晴	稍重	11:50	Eハ		2008-2-11	17	高知	4	(馬齢)		6	710	2	1-6	2960	6	1-6	240	3	5-6	100	1	1-5	160	2	6=>1	2670	7	1-5-6	230	1	6=>1=>5	6380	19.0	3625147	3261547	6352174	6521374		
200854021103	ダ	右	1300	晴	稍重	12:20	Eロ		2008-2-11	17	高知	4	(馬齢)		2	260	1	2-6	590	1	2-6	200	1	2-4	250	2	4-6	340	5	2=>6	700	1	2-4-6	650	2	2=>6=>4	3080	5.0	3625741	3625471	3624571	2361475		
200854021104	ダ	右	1300	晴	稍重	12:50	Eニ		2008-2-11	17	高知	4	(馬齢)		7	200	1	4-7	5680	11	4-7	550	7	7-8	110	1	4-8	700	12	7=>4	7810	16	4-7-8	3110	9	7=>4=>8	15200	37.0	72815643	72851643	78265143	78642513		
200854021105	ダ	右	1300	晴	稍重	13:20	D4		2008-2-11	17	高知	4	(馬齢)		7	150	1	2-7	170	1	2-7	110	1	4-7	300	4	2-4	420	6	7=>2	280	1	2-4-7	480	2	7=>2=>4	1130	4.0	53172648	(3,5),(1,7),2,6,4,8	53712468	72435168		
200854021106	ダ	右	1400	晴	稍重	13:55	D3		2008-2-11	17	高知	4	(馬齢)		5	110	1	5-8	660	2	5-8	130	1	1-5	130	1	1-8	340	4	5=>8	620	2	1-5-8	350	1	5=>8=>1	1300	3.0	54713682	5,4,7,3,1-6,8,2	5,4,7,1,3-8,6,2	51783462		
200854021107	ダ	右	1300	晴	稍重	14:30	春季キャンプ観戦特別		2008-2-11	17	高知	4	(馬齢)		2	160	1	2-7	140	1	2-7	120	1	2-4	340	4	4-7	480	7	2=>7	210	1	2-4-7	600	2	2=>7=>4	1020	3.0	2647351	2,6,4-7,3,5,1	2467351	2473651		
200854021108	ダ	右	1400	晴	稍重	15:05	元晴君2歳誕生日特別		2008-2-11	17	高知	4	(馬齢)		1	510	3	1-9	2420	9	1-9	850	12	1-10	570	8	9-10	620	9	1=>9	2860	12	1-9-10	8190	25	1=>9=>10	34140	91.0	10981236754	10198234765	10918256734	11098725643		
200854022301	ダ	右	1300	晴	良	11:20	E4		2008-2-23	18	高知	3	(馬齢)		5	260	2	1-5	110	1	1-5	100	1	5-6	120	2	1-6	180	4	5=>1	380	2	1-5-6	150	1	5=>1=>6	770	3.0	1563472	1564372	1564237	5,1-6,4,7,2=3		
200854022302	ダ	右	1400	晴	良	11:50	D4		2008-2-23	18	高知	3	(馬齢)		7	260	2	5-7	300	2	5-7	110	1	3-7	130	2	3-5	140	3	7=>5	470	1	3-5-7	150	1	7=>5=>3	840	1.0	1374526	1374526	3175246	7352146		
200854022303	ダ	右	1300	晴	良	12:20	E3		2008-2-23	18	高知	3	(馬齢)		4	420	4	1-4	7370	17	1-4	6,700	23	3-4	230	2	1-3	2,280	18	4=>1	29380	34	1-3-4	22710	31	4=>1=>3	464210	210.0	46815732	46185732	41687532	46317825		
200854022304	ダ	右	1300	晴	良	12:50	C5		2008-2-23	18	高知	3	(馬齢)		8	550	4	7-8	1520	6	7-8	400	4	1-8	430	5	1-7	490	6	8=>7	3830	13	1-7-8	1770	5	8=>7=>1	8000	27.0	12857364	12857364	12857364	12873465		
200854022305	ダ	右	1300	晴	良	13:20	E2		2008-2-23	18	高知	3	(馬齢)		6	320	2	5-6	160	1	5-6	150	1	6-8	280	6	5-8	220	4	6=>5	550	2	5-6-8	350	1	6=>5=>8	1500	3.0	67285431	67283451	67852341	68752341		
200854022306	ダ	右	1300	晴	良	13:55	裕敏&瑠美子結婚特別		2008-2-23	18	高知	3	(馬齢)		4	190	1	4-7	490	3	4-7	220	2	1-4	330	4	1-7	270	3	4=>7	430	2	1-4-7	750	3	4=>7=>1	2270	8.0	4,7,1,3,8,9,(2,5,6)	471382965	471382965	471328965		
200854030101	ダ	右	1300	晴	稍重	11:20	E6		2008-3-1	18	高知	5	(馬齢)		1	1020	3	1-6	270	2	1-6	100	1	1-4	220	3	4-6	110	2	1=>6	2000	7	1-4-6	130	1	1=>6=>4	3910	11.0	698432517	694832157	694183527	614985327		
200854030102	ダ	右	1300	晴	稍重	11:50	E5		2008-3-1	18	高知	5	(馬齢)		9	370	2	3-9	470	2	3-9	120	1	7-9	190	3	3-7	130	2	9=>3	1930	8	3-7-9	210	1	9=>3=>7	2560	8.0	87210194365	87210314956	87931241056	3,9,7,4,8,1,(5,2,6)-10		
200854030103	ダ	右	1300	晴	稍重	12:20	Eロ		2008-3-1	18	高知	5	(馬齢)		8	110	1	3-8	220	2	3-8	120	2	8-9	100	1	3-9	170	3	8=>3	320	2	3-8-9	290	1	8=>3=>9	880	2.0	89517102346	89517234610	89153724610	8-3,9,7,5,1,4,2,6,10		
200854030104	ダ	右	1300	晴	稍重	12:50	Eイ		2008-3-1	18	高知	5	(馬齢)		6	280	2	3-6	480	2	3-6	240	3	6-7	110	1	3-7	230	2	6=>3	690	3	3-6-7	230	1	6=>3=>7	1630	5.0	673982514	673892514	673829514	637852194		
200854030105	ダ	右	1400	晴	稍重	13:20	B5		2008-3-1	18	高知	5	(馬齢)		9	870	5	9-10	1900	7	9-10	890	10	3-9	400	5	3-10	210	2	9=>10	7080	22	3-9-10	890	3	9=>10=>3	8130	27.0	91087543162	91087354162	91087354126	91038754126		
200854030106	ダ	右	1300	晴	稍重	13:55	Cロ		2008-3-1	18	高知	5	(馬齢)		9	190	1	5-9	810	3	5-9	260	3	4-9	460	5	4-5	620	6	9=>5	1130	4	4-5-9	1280	3	9=>5=>4	3960	9.0	4510921117683	4,5,10,9,2,11,(1,7),6,3,8	4591021117683	4597102181163		
200854030107	ダ	右	1300	晴	稍重	14:30	祝・悦子誕生日特別		2008-3-1	18	高知	5	(馬齢)		10	6350	6	9-10	5230	13	9-10	1,380	11	7-10	22,170	37	7-9	11,120	31	10=>9	16430	31	7-9-10	66100	62	10=>9=>7	477210	390.0	9101524117683	9101572411683	9105176112483	1097516824113		
200854030901	ダ	右	1300	晴	良	11:20	D5		2008-3-9	19	高知	2	(馬齢)		8	180	1	1-8	1030	4	1-8	280	4	3-8	130	1	1-3	500	5	8=>1	1020	5	1-3-8	970	3	8=>1=>3	3970	13.0	81726345	81724635	81723465	81732456		
200854030902	ダ	右	1300	晴	良	11:50	D4		2008-3-9	19	高知	2	(馬齢)		7	280	2	7-9	3830	9	7-9	760	4	7-8	160	2	8-9	760	4	7=>9	5160	12	7-8-9	1630	3	7=>9=>8	17800	44.0	582463719	584236179	853472619	873942516		
200854030903	ダ	右	1300	晴	良	12:20	Eホ		2008-3-9	19	高知	2	(馬齢)		3	350	2	3-9	350	1	3-9	280	2	3-4	990	8	4-9	2,080	22	3=>9	770	2	3-4-9	4300	13	3=>9=>4	10040	29.0	38496110257	34891621057	38942611057	34912681057		
200854030904	ダ	右	1300	晴	良	12:50	Eニ		2008-3-9	19	高知	2	(馬齢)		10	130	1	7-10	1710	3	7-10	540	6	3-10	720	8	3-7	4,380	22	10=>7	1020	3	3-7-10	10170	21	10=>7=>3	24430	55.0	10849361527	81049315627	10849316752	10-8,9,3,7,6,4,5,2,1		
200854030905	ダ	右	1300	晴	良	13:20	Eハ		2008-3-9	19	高知	2	(馬齢)		7	140	1	2-7	870	3	2-7	160	1	4-7	410	4	2-4	1,170	15	7=>2	740	3	2-4-7	2050	9	7=>2=>4	6270	18.0	7,(1,6,8),3,2,9,10,5,4	71862391054	78162931054	72184953610		
200854030906	ダ	右	1400	晴	良	13:55	E2		2008-3-9	19	高知	2	(馬齢)		8	260	1	6-8	1060	5	6-8	270	2	8-9	430	6	6-9	660	10	8=>6	1120	5	6-8-9	1670	5	8=>6=>9	5800	20.0	18103926574	18310926574	18391062574	81936572410		
200854030907	ダ	右	1400	晴	良	14:30	赤岡修次騎手BD特別 		2008-3-9	19	高知	2	(馬齢)		5	120	1	5-6	210	1	5-6	180	2	1-5	300	4	1-6	400	6	5=>6	390	2	1-5-6	450	2	5=>6=>1	840	3.0	1547623	1546273	1546237	5164327		
200854030908	ダ	右	1400	晴	良	15:05	高知競馬コミュ特別		2008-3-9	19	高知	2	(馬齢)		3	120	1	3-9	910	4	3-9	460	3	3-8	150	1	8-9	460	3	3=>9	950	4	3-8-9	950	2	3=>9=>8	3540	6.0	29104186753	29101486573	29110845637	98435102617		
200854030909	ダ	右	1600	晴	良	15:40	村山俊逸還暦記念特別 		2008-3-9	19	高知	2	(馬齢)		2	380	3	2-6	830	3	2-6	350	3	1-2	4,370	22	1-6	4,370	22	2=>6	1210	5	1-2-6	18640	37	2=>6=>1	117600	133.0	241659387	214563987	241637958	214639857		
200854030910	ダ	右	1300	曇	良	16:15	オッズパーク特別		2008-3-9	19	高知	2	(馬齢)		10	300	2	1-10	480	3	1-10	260	3	5-10	650	6	1-5	670	7	10=>1	780	2	1-5-10	1290	4	10=>1=>5	2160	7.0	71051349286	71051432986	75101432986	51017438629		
200854030911	ダ	右	1400	雨	良	16:50	C3		2008-3-9	19	高知	2	(馬齢)		2	930	3	2-6	590	2	2-6	300	2	2-3	720	9	3-6	420	5	2=>6	1560	5	2-3-6	1150	3	2=>6=>3	6820	18.0	2611031148759	2611031184579	2610138114957	2,6,3,1,10,4,(11,8,9,7),5		
200854031601	ダ	右	1300	晴	重	11:20	頑張れ高知けいば特別		2008-3-16	19	高知	4	(馬齢)		3	110	1	1-3	200	1	1-3	230	2	2-3	790	6	1-2	1,350	12	3=>1	290	2	1-2-3	1130	5	3=>1=>2	1100	4.0	3764152	3764512	3,7,6,4,(1,2,5)	3127456		
200854031602	ダ	右	1300	晴	重	11:50	畜産ふれあい体験特別		2008-3-16	19	高知	4	(馬齢)		5	140	1	3-5	150	1	3-5	110	1	5-8	430	5	3-8	490	8	5=>3	190	1	3-5-8	1240	4	5=>3=>8	1750	5.0	8,5,(3,4,7),6,1,2	85347612	85364712	85346127		
200854031603	ダ	右	1300	晴	重	12:20	卵も肉もプリプリ特別		2008-3-16	19	高知	4	(馬齢)		8	520	3	1-8	2450	8	1-8	1,030	9	6-8	4,260	18	1-6	20,960	29	8=>1	2750	11	1-6-8	18020	34	8=>1=>6	77960	130.0	679841523	679481523	679418523	167854293		
200854031604	ダ	右	1300	晴	重	12:50	それは土佐褐毛牛特別		2008-3-16	19	高知	4	(馬齢)		5	220	1	2-5	1860	7	2-5	840	8	5-9	240	2	2-9	1,820	21	5=>2	3210	11	2-5-9	2970	10	5=>2=>9	19960	60.0	59271834610	59127834610	59217834610	59218637410		
200854031605	ダ	右	1400	晴	重	13:20	牛乳に相談だ特別		2008-3-16	19	高知	4	(馬齢)		5	1180	2	5-10	14100	39	5-10	3,070	41	3-5	400	1	3-10	5,310	49	5=>10	14560	56	3-5-10	10460	36	5=>10=>3	93150	302.0	8211710491635	(2,8),11,7,10,4,1,9,3,6,5	(2,8),11,7,10,4,1,3,5,9,6	5108113297146		
200854031606	ダ	右	1300	晴	重	13:55	家畜堆肥で有機特別		2008-3-16	19	高知	4	(馬齢)		5	360	3	2-5	1870	6	2-5	390	7	1-5	330	5	1-2	160	1	5=>2	3630	14	1-2-5	810	3	5=>2=>1	11230	34.0	51768243	51762843	51726483	51276483		
200854031607	ダ	右	1300	晴	重	14:30	3ーAーDaY特別		2008-3-16	19	高知	4	(馬齢)		8	170	1	3-8	230	1	3-8	150	1	8-9	160	2	3-9	240	3	8=>3	410	1	3-8-9	330	1	8=>3=>9	800	1.0	8,9,(3,4,10),5,1,6,2,7	89341051276	89341051267	83910541267		
200854033001	ダ	右	1300	雨	重	11:20	祝大内晴美誕生日特別		2008-3-30	19	高知	6	(馬齢)		3	290	2	3-7	130	1	3-7	100	1	2-3	200	3	2-7	170	2	3=>7	410	2	2-3-7	250	1	3=>7=>2	890	2.0	372856194	375286149	372586419	372654198		
200854033002	ダ	右	1300	雨	重	11:50	C4		2008-3-30	19	高知	6	(馬齢)		6	1250	4	1-6	840	4	1-6	300	2	3-6	1,140	13	1-3	330	3	6=>1	1940	10	1-3-6	1450	5	6=>1=>3	13950	44.0	871346529	871364259	831764259	138642597		
200854033003	ダ	右	1300	雨	重	12:20	Bハ		2008-3-30	19	高知	6	(馬齢)		6	1090	4	3-6	3930	13	3-6	550	9	5-6	930	13	3-5	1,290	15	6=>3	11750	28	3-5-6	8150	22	6=>3=>5	168720	144.0	1576423	1754623	1,4,5,7,6,2-3	6145732		
200854033004	ダ	右	1300	雨	不良	12:50	D7　記者選抜		2008-3-30	19	高知	6	(馬齢)		1	320	1	1-3	570	3	1-3	240	2	1-6	250	3	3-6	350	6	1=>3	1260	5	1-3-6	590	2	1=>3=>6	2690	6.0	68431752	14386752	14836752	13647852		
200854033005	ダ	右	1400	雨	不良	13:20	C3		2008-3-30	19	高知	6	(馬齢)		9	150	1	6-9	420	2	6-9	290	3	4-9	510	6	4-6	3,510	26	9=>6	580	2	4-6-9	3950	12	9=>6=>4	4570	14.0	10689345271	10638495217	10639845721	41096325871		
200854040601	ダ	右	1300	晴	良	11:30	Cロ		2008-4-6	1	高知	2	(馬齢)		5	400	3	4-5	1830	8	4-5	370	6	5-6	180	2	4-6	310	4	5=>4	5040	17	4-5-6	1240	5	5=>4=>6	8320	30.0	5,1,7,4,(6,3),2	5,1,7,4,(6,3),2	5,1-(4,7),(3,6),2	5-(1,4),6,3,2,7		
200854040602	ダ	右	1300	晴	良	12:00	Cイ		2008-4-6	1	高知	2	(馬齢)		1	160	1	1-4	190	1	1-4	120	1	1-6	230	5	4-6	210	4	1=>4	290	1	1-4-6	370	2	1=>4=>6	720	2.0	1,6,2,4,(3,5)	162435	162435	1,(4,6),2,3,5		
200854041301	ダ	右	1300	晴	稍重	11:30	Eニ		2008-4-13	1	高知	4	(馬齢)		5	560	3	5-6	260	2	5-6	120	2	1-5	130	3	1-6	100	1	5=>6	1100	5	1-5-6	210	1	5=>6=>1	2190	8.0	6,5,(1,4),3,2	6-5,(1,4),3,2	6-5,(1,4)-2,3	6,5-1,4-2-3		
200854041302	ダ	右	1300	晴	稍重	12:00	Eハ		2008-4-13	1	高知	4	(馬齢)		6	230	2	1-6	270	1	1-6	150	2	5-6	150	1	1-5	150	2	6=>1	650	3	1-5-6	250	1	6=>1=>5	1070	3.0	(3,5),6,2,4,1	563241	5,6-3,2,4,1	5,6,1,(2,3)-4		
200854041303	ダ	右	1300	晴	稍重	12:30	Eロ		2008-4-13	1	高知	4	(馬齢)		7	780	4	6-7	2020	5	6-7	330	5	5-7	560	8	5-6	480	7	7=>6	3690	10	5-6-7	1860	6	7=>6=>5	13190	36.0	7,2,(1,5,6),4,3	7,2,6,1,5,(3,4)	7,(2,6),(3,1,5),4	7,(2,6),3,1,5-4		
200854041304	ダ	右	1300	晴	稍重	13:00	C5		2008-4-13	1	高知	4	(馬齢)		7	490	3	3-7	570	3	3-7	180	2	5-7	1,960	15	3-5	620	9	7=>3	1440	6	3-5-7	2960	11	7=>3=>5	33500	67.0	7,8,3,(2,4),6,5,1	7,8,3,4,2,(1,6,5)	7,(3,8),4,(2,6,5),1	7,3,8,(2,6,4,5)=1		
200854041305	ダ	右	1300	晴	稍重	13:30	C4		2008-4-13	1	高知	4	(馬齢)		1	160	1	1-6	290	1	1-6	120	1	1-3	270	3	3-6	190	2	1=>6	560	2	1-3-6	270	1	1=>6=>3	970	1.0	1,(5,7),3,(2,8),6,4	1,(3,5),(2,6,7),8,4	1,3,(2,5,7),6,(4,8)	1,3,6,2,5,(8,7),4		
200854041306	ダ	右	1400	晴	稍重	14:00	D6		2008-4-13	1	高知	4	(馬齢)		7	130	1	1-7	530	3	1-7	320	4	3-7	250	3	1-3	520	6	7=>1	530	3	1-3-7	510	2	7=>1=>3	1030	4.0	1,7,(2,9),4,(6,5),3,8	1,(2,7),9,(4,6),(3,5),8	1,7,2,9,(3,4,6),5,8	7,1,3,(8,2),4,9,6,5		
200854041307	ダ	右	1300	晴	稍重	14:30	D5		2008-4-13	1	高知	4	(馬齢)		4	450	3	3-4	510	3	3-4	180	3	4-7	150	2	3-7	140	1	4=>3	1200	6	3-4-7	200	1	4=>3=>7	1740	6.0	6,7,3,8,2,4,(1,5)	6,3,(2,7),8,4,1,5	3,6,(2,7)-(8,4),1,5	3-(7,4),2-1,6,8,5		
200854041308	ダ	右	1300	晴	稍重	15:05	Bロ		2008-4-13	1	高知	4	(馬齢)		3	2450	5	2-3	1270	4	2-3	470	8	3-6	800	12	2-6	180	1	3=>2	5450	18	2-3-6	1310	5	3=>2=>6	20430	58.0	6127354	6,(1,2),(3,7),5,4	(6,2),1,3,7,(5,4)	(6,2),3,(1,7),4,5		
200854041309	ダ	右	1400	晴	稍重	15:40	C3		2008-4-13	1	高知	4	(馬齢)		4	220	1	4-10	300	1	4-10	160	1	2-4	310	3	2-10	380	4	4=>10	620	1	2-4-10	740	2	4=>10=>2	1750	4.0	4,10,2,3,(1,8),6,9,(5,7)	4,10,2,(1,8),3,6,5,(7,9)	4,10-2,(1,8),6,(5,3,9),7	41021679583		
200854042701	ダ	右	1300	晴	稍重	11:30	Eニ		2008-4-27	2	高知	4	(馬齢)		4	120	1	3-4	200	1	3-4	130	2	4-6	120	1	3-6	150	3	4=>3	260	1	3-4-6	140	1	4=>3=>6	540	2.0	(3,6),4,2,5,1	3,6,4,2,(5,1)	3,(6,4),2,1,5	(3,4),6,2,1,5		
200854042702	ダ	右	1300	晴	稍重	12:00	Eロ		2008-4-27	2	高知	4	(馬齢)		2	170	1	2-5	350	2	2-5	150	2	2-4	130	1	4-5	230	4	2=>5	420	2	2-4-5	170	1	2=>5=>4	960	2.0	4,6,(1,5),2,3	4,6,(1,5),2-3	(4,6,5,2),1-3	(4,5,2),6,1,3		
