	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
200747011108	ダ	右	1600	晴	稍重	14:35	サラ系B7組		2007-1-11	17	笠松	4			9	3420	7	9	200	3	3	240	4	5.0	190	2.0	3-9	6020	18	9=>3	12540	29	3-5-9	2160	8	9=>3=>5	31390	74		1,2,9,3,10,8,4-5,6,7	9,2,1,3,8,10,4,5-6,7	9,3,8,5,2,1,10,4-6,7			3-8	2380.0	7.0	8=>3	4850.0	15.0
200747011109	ダ	右	1400	晴	稍重	15:10	白銀争覇	G	2007-1-11	17	笠松	4	(別定)		3	940	4	3	250	4	6	720	9	5.0	450	7.0	3-6	5120	16	3=>6	12810	38	3-5-6	18500	47	3=>6=>5	100330	227		786293514	(7,6,8),3,9,2,4,5,1	639475821			3-6	4510.0	12.0	3=>6	10190.0	22.0
200747011201	ダ	右	1400	晴	良	11:00	サラ系C18組		2007-1-12	17	笠松	5	牝		7	110	1	7	100	1	3	100	3	1.0	100	2.0	3-7	140	1	7=>3	200	1	1-3-7	160	1	7=>3=>1	350	1		671543982.0	761534892.0	731548926.0			3-7	180.0	1.0	7=>3	200.0	1.0
200747011202	ダ	右	1400	晴	良	11:30	サラ系C17組		2007-1-12	17	笠松	5			7	410	2	7	130	4	3	100	1	1.0	100	2.0	3-7	170	1	7=>3	480	2	1-3-7	210	1	7=>3=>1	1130	4		(3,8),1,7,5,2,9,4,6	(3,8,7),1,5,2,4,9,6	3,7,1,8-9,5,2,4,6			3-7	150.0	1.0	7=>3	450.0	2.0
200747012101	ダ	右	1400	晴	良	11:00	サラ系3歳7組		2007-1-21	18	笠松	1			8	300	1	8	210	3	9	620	6	5.0	340	4.0	8-9	1920	10	8=>9	4420	18	5-8-9	3120	12	8=>9=>5	17630	69		849325167.0	849523167.0	84952631.0			8-8	2770.0	10.0	8=>8	2650.0	14.0
200747012102	ダ	右	1400	晴	良	11:30	サラ系3歳6組		2007-1-21	18	笠松	1			3	570	2	3	260	3	8	300	4	5.0	450	7.0	3-8	1970	8	3=>8	3930	16	3-5-8	11900	32	3=>8=>5	55220	137		235687491	235769841	3,2,5,(6,8),7,9,1,4			3-8	1650.0	7.0	3=>8	3040.0	12.0
200747012103	ダ	右	1400	晴	良	12:00	サラ系3歳5組		2007-1-21	18	笠松	1			6	260	1	6	150	3	7	120	1	9.0	260	5.0	6-7	340	2	6=>7	480	1	6-7-9	1130	3	6=>7=>9	2700	8		867293541.0	867923541.0	687932451.0			6-7	320.0	2.0	6=>7	540.0	2.0
200747012104	ダ	右	1400	晴	良	12:30	サラ系C36組牝馬		2007-1-21	18	笠松	1	牝		4	340	3	4	140	2	6	150	3	3.0	280	6.0	4-6	460	3	4=>6	1100	6	3-4-6	1620	6	4=>6=>3	6320	21		846735921.0	846359217.0	846395127.0			4-6	500.0	3.0	4=>6	1060.0	6.0
200747012105	ダ	右	800	晴	良	13:00	笠松SC写真展1周年		2007-1-21	18	笠松	1			8	290	1	8	130	1	2	220	6	6.0	210	5.0	2-8	2680	12	8=>2	4150	20	2-6-8	3210	15	8=>2=>6	18710	73				(8,6),(9,2),1,7,3,5,4			2-8	1800.0	8.0	8=>2	2290.0	10.0
200747012106	ダ	右	1400	曇	良	13:35	サラ系C34組		2007-1-21	18	笠松	1			6	110	1	6	100	1	8	100	2	1.0	330	7.0	6-8	130	1	6=>8	160	1	1-6-8	660	3	6=>8=>1	840	3		798635142.0	687951342.0	681957342.0			6-8	120.0	1.0	6=>8	140.0	1.0
200747012107	ダ	右	1400	曇	良	14:10	サラ系C33組		2007-1-21	18	笠松	1			5	350	2	5	300	3	2	1,050	7				2-5	3680	12	5=>2	8260	21	2-5-6	2020	8	5=>2=>6	33290	66		1562473.0	1562473.0	5612473.0								
200747012108	ダ	右	1600	曇	良	14:45	岐阜アグリフーズ杯		2007-1-21	18	笠松	1			5	160	1	5	140	3	10	140	2	2.0	350	7.0	5-10	230	1	5=>10	300	1	2-5-10	1400	5	5=>10=>2	2670	7		72311095846.0	52710391864.0	51029731684.0			5-8	190.0	1.0	5=>8	270.0	1.0
200747012109	ダ	右	1800	曇	良	15:20	千両特別 		2007-1-21	18	笠松	1			2	150	1	2	110	1	9	190	4	10.0	200	5.0	2-9	740	3	2=>9	1070	3	2-9-10	1820	8	2=>9=>10	4360	14		3,2,1,8,9,10-4,6,5,7	(1,3,2),9,8,10-4,6,5,7	2,(1,3,9),10,8,4,6,7,5			2-8	380.0	2.0	2=>8	410.0	1.0
200747012201	ダ	右	1400	晴	良	11:00	サラ系C32組		2007-1-22	18	笠松	2			7	2540	5	7	410	4	9	170	3	5.0	950	7.0	7-9	9820	17	7=>9	27000	29	5-7-9	27080	34	7=>9=>5	191850	165		367295148.0	367925841.0	795861.0			7-8	3690.0	8.0	7=>8	6350.0	11.0
200747012202	ダ	右	1400	晴	良	11:25	サラ系C31組		2007-1-22	18	笠松	2			4	160	1	4	100	1	2	170	4	5.0	100	2.0	2-4	520	2	4=>2	690	3	2-4-5	340	1	4=>2=>5	1260	2		126349758.0	264317985.0	426357198.0			2-4	450.0	2.0	4=>2	510.0	2.0
200747012203	ダ	右	1400	晴	良	11:55	サラ系C30組		2007-1-22	18	笠松	2			6	580	2	6	100	3	2	100	1	7.0	100	2.0	2-6	230	1	6=>2	620	3	2-6-7	260	1	6=>2=>7	1690	7		82467531	8,2,6,4,7,5-3,1	26875413								
200747012204	ダ	右	1400	晴	良	12:25	サラ系C29組		2007-1-22	18	笠松	2			7	270	2	7	140	3	3	130	2	6.0	330	4.0	3-7	810	3	7=>3	1590	7	3-6-7	1820	5	7=>3=>6	5150	16		67834215.0	67238415.0	67324851.0								
200747012205	ダ	右	1400	晴	良	12:55	岐南町徳田ねぎ		2007-1-22	18	笠松	2			2	170	1	2	100	1	7	140	3	8.0	100	2.0	2-7	1240	2	2=>7	1360	3	2-7-8	380	1	2=>7=>8	2390	6		458371962	857214936	(7,2,8),5,1,9,4,3,6			2-7	1360.0	2.0	2=>7	1340.0	3.0
200747012206	ダ	右	1400	晴	良	13:25	サラ系C27組		2007-1-22	18	笠松	2			3	400	2	3	100	1	7	130	4	6.0	110	2.0	3-7	1150	5	3=>7	1950	8	3-6-7	360	2	3=>7=>6	3930	13		58362714.0	36857241.0	35672841.0								
200747012207	ダ	右	1400	晴	良	13:55	サラ系C26組牝馬		2007-1-22	18	笠松	2	牝		4	340	3	4	100	1	8	100	2	9.0	130	4.0	4-8	370	1	4=>8	610	1	4-8-9	320	1	4=>8=>9	1080	1		638124795.0	638412975.0	849312675.0			4-8	190.0	1.0	4=>8	370.0	1.0
200747012301	ダ	右	1400	晴	良	11:00	サラ系C25組牝馬		2007-1-23	18	笠松	3	牝		1	210	1	1	180	4	6	130	2	2.0	190	5.0	1-6	560	3	1=>6	700	3	1-2-6	460	2	1=>6=>2	1880	6		12485637.0	12864573.0	21658473.0								
200747012302	ダ	右	1400	晴	良	11:30	小野木尚子誕生祝		2007-1-23	18	笠松	3			3	690	2	3	100	2	1	100	1	8.0	160	5.0	1-3	140	1	3=>1	710	3	1-3-8	840	3	3=>1=>8	4100	11		68513427.0	68351427.0	38156427.0								
200747012303	ダ	右	1400	晴	良	12:00	サラ系C23組		2007-1-23	18	笠松	3			6	270	1	6	130	3	9	100	1	1.0	120	2.0	6-9	330	2	6=>9	520	1	1-6-9	970	3	6=>9=>1	2760	10		369145782	3,6,9,1,4,5,7,(2,8)	(3,6),9,1,4,7,5,8,2			6-8	290.0	1.0	6=>8	550.0	2.0
200747012304	ダ	右	1400	晴	良	12:30	サラ系C22組		2007-1-23	18	笠松	3			4	120	1	4	100	2	8	100	1	2.0	180	4.0	4-8	180	1	4=>8	200	1	2-4-8	640	3	4=>8=>2	1330	3		34827561.0	48352761.0	48532617.0								
200747012401	ダ	右	1400	曇	良	11:00	サラ系3歳4組		2007-1-24	18	笠松	4			6	700	5	6	230	4	9	140	2	3.0	250	5.0	6-9	1520	7	6=>9	4090	16	3-6-9	2010	6	6=>9=>3	13240	44		238195764.0	238971564.0	239867154.0			6-8	800.0	3.0	6=>8	2800.0	14.0
200747012402	ダ	右	1400	曇	良	11:25	サラ系3歳3組		2007-1-24	18	笠松	4			1	330	2	1	100	1	2	130	2	8.0	510	7.0	1-2	470	1	1=>2	650	1	1-2-8	11350	29	1=>2=>8	47020	118		135267498.0	163825749.0	163827459.0			1-2	430.0	1.0	1=>2	660.0	1.0
200747012403	ダ	右	1400	曇	良	11:55	倉山湊成一歳記念		2007-1-24	18	笠松	4			2	100	1	2	100	1	8	110	2	6.0	130	4.0	2-8	100	1	2=>8	110	1	2-6-8	180	1	2=>8=>6	250	1		267583491.0	826754319.0	285647319.0			2-8	130.0	1.0	2=>8	130.0	1.0
200747012404	ダ	右	1400	曇	良	12:25	サラ系C20組		2007-1-24	18	笠松	4			6	470	3	6	110	2	2	100	1	4.0	190	4.0	2-6	280	1	6=>2	600	3	2-4-6	1280	5	6=>2=>4	6290	22		164597238.0	169428537.0	621498537.0			2-6	290.0	2.0	6=>2	780.0	3.0
200747012405	ダ	右	1400	晴	良	12:55	サラ系C13組		2007-1-24	18	笠松	4			1	300	2	1	190	2	7	930	6	5.0	400	3.0	1-7	5250	14	1=>7	8180	25	1-5-7	7400	20	1=>7=>5	76500	134		359714862.0	539714862.0	579143862.0			1-7	5220.0	14.0	1=>7	5600.0	20.0
200747012406	ダ	右	1400	晴	良	13:25	サラ系C12組		2007-1-24	18	笠松	4			5	270	2	5	100	1	1	100	3	10.0	100	2.0	1-5	580	3	5=>1	1230	6	1-5-10	150	1	5=>1=>10	1400	6		14106825739.0	14106825739.0	11045762839.0			1-5	640.0	3.0	5=>1	1360.0	6.0
200747012407	ダ	右	1600	晴	良	13:55	サラ系C11組		2007-1-24	18	笠松	4			4	630	2	4	150	3	8	290	6	5.0	100	1.0	4-8	1840	6	4=>8	3800	12	4-5-8	1070	4	4=>8=>5	12180	32		81427510963.0	84751102963.0	84571016293.0			4-7	890.0	4.0	4=>7	2370.0	9.0
200747012408	ダ	右	1600	晴	良	14:25	サラ系A4組選抜		2007-1-24	18	笠松	4			3	400	2	3	120	2	1	130	4	7.0	100	1.0	1-3	830	5	3=>1	2230	10	1-3-7	460	3	3=>1=>7	3530	15		63191087254.0	13879610452.0	13798105462.0			1-3	940.0	5.0	3=>1	2150.0	10.0
200747012409	ダ	右	1400	晴	良	15:00	若菜賞		2007-1-24	18	笠松	4	(別定)		3	160	1	3	120	1	4	180	4	9.0	190	5.0	3-4	370	1	3=>4	660	2	3-4-9	1440	5	3=>4=>9	4120	12		14351079826	1,4,3,5,10,9,8,7,2-6	31451098276			3-4	370.0	1.0	3=>4	760.0	3.0
200747021201	ダ	右	1400	晴	良	11:00	サラ系C31組		2007-2-12	19	笠松	2	牝		6	100	1	6	100	2	1	100	1	5.0	210	4.0	1-6	180	1	6=>1	250	1	1-5-6	230	1	6=>1=>5	570	1		78512463.0	78516432.0	51768342.0								
200747021202	ダ	右	1400	晴	良	11:30	小林学誕生日記念		2007-2-12	19	笠松	2			5	120	1	5	100	1	6	120	4	2.0	100	2.0	5-6	600	3	5=>6	670	4	2-5-6	370	2	5=>6=>2	1460	7		1562874	1562784	5,6,1,2,7,4-8								
200747021401	ダ	右	1400	雨	良	11:00	サラ系3歳4組		2007-2-14	19	笠松	4			1	8300	6	1	670	5	4	280	3				1-4	6470	13	1=>4	19810	28	1-3-4	2810	10	1=>4=>3	64120	93		7163245	7163425	7,1,4,3,6,2-5								
200747021402	ダ	右	1400	雨	良	11:30	サラ系3歳3組		2007-2-14	19	笠松	4			1	1310	6	1	420	5	7	310	4				1-7	4870	14	1=>7	13730	30	1-6-7	7230	21	1=>7=>6	57680	129		3672451.0	3675241.0	3675124.0								
200747021403	ダ	右	1400	雨	良	12:00	サラ系C14組C17		2007-2-14	19	笠松	4			7	180	1	7	100	2	9	100	1	2.0	200	6.0	7-9	110	1	7=>9	220	1	2-7-9	810	5	7=>9=>2	1590	9		879146352.0	879146235.0	791462583.0			7-8	140.0	1.0	7=>8	210.0	1.0
200747021404	ダ	右	1400	雨	良	12:30	サラ系C13組		2007-2-14	19	笠松	4			1	420	2	1	120	3	9	100	1	6.0	260	4.0	1-9	660	3	1=>9	1180	4	1-6-9	8500	13	1=>9=>6	15550	34		1,8,9,6,2,7,3-5,4	1,9,8,6,7,2,3-5,4	19678354			1-8	440.0	3.0	1=>8	840.0	4.0
200747021405	ダ	右	1400	雨	良	13:00	梅酒のぱかぱか		2007-2-14	19	笠松	4			8	1390	6	8	640	7	4	120	1	5.0	230	5.0	4-8	6370	16	8=>4	33180	39	4-5-8	26210	39	8=>4=>5	222880	220		589234176.0	589426371.0	589246731.0			4-8	1890.0	7.0	8=>4	2920.0	15.0
200747021406	ダ	右	1600	雨	良	13:35	サラ系C11組		2007-2-14	19	笠松	4			10	1180	4	10	260	5	9	130	3	1.0	100	1.0	9-10	3750	9	10=>9	5750	18	1-9-10	1000	4	10=>9=>1	17900	48		10768149352.0	10719684352.0	10917635842.0			8-8	2760.0	8.0	8=>8	2770.0	10.0
200747021407	ダ	右	1400	曇	良	14:10	サラ系C16組選抜		2007-2-14	19	笠松	4			3	1830	3	3	130	3	8	100	1	2.0	110	2.0	3-8	1140	7	3=>8	13040	33	2-3-8	2030	9	3=>8=>2	34680	71		81925643.0	81295364.0	83259146.0			3-8	2190.0	7.0	3=>8	8220.0	15.0
200747021408	ダ	右	1600	曇	良	14:45	バレンタイン特別		2007-2-14	19	笠松	4			4	450	2	4	150	3	7	100	1	6.0	310	6.0	4-7	410	2	4=>7	1280	5	4-6-7	3930	13	4=>7=>6	24440	64		267489531.0	267845193.0	7241639.0			4-7	430.0	2.0	4=>7	1350.0	5.0
200747021601	ダ	右	1400	晴	稍重	11:00	サラ系C22組牝馬		2007-2-16	19	笠松	6	牝		7	140	1	7	100	2	5	100	1	8.0	340	7.0	5-7	270	2	7=>5	260	1	5-7-8	1300	4	7=>5=>8	1300	3		67845321.0	67853421.0	75684321.0								
200747021602	ダ	右	1400	晴	稍重	11:30	サラ系C21組		2007-2-16	19	笠松	6			9	370	3	9	100	1	5	130	3	8.0	150	4.0	5-9	540	3	9=>5	1130	4	5-8-9	900	3	9=>5=>8	2690	9		156982473.0	156984273.0	195872463.0			5-8	460.0	3.0	8=>5	740.0	5.0
200747021603	ダ	右	1400	晴	稍重	12:00	サラ系C20組		2007-2-16	19	笠松	6			4	350	2	4	100	2	8	100	1	2.0	210	6.0	4-8	270	1	4=>8	710	2	2-4-8	1070	4	4=>8=>2	3720	10		254137869	245387169	4,2,8,5,3,6,7,9-1			4-8	210.0	1.0	4=>8	670.0	2.0
200747021604	ダ	右	1400	晴	稍重	12:30	サラ系C19組		2007-2-16	19	笠松	6			1	410	2	1	140	3	3	130	2	9.0	100	1.0	1-3	1070	5	1=>3	2040	10	1-3-9	790	2	1=>3=>9	5320	17		329851647	3-2,9,8,5,1,6,4,7	3,9,2,1,8,5,6,4-7			1-3	1040.0	6.0	1=>3	1540.0	8.0
200747021605	ダ	右	1600	晴	稍重	13:00	矢沢公朗・めぐみ結婚		2007-2-16	19	笠松	6			6	160	1	6	100	1	9	110	3	8.0	200	4.0	6-9	200	1	6=>9	300	1	6-8-9	310	1	6=>9=>8	790	1		619743825.0	697834152.0	697843125.0			6-8	140.0	1.0	6=>8	170.0	1.0
200747021606	ダ	右	1400	晴	稍重	13:30	サラ系C5組		2007-2-16	19	笠松	6			6	180	1	6	100	2	4	100	1				4-6	260	1	6=>4	460	1	3-4-6	430	1	6=>4=>3	1310	1		5614372.0	6451372.0	6435712.0								
200747021607	ダ	右	1400	晴	稍重	14:00	サラ系C4組		2007-2-16	19	笠松	6			5	3070	7	5	460	6	4	490	7	7.0	240	4.0	4-5	12290	19	5=>4	19150	32	4-5-7	13040	27	5=>4=>7	134660	159		14756283.0	14756328.0	47653281.0								
