	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気
200734052309	ダ	右	1600	晴	良	19:55	シックスセンス賞 		2007-5-23	1	旭川	2	450万円以下	(別定)	6	1020	4	6.0	140	2.0	5.0	150	3.0	5-6	2030	7	6=>5	4010	14	5-6-10	1220	1	6=>5=>10	9410	26	4,6,(1,10),8,(2,9),3,(5,7)	4,6,(1,10),8,(2,9),(5,3),7	4,6,10,1,(5,8,9),2,7,3	4,6,(5,10),(1,8),9,7,3,2			10.0	120	1.0	5-6	1740.0	7.0
200734052310	ダ	右	1500	晴	良	20:35	うまいよ!るもい市賞		2007-5-23	1	旭川	2	80万円以下	(規定)	11	180	1	11.0	110	2.0	3.0	110	1.0	3-11	240	1	11=>3	380	1	3-10-11	1010	4	11=>3=>10	2420	5	(10,7),11,(3,8),9,6,(1,2),(4,5)	(10,7),11,(3,8),9,6,(1,2),(4,5)	(7,10),11,(8,9),(3,6),(1,2),5,4	(11,7),10,(3,9,6),(8,2),(1,4,5)			10.0	260	5.0	3-8	190.0	1.0
200734052401	ダ	右	1000	晴	良	15:30	3歳　条件		2007-5-24	1	旭川	3	(規定)		4	110	1	4.0	120	1.0	3.0	140	4.0	3-4	480	2	4=>3	540	2	1-3-4	10130	18	4=>3=>1	29050	56			3,(2,6),(1,7,4),8,5	(3,4),(1,6),(2,7),8,5			1.0	1,260	7.0			
200734052402	ダ	右	1500	晴	良	16:00	3歳　条件		2007-5-24	1	旭川	3	(規定)		6	180	1	6.0	110	2.0	5.0	170	5.0	5-6	1790	9	6=>5	3220	12	5-6-8	1050	4	6=>5=>8	7060	23	4,(3,6),(5,8),(1,2),7	4,(3,6),(5,8),(1,2),7	4,(3,6),8,(5,2),7,1	(3,6),(4,8),2,5,1,7			8.0	110	1.0			
200734052403	ダ	右	1000	晴	良	16:30	アタックチャレンジ競		2007-5-24	1	旭川	3	(規定)		3	1850	7	3.0	310	5.0	4.0	140	1.0	3-4	2480	11	3=>4	5460	23	3-4-5	1750	8	3=>4=>5	19670	73			4,1,6,(5,7),3,8	4,1,6,(5,7),3,8								
200734052404	ダ	右	1000	晴	良	17:00	フレッシュチャレンジ		2007-5-24	1	旭川	3	(規定)		2	170	1	2.0	120	1.0	5.0	470	8.0	2-5	1450	6	2=>5	1740	6	2-5-6	2000	7	2=>5=>6	10570	34			(7,6),(1,5),(3,2),4,8	6,5,(7,1),(3,2),4,8			6.0	160	3.0			
200734052405	ダ	右	1000	晴	良	17:35	フレッシュチャレンジ		2007-5-24	1	旭川	3	牝(規定)		3	480	2	3.0	160	3.0	8.0	120	1.0	3-8	320	1	3=>8	830	2	3-7-8	860	3	3=>8=>7	3870	11			(5,8),7,(1,3),6-4,2	(5,8),7,3,1,6-4,2			7.0	190	5.0			
200734052901	ダ	右	1000	晴	良	15:20	D3　指定馬		2007-5-29	2	旭川	1	40万円以下	(別定)	1	520	2	1.0	130	2.0	7.0	100	1.0	1-7	230	1	1=>7	610	2	1-4-7	400	2	1=>7=>4	1400	3			(1,7),6,(2,5,4),3	1746253								
200734052902	ダ	右	1000	晴	良	15:50	D3　ー2組		2007-5-29	2	旭川	1	40万円以下	(規定)	2	210	1	2.0	140	1.0	6.0	140	2.0	2-6	270	1	2=>6	400	1	2-6-7	690	2	2=>6=>7	2050	7			(4,5,6),2,7,3,1	(4,6),2,5,7,(3,1)								
200734052903	ダ	右	1000	晴	良	16:20	3歳　条件		2007-5-29	2	旭川	1	(規定)		7	120	1	7.0	100	1.0	2.0	130	3.0	2-7	160	1	7=>2	170	1	2-3-7	440	3	7=>2=>3	700	3			(4,6,7),5,2,3,1,8	7,(4,6),5,2,3,1,8			3.0	200	4.0			
200734052904	ダ	右	1000	曇	良	16:55	フレッシュチャレンジ		2007-5-29	2	旭川	1	(規定)		6	120	1	6.0	100	1.0	4.0	150	2.0	4-6	350	1	6=>4	500	1	4-6-7	1980	5	6=>4=>7	5220	18			6,(2,4,7),3-1,5	(6,4),(2,7),3-5,1								
200734052905	ダ	右	1000	曇	良	17:30	D3　ー1組		2007-5-29	2	旭川	1	40万円以下	(規定)	3	130	1	3.0	130	1.0	7.0	520	5.0	3-7	1150	4	3=>7	1220	5	3-4-7	900	4	3=>7=>4	3390	11			7,3,(4,6),2,5,1	7,3,(4,6),2,5,1								
200734052906	ダ	右	1000	曇	良	18:05	ルーキーチャレンジ競		2007-5-29	2	旭川	1	(規定)		7	150	1	7.0	100	1.0	1.0	100	2.0	1-7	210	1	7=>1	290	1	1-2-7	480	2	7=>1=>2	1020	3			(2,7),(1,8),3,5,4,6	(2,7),1,8,3,5,4=6			2.0	140	4.0			
200734052907	ダ	右	1500	曇	良	18:40	D3　ー1組		2007-5-29	2	旭川	1	40万円以下	(規定)	6	430	2	6.0	160	3.0	1.0	100	1.0	1-6	160	1	6=>1	660	3	1-5-6	180	1	6=>1=>5	1310	3	5,6,(1,4),3,7,2	5641372	(5,6),4,1,3,7,2	(5,6),1,(4,3),2,7								
200734052908	ダ	右	1600	曇	良	19:15	奥尻島特別 		2007-5-29	2	旭川	1	100万円以下	(規定)	3	140	1	3.0	120	1.0	4.0	680	8.0	3-4	3850	12	3=>4	5250	15	3-4-11	16340	45	3=>4=>11	76540	177	4,5,11,9,12,6,10,(1,3),(2,8),7	4,(5,11),9,6,12,3,(1,10),(2,8),7	4,(5,11),9,(6,3,12),7,(1,10),8,2	4,(3,5,11),(6,7,9),(12,10),1,(2,8)			11.0	200	3.0	3-4	3740.0	10.0
200734052909	ダ	右	1600	曇	良	19:55	ミラクルアドマイヤ賞 		2007-5-29	2	旭川	1	130万円以下	(規定)	7	1850	8	7.0	740	9.0	8.0	280	4.0	7-8	5040	28	7=>8	9770	47	4-7-8	25790	83	7=>8=>4	108360	379	10,(5,8),6,1,(3,7),(2,4),9	10,(5,8)-6,1,(3,7),(2,4),9	10,(5,8),(1,6),7,(3,2,4),9	8,(5,7),1,6,(10,4),2,9,3			4.0	670	8.0	7-7	4200.0	23.0
200734052910	ダ	右	1500	曇	良	20:30	3歳　条件		2007-5-29	2	旭川	1	100万円以下	(規定)	10	950	4	10.0	310	5.0	2.0	640	8.0	2-10	14600	27	10=>2	31500	64	2-9-10	21730	57	10=>2=>9	153560	328	6,(3,4),9,10,(1,2,5),7,8	6,(3,4)-9,10,5,(1,2,7,8)	6,(3,4),10,9,2,(5,8),1,7	6,(3,4),10,9,2,8,(1,7),5			9.0	200	2.0	2-8	5290.0	15.0
200734053001	ダ	右	1000	曇	良	14:50	D級		2007-5-30	2	旭川	2	(別定)		6	380	2	6.0	230	3.0	5.0	920	7.0	5-6	2540	10	6=>5	4530	16	1-5-6	4600	15	6=>5=>1	26200	73			7,6,5,2,1,(3,4)	7,6,5,(2,1),4,3								
200734053002	ダ	右	1500	曇	良	15:20	3歳　条件		2007-5-30	2	旭川	2	(規定)		5	1030	4	5.0	520	5.0	7.0	390	4.0	5-7	3540	9	5=>7	7140	20	1-5-7	1130	5	5=>7=>1	18750	52	3,5,(1,7),(2,4,6)	3,5,(1,7),(2,4,6)	(3,5,7,4),1,2,6	(5,7),4,1,3,2-6								
200734053003	ダ	右	1500	曇	良	15:50	3歳　条件		2007-5-30	2	旭川	2	(規定)		6	1910	6	6.0	180	5.0	7.0	150	3.0	6-7	8020	18	6=>7	18250	38	5-6-7	3370	11	6=>7=>5	45420	105	5,(3,7,8),2,6,1,4	3,5,7,(2,8),(1,6),4	3,(5,7),(2,8),6,1,4	(3,5,7,6),(2,8),1-4			5.0	110	1.0			
200734053004	ダ	右	1000	曇	良	16:20	D3　ー2組		2007-5-30	2	旭川	2	40万円以下	(規定)	6	150	1	6.0	120	1.0	7.0	410	4.0	6-7	770	3	6=>7	1190	4	3-6-7	770	3	6=>7=>3	2780	8			(1,2,3,6),7,5-4	(3,6),2,(1,7),5,4								
200734053005	ダ	右	1000	曇	良	16:55	フレッシュチャレンジ		2007-5-30	2	旭川	2	(規定)		4	300	1	4.0	110	2.0	7.0	120	3.0	4-7	480	2	4=>7	710	3	4-6-7	310	1	4=>7=>6	1290	3			(6,7),4,(3,8),(5,1),2	(6,7),4,(3,5,8),1,2			6.0	100	1.0			
200734053006	ダ	右	1000	曇	良	17:30	D2　ー1組		2007-5-30	2	旭川	2	60万円以下	(規定)	5	110	1	5.0	120	2.0	6.0	100	1.0	5-6	180	1	5=>6	450	2	4-5-6	610	2	5=>6=>4	1890	6			621453	6,2,(1,5,4),3								
200734053007	ダ	右	1000	曇	良	18:05	アタックチャレンジ競		2007-5-30	2	旭川	2	(規定)		7	140	1	7.0	110	3.0	4.0	100	1.0	4-7	180	1	7=>4	250	1	4-7-8	370	1	7=>4=>8	980	1			4,8,(2,7),(1,6),(3,5)	(4,8,7),(1,2),(5,6),3			8.0	110	2.0			
200734053008	ダ	右	1500	曇	良	18:40	D1　ー2組		2007-5-30	2	旭川	2	80万円以下	(規定)	6	170	1	6.0	100	1.0	2.0	150	4.0	2-6	750	2	6=>2	1120	3	2-5-6	430	2	6=>2=>5	2670	7	6,2,(5,7,8),(3,4),1	6,2,(5,7),8,(3,4),1	6,2,7,5,8,(3,4),1	6,2,(5,7),8,3,(1,4)			5.0	110	2.0			
200734053009	ダ	右	1000	曇	良	19:15	3歳　条件		2007-5-30	2	旭川	2	100万円以下	(規定)	9	180	1	9.0	110	1.0	11.0	130	2.0	9-11	420	1	9=>11	710	1	6-9-11	2740	9	9=>11=>6	8280	20			5,6,11,10,(8,9),1,4,7,3,2	5,(6,11),(9,10),(1,8),4,7,(2,3)			6.0	240	6.0	7-8	380.0	1.0
200734053010	ダ	右	1600	曇	良	19:55	スターリングローズ賞 		2007-5-30	2	旭川	2	130万円以下	(規定)	5	230	1	5.0	160	3.0	7.0	150	2.0	5-7	750	2	5=>7	1230	1	5-7-10	2470	12	5=>7=>10	7540	11	(10,5),9,(1,3),4,6,7,8	(5,9)-10,(1,3),4,6,7-8	5910316784	5,9,3,10,(1,6,7)-8,4			10.0	270	6.0	5-7	910.0	4.0
200734053101	ダ	右	1000	晴	良	15:20	2歳　未勝利		2007-5-31	2	旭川	3	(規定)		7	170	1	7.0	120	2.0	3.0	120	1.0	3-7	300	1	7=>3	440	1	3-6-7	280	1	7=>3=>6	940	1			(3,7),5,6,4,(1,2)	(3,7)-(5,4,6),2,1								
200734053102	ダ	右	1000	晴	良	15:50	3歳　条件		2007-5-31	2	旭川	3	(規定)		7	110	1	7.0	100	1.0	9.0	590	7.0	7-9	2200	6	7=>9	3520	9	2-7-9	3340	10	7=>9=>2	19920	43			(4,7,8),9,2,6,3,1	7,4,(2,8),(3,9),6,1			2.0	190	5.0	7-8	230.0	1.0
200734053103	ダ	右	1000	晴	良	16:20	D2　ー2組		2007-5-31	2	旭川	3	60万円以下	(規定)	6	1270	4	6.0	150	4.0	5.0	110	1.0	5-6	500	2	6=>5	2000	7	1-5-6	370	1	6=>5=>1	4430	15			(1,5),7,6,(2,4,8),3	(1,5),7,6,(2,4,8),3			1.0	150	3.0			
200734053104	ダ	右	1000	晴	良	16:55	フレッシュチャレンジ		2007-5-31	2	旭川	3	(規定)		6	160	1	6.0	110	1.0	1.0	130	3.0	1-6	300	1	6=>1	460	2	1-4-6	2530	11	6=>1=>4	4930	15			(4,7,8),1,6,(3,5),2	4,(7,8),(1,6),5,3,2			4.0	360	7.0			
200734053105	ダ	右	1500	晴	良	17:30	D2　ー2組		2007-5-31	2	旭川	3	60万円以下	(規定)	7	190	1	7.0	140	1.0	4.0	240	4.0	4-7	770	3	7=>4	1110	5	1-4-7	5070	14	7=>4=>1	15670	44	2,4,7,1,(5,3),6	3,(2,4,7),1,5,6	3-(4,7),1,2,5,6	3,(4,7),(2,1),5,6								
200734053106	ダ	右	1000	晴	良	18:05	フレッシュチャレンジ		2007-5-31	2	旭川	3	(規定)		4	250	2	4.0	210	3.0	2.0	550	5.0	2-4	1740	7	4=>2	2180	13	2-4-5	1620	7	4=>2=>5	10770	42			(5,8,4),(2,7),1,3	4,5,(8,2,7),1-3								
200734053107	ダ	右	1000	晴	良	18:40	D1　ー1組		2007-5-31	2	旭川	3	80万円以下	(規定)	10	530	2	10.0	150	2.0	5.0	240	4.0	5-10	1640	6	10=>5	2110	7	3-5-10	8730	29	10=>5=>3	42670	114			10,9,(3,5),(1,2,7),(6,8)-4	10,(3,5,9),(1,7),6,(2,8),4			3.0	420	8.0	5-8	1130.0	3.0
200734053108	ダ	右	1000	晴	良	19:15	3歳　条件		2007-5-31	2	旭川	3	(別定)		7	1330	5	7.0	290	5.0	5.0	140	1.0	5-7	820	4	7=>5	3970	11	5-7-8	750	3	7=>5=>8	14100	40			4,(5,8),(6,7),1,2	4,(5,8),7,6,1,2								
200734053109	ダ	右	1600	晴	良	19:55	ラスカルスズカ賞 		2007-5-31	2	旭川	3	160万円以下	(規定)	6	1040	5	6.0	390	6.0	4.0	380	5.0	4-6	7300	23	6=>4	11590	41	4-6-11	6970	25	6=>4=>11	48250	165	3,2,(4,11),6,1,(7,10),(5,8,9)	3-2,4,11,6,1,7,(5,10),(8,9)	3-4,(11,6),2,1,(5,9),(8,7)-10	3,4,(11,6),1,(5,9),(8,7),2-10			11.0	200	4.0	4-6	4040.0	14.0
200734060501	ダ	右	1000	晴	良	15:00	2歳　未勝利		2007-6-5	2	旭川	4	(規定)		8	2640	6	8.0	570	7.0	6.0	200	4.0	6-8	5470	14	8=>6	13390	25	2-6-8	1210	4	8=>6=>2	23360	64			(2,6,8),3,5,9,7,4,1	(2,6,8),5,3,9,4,1			2.0	100	1.0	6-8	2420.0	7.0
200734060502	ダ	右	1000	晴	良	15:30	3歳　条件		2007-6-5	2	旭川	4	(規定)		9	140	1	9.0	100	1.0	6.0	100	2.0	6-9	180	1	9=>6	230	1	4-6-9	650	1	9=>6=>4	1250	1			4,9,10,(3,6,5),(1,2),(8,7),11	4,9,10,(3,6),2,5,(1,7),8,11			4.0	190	4.0	6-7	180.0	1.0
200734060503	ダ	右	1500	晴	良	16:00	D3　ー2組		2007-6-5	2	旭川	4	40万円以下	(規定)	7	100	1	7.0	100	1.0	5.0	140	2.0	5-7	510	3	7=>5	550	3	1-5-7	1520	8	7=>5=>1	3790	14	(2,4),6,(3,7),5,1	(2,4),(3,6),7,(1,5)	2,(4,7),(3,6),5,1	(2,7),4,(3,6,5),1								
200734060504	ダ	右	1000	晴	良	16:30	ルーキーチャレンジ競		2007-6-5	2	旭川	4	(規定)		5	140	1	5.0	110	1.0	1.0	150	3.0	1-5	630	3	5=>1	760	3	1-2-5	1060	4	5=>1=>2	2550	8			(1,3,4),5,(2,9,10),6,(7,8)	1,(3,4),(2,9,5),6,(7,10),8			2.0	190	4.0	1-5	850.0	3.0
200734060505	ダ	右	1000	晴	良	17:00	フレッシュチャレンジ		2007-6-5	2	旭川	4	(規定)		5	750	3	5.0	130	2.0	9.0	100	1.0	5-9	270	1	5=>9	680	2	5-6-9	1880	6	5=>9=>6	7380	20			(5,11,9),(10,12),(1,4,6),2,(3,8),7	(5,11,9),6,12,(10,4),(7,8),1,3,2			6.0	210	4.0	5-7	250.0	1.0
200734060506	ダ	右	1000	晴	良	17:35	D3　ー1組		2007-6-5	2	旭川	4	40万円以下	(規定)	9	2500	6	9.0	160	4.0	10.0	120	2.0	9-10	3330	9	9=>10	10570	20	5-9-10	1380	4	9=>10=>5	23140	58			5,10,(4,9),(2,7),11,1,6-3,8	5,10,9,(2,7,4),11,1,6,3,8			5.0	110	1.0	7-8	1950.0	8.0
200734060507	ダ	右	1500	晴	良	18:10	3歳　条件		2007-6-5	2	旭川	4	100万円以下	(規定)	9	790	4	9.0	240	6.0	11.0	130	1.0	9-11	920	3	9=>11	2260	7	6-9-11	5000	16	9=>11=>6	27940	90	1,2,3,11,(5,6),4,9,8,(7,10)	1,2,3,11,(5,6),(4,9),8,10,7	1,(2,3),11,(5,4,6,9),8,(7,10)	(1,3,11),2,(6,9),(5,4),(7,8,10)			6.0	360	8.0	7-8	590.0	2.0
200734060508	ダ	右	1000	晴	良	18:45	D1　ー2組		2007-6-5	2	旭川	4	80万円以下	(規定)	8	840	4	8.0	170	3.0	7.0	100	1.0	7-8	940	4	8=>7	2400	10	7-8-9	2970	10	8=>7=>9	29390	77			(2,7),11,(5,9,12),(4,10),8,6,1,3	(2,7),(5,11),9,4,12,(8,10),(6,1),3			9.0	330	6.0	6-6	1000.0	5.0
200734060509	ダ	右	1600	晴	良	19:20	旭川オッズパーク記念 		2007-6-5	2	旭川	4	300万円以下	(規定)	10	380	2	10.0	150	2.0	3.0	250	3.0	3-10	1680	8	10=>3	2540	8	3-9-10	6650	23	10=>3=>9	21750	55	6,1,(4,7),(3,8),9,2,(10,11),(5,12)	6,1-4,(3,7),8,9,(2,10,11),(5,12)	6,1,4,(3,7),8,9,10,2,(5,11),12	(3,1),(10,6,9,7),(4,8),2,11,5,12			9.0	330	8.0	3-7	1340.0	4.0
200734060510	ダ	右	1600	晴	良	20:00	北海優駿〔H1〕	G	2007-6-5	2	旭川	4	(馬齢)		7	190	1	7.0	100	1.0	11.0	230	4.0	7-11	1260	4	7=>11	1630	7	4-7-11	1030	2	7=>11=>4	5500	14	4,7,(1,11),(6,10),8,3,5,9,2	4,7,(1,11),(6,10),8,3,5,9-2	(4,7,11),(1,10),8,6,(3,5),9-2	(4,7),11,1,10,8,(3,5),6,9-2			4.0	110	2.0	6-8	840.0	4.0
200734060601	ダ	右	1500	晴	良	15:00	2歳　未勝利		2007-6-6	2	旭川	5	(規定)		4	480	3	4.0	190	4.0	2.0	260	5.0	2-4	1640	7	4=>2	3910	15	2-4-7	3050	9	4=>2=>7	18280	68	9,(2,7),(1,5,8),3,4,6	9,7,2,(1,8),5,(3,4),6	(9,7),(2,4),(5,8),1,(3,6)	(9,7),(2,4),5,8,(1,6),3			7.0	180	3.0	2-4	1600.0	8.0
200734060602	ダ	右	1000	晴	良	15:30	3歳　条件		2007-6-6	2	旭川	5	(規定)		6	120	1	6.0	100	1.0	7.0	150	4.0	6-7	510	3	6=>7	580	1	6-7-9	800	3	6=>7=>9	2250	5			(1,6),11,2,(3,5,9),10,7,8,4	(1,6),(2,11),(3,5,9),7,8,10,4			9.0	120	2.0	6-6	480.0	3.0
200734060603	ダ	右	1000	晴	良	16:00	フレッシュチャレンジ		2007-6-6	2	旭川	5	(規定)		6	550	3	6.0	170	4.0	8.0	110	2.0	6-8	850	4	6=>8	2260	9	2-6-8	330	1	6=>8=>2	5000	17			(2,5,8),4,6,3,7,9,1	(2,8),5,6,4,(3,7,1)-9			2.0	100	1.0	6-8	970.0	5.0
200734060604	ダ	右	1500	晴	良	16:30	ルーキーチャレンジ競		2007-6-6	2	旭川	5	(規定)		7	640	3	7.0	150	3.0	4.0	110	1.0	4-7	800	2	7=>4	2590	9	3-4-7	1330	5	7=>4=>3	8610	28	(4,3),7,1,(5,8),2,6	4,3,(1,7),5,8,(2,6)	(4,3,7),(1,5,8,6),2	(4,7),3,8,1,6,5-2			3.0	300	4.0			
200734060605	ダ	右	1500	晴	良	17:00	フレッシュチャレンジ		2007-6-6	2	旭川	5	(規定)		8	1090	5	8.0	370	5.0	2.0	160	2.0	2-8	1440	6	8=>2	2060	10	2-5-8	11210	21	8=>2=>5	47920	94	2,8,(1,6),(5,3),4	2,8,(1,6),5,3,4	2,8,(6,3),5,4,1	(2,8),3,(5,6),4=1								
200734060606	ダ	右	1000	晴	良	17:30	アタックチャレンジ競		2007-6-6	2	旭川	5	(規定)		4	180	1	4.0	120	1.0	3.0	250	5.0	3-4	1780	8	4=>3	2060	8	2-3-4	3390	13	4=>3=>2	13570	45			(7,8),(4,6),3,(1,2,5)	(7,8,4),3,6,2,(1,5)			2.0	350	6.0			
200734060607	ダ	右	1000	曇	良	18:00	D2　ー1組		2007-6-6	2	旭川	5	60万円以下	(規定)	5	420	3	5.0	280	4.0	7.0	120	1.0	5-7	860	3	5=>7	2010	8	5-7-9	1640	5	5=>7=>9	8380	28			7,5,9,4,(2,8),(6,10),1,3	(7,5),9,4,(6,8,10),(2,3),1			9.0	310	5.0	5-7	1040.0	4.0
200734060608	ダ	右	1000	曇	良	18:35	フェルカド特別 		2007-6-6	2	旭川	5	150万円以下	(規定)	14	820	3	14.0	310	6.0	5.0	390	7.0	5-14	4240	16	14=>5	8360	34	5-12-14	5160	18	14=>5=>12	37500	126			9,(6,12,13),(8,14),5,7,3,4,11,(1,10)	(9,12,13,14),(6,8),(3,7,5),11,4,1,10			12.0	150	2.0	4-8	670.0	2.0
200734060609	ダ	右	1000	曇	良	19:10	ケンタウルス特別 		2007-6-6	2	旭川	5	800万円以下	(別定)	1	1040	3	1.0	380	5.0	14.0	230	2.0	1-14	13350	29	1=>14	24470	41	1-3-14	168990	166	1=>14=>3	326010	507			13,(9,14),4,10,12,1,8,5,(3,6,7),2,11	(13,9),14,(1,10,12),(4,5,6,7),8,3,2,11			3.0	870	11.0	1-8	1180.0	7.0
200734060610	ダ	右	2300	曇	良	19:50	ステイヤーズカップ〔	G	2007-6-6	2	旭川	5	(別定)		2	360	2	2.0	140	2.0	10.0	270	5.0	2-10	2210	6	2=>10	2750	7	2-9-10	3440	9	2=>10=>9	12890	34	1157432961081	(11,7),5,4,(3,2),(6,9),(8,10),1	10,5,(11,7,2),9,(3,4),8,6-1	10,2,(5,9),7,(11,3,4),(8,6)=1			9.0	250	3.0	2-8	2250.0	6.0
