	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200948010111	ダ	右	1600	曇	良	16:25	サラB3組		2009-1-1	20	名古屋	2			1	160	1	1.0	140	1.0	12.0	550	8.0	4.0	140	2.0	1-8	430.0	1.0	1-12	6490	16	1=>8	560.0	1.0	1=>12	3540	11.0	1-4-12	7630	20.0	1=>12=>4	45300	119.0		148591231110672.0	148129105113762.0	141210911538762.0		
200948010201	ダ	右	800	晴	良	10:50	サラC10組		2009-1-2	20	名古屋	3			10	590	3	10.0	120	3.0	11.0	110	2.0	4.0	100	1.0	8-8	600.0	2.0	10-11	590	3	8=>8	730.0	3.0	10=>11	1710	6.0	4-10-11	240	1.0	10=>11=>4	2210	6.0				101141537826.0		
200948010202	ダ	右	1400	晴	良	11:20	サラC9組		2009-1-2	20	名古屋	3			9	100	1	9.0	100	1.0	7.0	160	4.0	10.0	100	2.0	6-7	460.0	2.0	7-9	410	2	7=>6	570.0	2.0	9=>7	490	2.0	7-9-10	330	1.0	9=>7=>10	760	2.0		9310741181562.0	9310741181652.0	9107341118652.0		
200948010203	ダ	右	1400	晴	良	11:50	サラC8組		2009-1-2	20	名古屋	3			8	120	1	8.0	110	2.0	5.0	200	4.0	11.0	110	1.0	5-6	580.0	3.0	5-8	690	3	6=>5	560.0	3.0	8=>5	780	3.0	5-8-11	1150	4.0	8=>5=>11	2080	7.0		581162711241039.0	581162711210439.0	581162711012349.0		
200948010204	ダ	右	1400	晴	良	12:20	祝増井健人・山田幸枝		2009-1-2	20	名古屋	3			6	210	2	6.0	120	2.0	4.0	200	4.0	2.0	110	1.0	4-6	1440.0	6.0	4-6	1050	3	6=>4	1480.0	5.0	6=>4	1560	5.0	2-4-6	420	2.0	6=>4=>2	2940	9.0		6210471935811.0	6271049183511.0	6274108913511.0		
200948010205	ダ	右	1400	晴	良	12:50	3歳キング 		2009-1-2	20	名古屋	3			2	180	1	2.0	120	1.0	12.0	240	6.0	11.0	140	2.0	2-8	210.0	1.0	2-12	1240	5	2=>8	430.0	1.0	2=>12	1390	5.0	2-11-12	680	2.0	2=>12=>11	4730	13.0		122611178510493.0	122611157841093.0	122111675841093.0		
200948010206	ダ	右	1600	晴	良	13:20	サラB7組		2009-1-2	20	名古屋	3			7	150	1	7.0	110	1.0	8.0	140	3.0	10.0	120	2.0	6-6	470.0	3.0	7-8	450	2	6=>6	550.0	3.0	7=>8	640	2.0	7-8-10	300	1.0	7=>8=>10	1160	2.0		781035114126291.0	781031154126291.0	781011412563129.0		
200948011201	ダ	右	800	小雨	稍重	10:50	サラC33組		2009-1-12	21	名古屋	1			5	160	1	5.0	110	2.0	8.0	110	1.0	4.0	160	4.0	5-7	210.0	1.0	5-8	190	1	5=>7	230.0	1.0	5=>8	340	1.0	4-5-8	310	1.0	5=>8=>4	740	1.0				58694137102.0		
200948011202	ダ	右	1400	小雨	稍重	11:20	サラC32組		2009-1-12	21	名古屋	1			7	120	1	7.0	100	1.0	1.0	100	3.0	3.0	100	2.0	1-7	320.0	2.0	1-7	300	2	7=>1	270.0	2.0	7=>1	300	2.0	1-3-7	200	1.0	7=>1=>3	590	2.0		37101924856.0	37110928456.0	37110298546.0		
200948011203	ダ	右	1400	小雨	稍重	11:50	サラC31組		2009-1-12	21	名古屋	1			4	220	2	4.0	110	2.0	1.0	130	3.0	3.0	110	1.0	1-4	450.0	2.0	1-4	430	2	4=>1	790.0	3.0	4=>1	840	3.0	1-3-4	280	1.0	4=>1=>3	1310	3.0		41105732869.0	41107358269.0	41710385269.0		
200948011204	ダ	右	1300	晴	稍重	12:20	サラC30組		2009-1-12	21	名古屋	1			10	280	2	10.0	100	3.0	1.0	100	2.0	7.0	100	1.0	1-8	790.0	4.0	1-10	650	3	8=>1	1250.0	6.0	10=>1	1680	8.0	1-7-10	430	1.0	10=>1=>7	2560	7.0		1072146538.0	1072416583.0	1074162583.0		
200948011205	ダ	右	1400	晴	稍重	12:50	サラC29組		2009-1-12	21	名古屋	1			2	2640	5	2.0	830	9.0	1.0	490	7.0	10.0	110	1.0	1-2	19310.0	24.0	1-2	11450	22	2=>1	45630.0	47.0	2=>1	36350	48.0	1-2-10	7600	21.0	2=>1=>10	75150	142.0		21015678439.0	21015867934.0	21015869734.0		
200948011206	ダ	右	1400	晴	稍重	13:20	美奈子さん成人おめで		2009-1-12	21	名古屋	1			9	6440	7	9.0	560	6.0	8.0	180	4.0	1.0	160	3.0	7-8	1080.0	4.0	8-9	8800	13	8=>7	1240.0	7.0	9=>8	41360	37.0	1-8-9	8450	18.0	9=>8=>1	146590	151.0		19102534876.0	19105842736.0	19105824736.0		
200948011207	ダ	右	1600	晴	稍重	13:55	M単ポコ助連覇&ポニ		2009-1-12	21	名古屋	1			10	450	2	10.0	100	2.0	1.0	100	1.0	9.0	130	3.0	1-8	110.0	1.0	1-10	140	1	8=>1	340.0	2.0	10=>1	430	2.0	1-9-10	180	1.0	10=>1=>9	810	2.0		11063594782.0	11059638274.0	11095382674.0		
200948011208	ダ	右	1600	晴	稍重	14:25	系統豚シンボルマーク 		2009-1-12	21	名古屋	1			4	840	6	4.0	330	7.0	2.0	210	5.0	1.0	260	6.0	2-4	6020.0	20.0	2-4	7450	22	4=>2	21790.0	42.0	4=>2	17680	41.0	1-2-4	13040	35.0	4=>2=>1	65140	165.0		47823105691.0	47810265319.0	47281065139.0		
200948011209	ダ	右	1400	晴	稍重	14:55	サラC27組		2009-1-12	21	名古屋	1	牝		5	130	1	5.0	140	2.0	4.0	270	5.0	8.0	160	3.0	4-5	1910.0	5.0	4-5	2460	8	5=>4	2230.0	10.0	5=>4	1770	6.0	4-5-8	1320	6.0	5=>4=>8	5480	18.0		51481039672.0	54811037962.0	54810739612.0		
200948011210	ダ	右	1600	晴	稍重	15:25	丹頂鶴特別 		2009-1-12	21	名古屋	1			5	180	1	5.0	130	2.0	3.0	320	3.0							3-5	940	2				5=>3	1400	3.0	1-3-5	2880	5.0	5=>3=>1	7390	20.0		2453176	2453167.0	(2,4,5),3,1,7,6		
200948011211	ダ	右	1800	晴	稍重	16:20	名古屋LJケンタウロ	G	2009-1-12	21	名古屋	1			8	1150	7	8.0	450	7.0	2.0	420	6.0	4.0	340	4.0	2-6	4250.0	14.0	2-8	3090	13	6=>2	8160.0	26.0	8=>2	12330	38.0	2-4-8	12260	41.0	8=>2=>4	71300	201.0		812311461025971.0	831112410652917.0	831141062912157.0		
200948011301	ダ	右	1400	晴	良	10:50	名古屋3歳牝馬		2009-1-13	21	名古屋	2	牝		8	130	1	8.0	100	1.0	7.0	100	2.0	9.0	100	3.0	7-7	150.0	1.0	7-8	200	1	7=>7	250.0	2.0	8=>7	270	1.0	7-8-9	370	2.0	8=>7=>9	950	2.0		18971045326.0	18971045236.0	89174106523.0		
200948011302	ダ	右	1400	晴	良	11:20	サラC26組		2009-1-13	21	名古屋	2			3	140	1	3.0	100	1.0	4.0	270	5.0	2.0	970	7.0	3-4	460.0	2.0	3-4	460	2	3=>4	480.0	2.0	3=>4	540	2.0	2-3-4	2580	7.0	3=>4=>2	5290	16.0		89451326107.0	89415237610.0	94835126710.0		
200948011303	ダ	右	1400	晴	良	11:50	サラC25組		2009-1-13	21	名古屋	2			6	820	4	6.0	150	4.0	9.0	140	2.0	10.0	180	5.0	6-8	260.0	1.0	6-9	450	2	6=>8	890.0	5.0	6=>9	1170	6.0	6-9-10	540	2.0	6=>9=>10	3730	11.0		19106734825.0	19106743852.0	19106743582.0		
200948011304	ダ	右	800	晴	良	12:20	サラC24組		2009-1-13	21	名古屋	2			9	760	3	9.0	230	4.0	3.0	100	1.0	2.0	130	3.0	3-8	780.0	3.0	3-9	980	4	8=>3	2080.0	9.0	9=>3	6110	14.0	2-3-9	760	3.0	9=>3=>2	13180	38.0				94632810517.0		
200948011305	ダ	右	1400	晴	良	12:50	サラC23組		2009-1-13	21	名古屋	2			5	240	2	5.0	100	2.0	10.0	270	5.0	3.0	100	1.0	5-8	490.0	3.0	5-10	450	2	5=>8	610.0	3.0	5=>10	780	3.0	3-5-10	710	3.0	5=>10=>3	2190	6.0		10531924786.0	10531927648.0	10531926847.0		
200948011306	ダ	右	1300	晴	良	13:20	サラC22組		2009-1-13	21	名古屋	2			1	110	1	1.0	150	3.0	5.0	140	2.0	10.0	480	6.0	1-5	120.0	1.0	1-5	160	1	1=>5	200.0	1.0	1=>5	230	1.0	1-5-10	630	3.0	1=>5=>10	1170	4.0		10518362947.0	10518436297.0	10514863297.0		
200948011307	ダ	右	1400	晴	良	13:50	サラC21組		2009-1-13	21	名古屋	2			7	100	1	7.0	100	1.0	9.0	150	3.0	1.0	330	6.0	7-8	200.0	1.0	7-9	210	1	7=>8	190.0	1.0	7=>9	240	1.0	1-7-9	970	4.0	7=>9=>1	1570	5.0		79101825346.0	79110825346.0	79181025346.0		
200948011308	ダ	右	1400	晴	良	14:20	サラC20組		2009-1-13	21	名古屋	2			1	190	1	1.0	120	2.0	5.0	120	1.0	4.0	360	8.0	1-5	260.0	1.0	1-5	260	1	1=>5	390.0	1.0	1=>5	370	1.0	1-4-5	800	2.0	1=>5=>4	2010	3.0		91538107462.0	91538410726.0	91543108726.0		
200948011309	ダ	右	1600	晴	良	14:50	サラB4組		2009-1-13	21	名古屋	2			5	100	1	5.0	100	1.0	1.0	250	5.0	3.0	170	3.0	1-5	740.0	3.0	1-5	720	3	5=>1	960.0	4.0	5=>1	850	3.0	1-3-5	2500	10.0	5=>1=>3	5190	16.0		12541089637.0	15241089367.0	15481039726.0		
200948011310	ダ	右	1600	晴	良	15:20	サラB3組		2009-1-13	21	名古屋	2			1	2810	6	1.0	240	5.0	3.0	160	3.0	7.0	150	2.0	1-3	2860.0	9.0	1-3	2710	8	1=>3	7090.0	16.0	1=>3	6120	18.0	1-3-7	4710	16.0	1=>3=>7	24580	70.0		13104796852.0	13104976852.0	13791046825.0		
200948011501	ダ	右	1400	晴	良	10:50	名古屋3歳牝馬		2009-1-15	21	名古屋	4	牝		7	120	1	7.0	100	1.0	4.0	160	5.0	2.0	140	3.0	4-7	370.0	2.0	4-7	340	2	7=>4	740.0	3.0	7=>4	450	2.0	2-4-7	510	2.0	7=>4=>2	1570	4.0		46102791385.0	46102791385.0	41076291385.0		
200948011502	ダ	右	800	晴	良	11:20	サラC13組		2009-1-15	21	名古屋	4			9	7470	9	9.0	1,030	7.0	7.0	170	3.0	4.0	110	1.0	7-8	2330.0	11.0	7-9	28550	27	8=>7	10260.0	27.0	9=>7	239190	59.0	4-7-9	12490	25.0	9=>7=>4	125860	179.0				497562813.0		
200948011503	ダ	右	1400	晴	良	11:50	才色兼備後藤則恵誕生		2009-1-15	21	名古屋	4			8	100	1	8.0	100	1.0	7.0	120	3.0	3.0	110	2.0	7-7	250.0	2.0	7-8	280	2	7=>7	250.0	2.0	8=>7	330	2.0	3-7-8	140	1.0	8=>7=>3	470	2.0		83724110695.0	83724161059.0	87342161095.0		
200948011504	ダ	右	1300	晴	良	12:20	サラC11組		2009-1-15	21	名古屋	4			2	540	3	2.0	140	2.0	4.0	150	3.0	10.0	150	4.0	2-4	520.0	2.0	2-4	590	2	2=>4	1670.0	9.0	2=>4	1030	5.0	2-4-10	970	3.0	2=>4=>10	5610	20.0		24103815976.0	24103891756.0	24103897561.0		
200948011505	ダ	右	1400	晴	良	12:50	サラC10組		2009-1-15	21	名古屋	4			5	290	2	5.0	100	1.0	4.0	320	5.0	2.0	110	2.0	4-5	6750.0	12.0	4-5	5480	11	5=>4	5890.0	15.0	5=>4	12590	20.0	2-4-5	960	4.0	5=>4=>2	26100	48.0		26831547109.0	26831547109.0	28615349107.0		
200948011506	ダ	右	1400	晴	良	13:20	サラC9組		2009-1-15	21	名古屋	4			8	250	1	8.0	100	1.0	2.0	100	2.0	9.0	130	4.0	2-8	170.0	1.0	2-8	160	1	8=>2	240.0	1.0	8=>2	230	1.0	2-8-9	840	2.0	8=>2=>9	1110	4.0		268791534.0	286791534.0	286971534.0		
200948011507	ダ	右	1400	晴	良	13:50	祝健次郎・国子還暦祝		2009-1-15	21	名古屋	4			8	600	3	8.0	160	2.0	4.0	180	4.0	10.0	180	3.0	4-7	1360.0	9.0	4-8	1400	9	7=>4	3670.0	17.0	8=>4	3320	17.0	4-8-10	1850	10.0	8=>4=>10	8560	40.0		81095174623.0	81049571362.0	84105917326.0		
200948011508	ダ	右	1600	晴	良	14:20	サラC7組		2009-1-15	21	名古屋	4			8	140	1	8.0	100	1.0	9.0	100	1.0	2.0	260	5.0	7-8	160.0	1.0	8-9	160	1	7=>8	240.0	1.0	8=>9	340	1.0	2-8-9	990	3.0	8=>9=>2	1910	6.0		89106523417.0	89106524317.0	89610254317.0		
200948011509	ダ	右	1400	晴	良	14:50	サラB9組		2009-1-15	21	名古屋	4			10	490	3	10.0	120	3.0	7.0	120	2.0	9.0	100	1.0	7-8	260.0	1.0	7-10	1730	6	8=>7	500.0	2.0	10=>7	2670	10.0	7-9-10	820	2.0	10=>7=>9	7800	20.0		12610985473.0	12610985743.0	12106789543.0		
200948012601	ダ	右	800	晴	重	11:00	サラC30組		2009-1-26	22	名古屋	1			4	2820	6	4.0	460	7.0	5.0	220	4.0	9.0	140	2.0	4-5	9310.0	19.0	4-5	9710	20	4=>5	15530.0	28.0	4=>5	59780	64.0	4-5-9	3920	13.0	4=>5=>9	49980	123.0				45917283106.0		
200948012602	ダ	右	1400	晴	重	11:30	サラC29組		2009-1-26	22	名古屋	1			2	120	1	2.0	100	1.0	10.0	900	9.0	1.0	250	4.0	2-8	520.0	2.0	2-10	1900	6	2=>8	650.0	2.0	2=>10	3240	7.0	1-2-10	7490	16.0	2=>10=>1	30450	51.0		21071956834.0	21097158634.0	21091785364.0		
200948012603	ダ	右	1400	晴	重	12:00	サラC28組		2009-1-26	22	名古屋	1	牝		2	760	3	2.0	190	2.0	4.0	190	4.0	5.0	360	7.0	2-4	750.0	3.0	2-4	800	3	2=>4	1940.0	9.0	2=>4	2070	9.0	2-4-5	4340	17.0	2=>4=>5	22160	77.0		13469572810.0	13469527810.0	41963257810.0		
200948012604	ダ	右	1300	晴	重	12:30	サラC27組		2009-1-26	22	名古屋	1			1	120	1	1.0	110	1.0	8.0	170	3.0	10.0	210	4.0	1-7	370.0	2.0	1-8	430	3	1=>7	420.0	2.0	1=>8	670	5.0	1-8-10	720	1.0	1=>8=>10	1790	2.0		1571089642.0	1571089642.0	1581097462.0		
200948012605	ダ	右	1400	晴	重	13:00	サラC26組		2009-1-26	22	名古屋	1			3	530	4	3.0	300	4.0	2.0	170	2.0	7.0	340	6.0	2-3	2310.0	8.0	2-3	1250	6	3=>2	3680.0	13.0	3=>2	3010	15.0	2-3-7	2430	8.0	3=>2=>7	13880	51.0		27910365148.0	27910365148.0	27931046158.0		
200948012606	ダ	右	1400	晴	重	13:30	サラC25組		2009-1-26	22	名古屋	1			4	270	2	4.0	170	3.0	2.0	350	4.0	1.0	860	6.0	2-4	1970.0	7.0	2-4	1680	7	4=>2	1890.0	8.0	4=>2	2560	9.0	1-2-4	8240	15.0	4=>2=>1	17700	51.0		42918610375.0	42981671035.0	42981671053.0		
200948012607	ダ	右	1600	晴	重	14:00	サラB4組		2009-1-26	22	名古屋	1			4	240	1	4.0	130	2.0	1.0	120	1.0	7.0	230	5.0	1-4	710.0	3.0	1-4	840	4	4=>1	1050.0	3.0	4=>1	1100	4.0	1-4-7	2100	7.0	4=>1=>7	5990	21.0		45718236910	45718362910.0	4,(8,7,1),6,3,5,2,9,10		
200948012608	ダ	右	1600	晴	重	14:30	安部幸夫年間200勝		2009-1-26	22	名古屋	1			2	130	1	2.0	110	1.0	4.0	170	3.0	6.0	1,180	8.0	2-4	690.0	3.0	2-4	610	3	2=>4	600.0	3.0	2=>4	670	3.0	2-4-6	15500	25.0	2=>4=>6	30150	54.0		23651049871.0	23561047918.0	23564107189.0		
200948012701	ダ	右	1400	晴	重	11:00	サラ3歳3組		2009-1-27	22	名古屋	2			2	260	2	2.0	160	2.0	1.0	170	3.0	8.0	370	6.0	1-2	560.0	2.0	1-2	540	2	2=>1	880.0	3.0	2=>1	710	2.0	1-2-8	2240	9.0	2=>1=>8	5530	17.0		98217365104.0	97281635104.0	82719345610.0		
200948012702	ダ	右	800	晴	重	11:30	サラC24組		2009-1-27	22	名古屋	2			1	160	1	1.0	110	1.0	8.0	150	4.0	7.0	140	2.0	1-7	280.0	1.0	1-8	960	4	1=>7	340.0	1.0	1=>8	1260	4.0	1-7-8	980	4.0	1=>8=>7	4140	11.0				17865324109.0		
200948012703	ダ	右	1400	晴	重	12:00	サラC23組		2009-1-27	22	名古屋	2			4	610	3	4.0	170	2.0	2.0	210	3.0	1.0	430	7.0	2-4	2050.0	8.0	2-4	2610	12	4=>2	4810.0	17.0	4=>2	3560	14.0	1-2-4	4180	20.0	4=>2=>1	21850	78.0		48102316579.0	48210316579.0	48210316759.0		
200948012704	ダ	右	1300	晴	重	12:30	サラC22組		2009-1-27	22	名古屋	2			9	340	3	9.0	100	1.0	3.0	100	2.0	4.0	220	5.0	3-8	350.0	1.0	3-9	390	1	8=>3	660.0	2.0	9=>3	650	1.0	3-4-9	1550	6.0	9=>3=>4	3660	11.0		95347128610	95347218610.0	9,(3,7),4,2,5,1,8,6,10		
200948012705	ダ	右	1400	晴	重	13:00	サラC21組		2009-1-27	22	名古屋	2			2	120	1	2.0	100	1.0	6.0	140	2.0	1.0	380	7.0	2-6	160.0	1.0	2-6	170	1	2=>6	180.0	1.0	2=>6	230	1.0	1-2-6	2050	7.0	2=>6=>1	3070	12.0		25106418937.0	25610149837.0	26514109387.0		
200948012706	ダ	右	1600	晴	稍重	13:35	サラB6組		2009-1-27	22	名古屋	2			4	360	3	4.0	110	2.0	6.0	170	4.0	3.0	100	1.0	4-6	1500.0	6.0	4-6	1160	5	4=>6	3910.0	14.0	4=>6	3500	11.0	3-4-6	880	3.0	4=>6=>3	8670	28.0		378461529.0	347618529.0	463815729.0		
200948012707	ダ	右	1400	晴	稍重	14:10	サラB5組		2009-1-27	22	名古屋	2			7	380	2	7.0	120	2.0	6.0	100	1.0	4.0	140	3.0	6-7	600.0	1.0	6-7	610	1	7=>6	1490.0	6.0	7=>6	1290	4.0	4-6-7	720	1.0	7=>6=>4	3320	4.0		17109654283.0	17109652483.0	71695421083.0		
200948012708	ダ	右	1600	晴	稍重	15:05	サラA4組		2009-1-27	22	名古屋	2			8	170	1	8.0	110	1.0	7.0	130	2.0	4.0	130	3.0	7-7	220.0	1.0	7-8	250	1	7=>7	340.0	1.0	8=>7	360	1.0	4-7-8	440	2.0	8=>7=>4	1280	2.0		81746321059.0	87641321059.0	87463512109.0		
200948012901	ダ	右	800	晴	稍重	11:00	鴇田英将・玲子結婚お		2009-1-29	22	名古屋	4			8	660	3	8.0	140	4.0	9.0	100	1.0	6.0	110	2.0	7-8	1650.0	7.0	8-9	3450	10	7=>8	2420.0	10.0	8=>9	6840	19.0	6-8-9	2620	7.0	8=>9=>6	23830	64.0				89610354721.0		
200948012902	ダ	右	1400	晴	稍重	11:30	名古屋3歳牝馬		2009-1-29	22	名古屋	4	牝		8	860	4	8.0	140	4.0	4.0	110	1.0	10.0	110	2.0	4-7	820.0	5.0	4-8	730	4	7=>4	1630.0	8.0	8=>4	1360	4.0	4-8-10	620	1.0	8=>4=>10	3370	6.0		41015873629.0	41058173629.0	41058172369.0		
200948012903	ダ	右	1400	晴	稍重	12:00	サラC12組		2009-1-29	22	名古屋	4			1	130	1	1.0	100	1.0	8.0	100	2.0	10.0	320	6.0	1-7	190.0	1.0	1-8	280	1	1=>7	200.0	1.0	1=>8	420	1.0	1-8-10	980	4.0	1=>8=>10	2210	6.0		16104792583.0	16107498523.0	11076489523.0		
200948012904	ダ	右	1300	晴	稍重	12:30	サラC11組		2009-1-29	22	名古屋	4			7	290	2	7.0	100	2.0	5.0	100	3.0	8.0	100	1.0	5-7	170.0	1.0	5-7	270	1	7=>5	330.0	2.0	7=>5	540	2.0	5-7-8	190	1.0	7=>5=>8	990	2.0		78951012643.0	78951102634.0	75981012634.0		
200948012905	ダ	右	1400	晴	稍重	13:00	サラC10組		2009-1-29	22	名古屋	4			10	140	1	10.0	110	1.0	1.0	670	8.0	3.0	120	2.0	1-8	3310.0	11.0	1-10	4420	12	8=>1	4690.0	16.0	10=>1	4560	16.0	1-3-10	3820	12.0	10=>1=>3	20900	65.0		10321576849.0	10325176849.0	10312576849.0		
200948012906	ダ	右	1400	晴	稍重	13:30	木元隆博・島村英里奈		2009-1-29	22	名古屋	4			1	120	1	1.0	100	1.0	4.0	100	2.0	2.0	740	6.0	1-4	130.0	1.0	1-4	120	1	1=>4	150.0	1.0	1=>4	160	1.0	1-2-4	2080	5.0	1=>4=>2	2730	10.0		17924651083.0	12794651083.0	12497651083.0		
200948012907	ダ	右	1600	晴	稍重	14:00	サラC8組		2009-1-29	22	名古屋	4			7	120	1	7.0	100	1.0	2.0	150	3.0	1.0	370	6.0	2-7	190.0	1.0	2-7	210	1	7=>2	200.0	1.0	7=>2	210	1.0	1-2-7	770	4.0	7=>2=>1	1040	3.0		25713849610.0	27153894610.0	27138594610.0		
200948012908	ダ	右	1400	晴	稍重	14:35	サラB10組		2009-1-29	22	名古屋	4			4	4340	7	4.0	270	6.0	6.0	280	7.0	10.0	120	1.0	4-6	7090.0	15.0	4-6	7070	18	4=>6	20400.0	29.0	4=>6	24540	40.0	4-6-10	4120	14.0	4=>6=>10	43330	106.0		69110342578.0	69103145287.0	69104315278.0		
200948013001	ダ	右	800	曇	稍重	11:00	サラ3歳6組		2009-1-30	22	名古屋	5			4	200	1	4.0	100	2.0	9.0	100	1.0	10.0	100	3.0	4-8	200.0	1.0	4-9	420	1	4=>8	330.0	1.0	4=>9	580	1.0	4-9-10	400	1.0	4=>9=>10	1310	1.0				9104618257.0		
200948013002	ダ	右	1400	曇	稍重	11:30	サラ3歳5組		2009-1-30	22	名古屋	5			3	3590	7	3.0	430	8.0	9.0	100	1.0	2.0	260	4.0	3-8	1370.0	5.0	3-9	1330	6	3=>8	8430.0	15.0	3=>9	5460	14.0	2-3-9	3120	12.0	3=>9=>2	61320	95.0		39108652741.0	39106852714.0	31095628174.0		
200948013003	ダ	右	1400	曇	稍重	12:00	サラC7組		2009-1-30	22	名古屋	5			7	140	1	7.0	100	1.0	9.0	150	3.0	5.0	110	2.0	7-8	440.0	2.0	7-9	460	1	7=>8	530.0	1.0	7=>9	670	2.0	5-7-9	580	1.0	7=>9=>5	1990	4.0		79164358102.0	79164531082.0	79154631082.0		
200948013004	ダ	右	1300	曇	稍重	12:30	サラC6組		2009-1-30	22	名古屋	5			5	120	1	5.0	100	1.0	1.0	100	2.0	3.0	140	3.0	1-5	330.0	2.0	1-5	200	1	5=>1	270.0	1.0	5=>1	280	1.0	1-3-5	670	2.0	5=>1=>3	1490	3.0		57361018294.0	57361108294.0	57361108924.0		
