	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200947010606	ダ	右	1400	晴	良	13:30	サラ系C24組		2009-1-6	17	笠松	1			8.0	270.0	2.0	8.0	130	3.0	6.0	110	1.0	6-8	380.0	1.0	8=>6	690.0	1.0	4-6-8	610.0	2.0	8=>6=>4	1790.0	3.0		8,6,5,1,7,10,9,4,3-2	86591042713	86510479231			4.0	110.0	2.0	6-7	430.0	1.0	7=>6	780.0	2.0									
200947010607	ダ	右	1400	晴	良	14:00	サラ系C23組		2009-1-6	17	笠松	1			9.0	130.0	1.0	9.0	100	1.0	4.0	100	2.0	4-9	260.0	1.0	9=>4	360.0	1.0	2-4-9	340.0	1.0	9=>4=>2	810.0	1.0		47965211038	49167251038	(4,9),6,2,1,5,10,3,7,8			2.0	120.0	3.0	4-8	260.0	1.0	8=>4	310.0	1.0									
200947010608	ダ	右	1400	晴	良	14:35	サラ系C22組牝馬		2009-1-6	17	笠松	1	牝		3.0	870.0	3.0	3.0	180	3.0	6.0	350	5.0	3-6	6920.0	21.0	3=>6	9990.0	30.0	3-6-9	14470.0	44.0	3=>6=>9	62410.0	172.0		35914672108.0	35964712108.0	35964172108.0			9.0	410.0	6.0	3-6	4850.0	18.0	3=>6	8120.0	28.0									
200947010609	ダ	右	1600	晴	良	15:10	ことぶき特別 		2009-1-6	17	笠松	1			10.0	250.0	2.0	10.0	130	3.0	9.0	150	4.0	9-10	1310.0	6.0	10=>9	2000.0	10.0	4-9-10	930.0	3.0	10=>9=>4	5780.0	20.0		(8,3,7),9,2,10,6,5,4=1	7,8,3,9,10,4,6,5,2-1	8,7,9,10,3,4,6,5,2=1			4.0	110.0	1.0	8-8	1380.0	7.0	8=>8	1420.0	9.0									
200947010701	ダ	右	1400	晴	良	11:00	サラ系3歳6組		2009-1-7	17	笠松	2			2.0	500.0	4.0	2.0	150	3.0	5.0	210	5.0	2-5	2650.0	13.0	2=>5	3680.0	18.0	2-4-5	2560.0	12.0	2=>5=>4	15370.0	60.0		45782613.0	45278163.0	24518673.0			4.0	130.0	2.0															
200947010702	ダ	右	1400	晴	良	11:30	サラ系3歳5組		2009-1-7	17	笠松	2			8.0	100.0	1.0	8.0	100	1.0	1.0	270	5.0	1-8	1170.0	4.0	8=>1	1320.0	5.0	1-4-8	1850.0	7.0	8=>1=>4	3780.0	14.0		18567342.0	18567342.0	81536472.0			4.0	220.0	4.0															
200947010703	ダ	右	1400	晴	良	12:00	サラ系3歳4組		2009-1-7	17	笠松	2			7.0	2130.0	5.0	7.0	330	6.0	5.0	140	2.0	5-7	4950.0	10.0	7=>5	20090.0	28.0	4-5-7	7650.0	19.0	7=>5=>4	68460.0	110.0		75643218.0	75463218.0	75461238.0			4.0	210.0	3.0															
200947010704	ダ	右	1400	晴	良	12:30	サラ系C21組牝馬		2009-1-7	17	笠松	2	牝		5.0	330.0	2.0	5.0	110	1.0	8.0	110	2.0	5-8	170.0	1.0	5=>8	340.0	2.0	5-6-8	1070.0	4.0	5=>8=>6	3090.0	10.0		589614372.0	581694732.0	586419237.0			6.0	130.0	3.0	5-8	150.0	1.0	5=>8	270.0	1.0									
200947010705	ダ	右	1400	晴	良	13:00	サラ系C20組		2009-1-7	17	笠松	2			8.0	200.0	1.0	8.0	100	1.0	1.0	100	2.0	1-8	290.0	1.0	8=>1	470.0	1.0	1-2-8	680.0	2.0	8=>1=>2	1880.0	6.0		146289573.0	146285973.0	186429573.0			2.0	140.0	4.0	1-8	240.0	1.0	8=>1	560.0	2.0									
200947010706	ダ	右	1400	晴	良	13:30	サラ系C19組		2009-1-7	17	笠松	2			6.0	120.0	1.0	6.0	100	1.0	1.0	640	8.0	1-6	2170.0	5.0	6=>1	2390.0	7.0	1-6-7	2040.0	7.0	6=>1=>7	9330.0	26.0		67182510493.0	67182541039.0	67185243109.0			7.0	120.0	2.0	1-6	1870.0	5.0	6=>1	1920.0	6.0									
200947010707	ダ	右	1400	晴	良	14:00	サラ系C18組		2009-1-7	17	笠松	2			8.0	260.0	2.0	8.0	100	2.0	4.0	100	1.0	4-8	140.0	1.0	8=>4	450.0	2.0	4-6-8	230.0	1.0	8=>4=>6	1150.0	4.0		4,8-10,6,1,7,5,2,3,9	4,8=6,5,10,1,2,7,3,9	8,4=6,5,10,1,2,7,3,9			6.0	100.0	3.0	4-7	160.0	1.0	7=>4	700.0	2.0									
200947010708	ダ	右	1400	晴	良	14:35	サラ系B4・7組		2009-1-7	17	笠松	2			7.0	330.0	2.0	7.0	250	5.0	4.0	230	3.0	4-7	1420.0	6.0	7=>4	2120.0	7.0	4-7-8	5630.0	20.0	7=>4=>8	20830.0	63.0		47965813210.0	47986325110.0	47968312510.0			8.0	490.0	6.0	4-7	970.0	5.0	7=>4	2180.0	10.0									
200947010801	ダ	右	1400	晴	良	11:00	サラ系3歳3組		2009-1-8	17	笠松	3			6.0	150.0	1.0	6.0	150	2.0	2.0	280	3.0	2-6	690.0	2.0	6=>2	680.0	3.0	2-5-6	2860.0	7.0	6=>2=>5	5790.0	16.0		5673214.0	5637421.0	5631274.0																				
200947010802	ダ	右	1400	晴	良	11:30	サラ系C15組		2009-1-8	17	笠松	3			8.0	170.0	1.0	8.0	100	1.0	3.0	120	3.0	3-8	460.0	2.0	8=>3	580.0	2.0	3-4-8	300.0	1.0	8=>3=>4	1410.0	3.0		584236791	584236719	8,4,3,5,2,6,7-9,1			4.0	100.0	2.0	3-8	440.0	2.0	8=>3	680.0	3.0									
200947010803	ダ	右	1400	晴	良	12:00	サラ系C11・14組		2009-1-8	17	笠松	3			9.0	960.0	4.0	9.0	130	2.0	7.0	120	1.0	7-9	630.0	3.0	9=>7	1790.0	7.0	7-8-9	820.0	2.0	9=>7=>8	3870.0	7.0		897623541	(9,7,6),8,(3,4),5,2,1	978624531			8.0	130.0	3.0	7-8	290.0	1.0	8=>7	720.0	2.0									
200947010804	ダ	右	1400	晴	良	12:30	サラ系C10組		2009-1-8	17	笠松	3			2.0	110.0	1.0	2.0	100	1.0	1.0	100	2.0	1-2	150.0	1.0	2=>1	140.0	1.0	1-2-4	980.0	3.0	2=>1=>4	1120.0	4.0		127964385	1,2-(7,9,4),6-3,8,5	(1,2)-7,4,9,6-8,3,5			4.0	250.0	6.0	1-2	140.0	1.0	2=>1	150.0	1.0									
200947010901	ダ	右	1400	雨	稍重	11:00	サラ系C17組		2009-1-9	17	笠松	4			2.0	220.0	2.0	2.0	130	3.0	3.0	100	1.0	2-3	340.0	1.0	2=>3	470.0	1.0	2-3-8	700.0	2.0	2=>3=>8	1820.0	3.0		689243751	689472351	(6,8),9,2,3,7,1,5,4			8.0	170.0	4.0	2-3	310.0	1.0	2=>3	330.0	1.0									
200947011801	ダ	右	1400	曇	良	11:00	サラ系3歳6組		2009-1-18	18	笠松	1			2.0	180.0	1.0	2.0	120	1.0	7.0	160	3.0	2-7	750.0	3.0	2=>7	1710.0	7.0	2-3-7	4410.0	21.0	2=>7=>3	16920.0	64.0		385142769.0	385412796.0	385421769.0			3.0	310.0	5.0	2-7	680.0	2.0	2=>7	1300.0	4.0									
200947011802	ダ	右	1400	曇	良	11:30	サラ系3歳5組		2009-1-18	18	笠松	1			8.0	470.0	2.0	8.0	120	2.0	9.0	140	3.0	8-9	770.0	5.0	8=>9	1380.0	5.0	4-8-9	400.0	1.0	8=>9=>4	3300.0	10.0		582934167.0	893452617.0	893462715.0			4.0	100.0	1.0	8-8	950.0	4.0	8=>8	900.0	4.0									
200947011803	ダ	右	1400	曇	良	12:00	サラ系C35組牝馬		2009-1-18	18	笠松	1	牝		8.0	110.0	1.0	8.0	100	1.0	9.0	190	3.0	8-9	620.0	3.0	8=>9	580.0	2.0	1-8-9	1510.0	6.0	8=>9=>1	2510.0	8.0		678491325.0	896714235.0	891764235.0			1.0	370.0	6.0	8-8	520.0	2.0	8=>8	480.0	2.0									
200947011804	ダ	右	1400	曇	良	12:30	小林千咲貴6歳誕生日		2009-1-18	18	笠松	1			9.0	100.0	1.0	9.0	100	1.0	1.0	230	5.0	1-9	910.0	5.0	9=>1	960.0	5.0	1-6-9	25290.0	33.0	9=>1=>6	42340.0	56.0		921467385.0	912643785.0	912643857.0			6.0	1,860	9.0	1-8	870.0	5.0	8=>1	1040.0	5.0									
200947011805	ダ	右	800	曇	良	13:05	笹下記念		2009-1-18	18	笠松	1			9.0	200.0	1.0	9.0	100	1.0	1.0	110	2.0	1-9	540.0	3.0	9=>1	1110.0	6.0	1-8-9	250.0	1.0	9=>1=>8	1790.0	6.0				18793642.0			8.0	110	3.0	1-8	230.0	1.0	8=>1	350.0	2.0									
200947011806	ダ	右	1400	曇	良	13:40	サラ系C33組		2009-1-18	18	笠松	1			5.0	180.0	1.0	5.0	120	1.0	3.0	250	6.0	3-5	2190.0	9.0	5=>3	2180.0	8.0	3-5-7	2130.0	8.0	5=>3=>7	12140.0	34.0		927583461	9,7,2,5,8,3,6,4-1	975328641			7.0	200	3.0	3-5	1500.0	8.0	5=>3	1920.0	10.0									
200947011807	ダ	右	1400	曇	良	14:15	サラ系C31組		2009-1-18	18	笠松	1			8.0	310.0	2.0	8.0	150	3.0	3.0	120	2.0	3-8	460.0	3.0	8=>3	730.0	4.0	3-4-8	760.0	3.0	8=>3=>4	2660.0	10.0		168239547.0	182634597.0	183425796.0			4.0	290	4.0	3-8	440.0	3.0	8=>3	780.0	4.0									
200947011808	ダ	右	1400	曇	良	14:50	旨い!卵かけご飯推進		2009-1-18	18	笠松	1			10.0	6730.0	8.0	10.0	600	7.0	5.0	110	1.0	5-10	29010.0	27.0	10=>5	80320.0	47.0	5-9-10	35380.0	40.0	10=>5=>9	719580.0	295.0		89751061342	89511076324	(8,9,5),1,10,6,7,3,2,4			9.0	180	3.0	5-8	640.0	3.0	8=>5	1930.0	7.0									
200947011809	ダ	右	1800	雨	良	15:25	千両特別 		2009-1-18	18	笠松	1			1.0	150.0	1.0	1.0	100	1.0	6.0	130	3.0	1-6	730.0	2.0	1=>6	710.0	3.0	1-6-10	410.0	1.0	1=>6=>10	1240.0	4.0		15107486932.0	15107468923.0	15106478923.0			10.0	100	2.0	1-6	570.0	2.0	1=>6	750.0	3.0									
200947012001	ダ	右	1400	曇	重	11:00	サラ系C25組牝馬		2009-1-20	18	笠松	3	牝		2.0	100.0	1.0	2.0	100	1.0	5.0	330	6.0	2-5	770.0	3.0	2=>5	750.0	4.0	2-4-5	740.0	3.0	2=>5=>4	1970.0	7.0		72468531.0	24156738.0	26451387.0			4.0	100	2.0															
200947012002	ダ	右	1400	曇	重	11:30	サラ系C24組		2009-1-20	18	笠松	3			9.0	130.0	1.0	9.0	100	1.0	7.0	110	2.0	7-9	320.0	1.0	9=>7	480.0	2.0	6-7-9	1020.0	5.0	9=>7=>6	1620.0	7.0		4,9,3,7,1,6,8,5-2	9,3,4,7,6,1=8,5,2	973641852			6.0	160	5.0	7-8	340.0	2.0	8=>7	620.0	3.0									
200947012003	ダ	右	1400	曇	重	12:00	サラ系C23組		2009-1-20	18	笠松	3			2.0	150.0	1.0	2.0	100	1.0	3.0	100	2.0	2-3	220.0	1.0	2=>3	310.0	1.0	2-3-7	170.0	1.0	2=>3=>7	570.0	1.0		23541876	2,3-5,7,4,8,1,6	2,3-7,4,5,8,6,1			7.0	100	3.0															
200947012004	ダ	右	1400	曇	重	12:30	カトレア短距離特別 		2009-1-20	18	笠松	3			3.0	120.0	1.0	3.0	100	2.0	1.0	100	1.0	1-3	140.0	1.0	3=>1	180.0	1.0	1-3-4	830.0	2.0	3=>1=>4	1290.0	4.0		23415.0	23415.0	32145.0																				
200947012005	ダ	右	1400	曇	重	13:00	サラ系C21組		2009-1-20	18	笠松	3			7.0	230.0	2.0	7.0	100	2.0	4.0	100	1.0	4-7	200.0	1.0	7=>4	360.0	2.0	3-4-7	1840.0	6.0	7=>4=>3	3070.0	9.0		821974653.0	827149635.0	784123659.0			3.0	300	5.0	4-7	200.0	1.0	7=>4	270.0	1.0									
200947012006	ダ	右	1400	曇	重	13:35	サラ系C20組		2009-1-20	18	笠松	3			9.0	240.0	2.0	9.0	160	3.0	7.0	150	2.0	7-9	390.0	1.0	9=>7	460.0	1.0	3-7-9	10110.0	28.0	9=>7=>3	24250.0	74.0		893127645.0	928367145.0	983762145.0			3.0	880	7.0	7-8	320.0	1.0	8=>7	630.0	1.0									
200947012007	ダ	右	1400	曇	重	14:10	サラ系C19組		2009-1-20	18	笠松	3			2.0	1210.0	6.0	2.0	300	4.0	9.0	470	7.0	2-9	9820.0	33.0	2=>9	14490.0	44.0	2-3-9	26510.0	72.0	2=>9=>3	215180.0	421.0		239168475.0	329186745.0	239145687.0			3.0	480	8.0	2-8	2050.0	12.0	2=>8	4490.0	17.0									
200947012101	ダ	右	1400	曇	重	11:00	サラ系3歳4組		2009-1-21	18	笠松	4			3.0	130.0	1.0	3.0	110	1.0	1.0	360	6.0	1-3	690.0	3.0	3=>1	960.0	4.0	1-2-3	2460.0	9.0	3=>1=>2	7100.0	25.0		86312754.0	63821754.0	36128754.0			2.0	300	5.0															
200947012102	ダ	右	1400	曇	重	11:25	サラ系C13組		2009-1-21	18	笠松	4			1.0	290.0	1.0	1.0	210	5.0	3.0	190	3.0	1-3	970.0	5.0	1=>3	2220.0	9.0	1-3-4	8320.0	28.0	1=>3=>4	19380.0	94.0		138957264.0	138975426.0	138794526.0			4.0	750	7.0	1-3	1130.0	7.0	1=>3	2220.0	14.0									
200947012103	ダ	右	1400	曇	稍重	11:55	サラ系C12組		2009-1-21	18	笠松	4			9.0	490.0	3.0	9.0	170	3.0	3.0	390	4.0	3-9	3270.0	8.0	9=>3	6690.0	16.0	3-7-9	2490.0	7.0	9=>3=>7	18060.0	42.0		785926314.0	789253614.0	798235164.0			7.0	120	2.0	3-8	3660.0	8.0	8=>3	8360.0	17.0									
200947012104	ダ	右	1400	曇	稍重	12:25	サラ系C11組		2009-1-21	18	笠松	4			5.0	990.0	5.0	5.0	190	4.0	7.0	120	2.0	5-7	1650.0	5.0	5=>7	4610.0	15.0	3-5-7	500.0	2.0	5=>7=>3	7020.0	24.0		357812469.0	357821496.0	357824196.0			3.0	100	1.0	5-7	1050.0	5.0	5=>7	4180.0	15.0									
200947012105	ダ	右	1400	晴	稍重	12:55	サラ系C10組		2009-1-21	18	笠松	4			3.0	110.0	1.0	3.0	100	1.0	2.0	180	3.0	2-3	710.0	3.0	3=>2	820.0	3.0	2-3-4	28180.0	38.0	3=>2=>4	49520.0	109.0		579681234.0	579368124.0	379186254.0			4.0	1,470	9.0	2-3	830.0	3.0	3=>2	970.0	5.0									
200947012106	ダ	右	1400	晴	稍重	13:25	サラ系3歳3組		2009-1-21	18	笠松	4			7.0	1540.0	5.0	7.0	960	5.0	5.0	180	2.0	5-7	2050.0	9.0	7=>5	4240.0	14.0	5-6-7	2510.0	10.0	7=>5=>6	19430.0	59.0		1374526.0	7513642.0	7165342.0																				
200947012107	ダ	右	1600	曇	稍重	13:55	サラ系C9組		2009-1-21	18	笠松	4			10.0	7630.0	9.0	10.0	700	10.0	4.0	110	1.0	4-10	5810.0	14.0	10=>4	30780.0	53.0	3-4-10	5350.0	14.0	10=>4=>3	74100.0	148.0		23410195867.0	34102915867.0	34109125867.0			3.0	120	2.0	4-8	1400.0	6.0	8=>4	4170.0	15.0									
200947012108	ダ	右	1600	曇	稍重	14:25	サラ系A4組選抜		2009-1-21	18	笠松	4			5.0	190.0	1.0	5.0	110	1.0	6.0	200	4.0	5-6	2160.0	4.0	5=>6	2200.0	7.0	1-5-6	1340.0	3.0	5=>6=>1	10370.0	24.0		18452763	1,5,7,8,4,6,2-3	1,5,7,4,6,8,2-3			1.0	120	2.0															
200947012109	ダ	右	1400	曇	稍重	14:55	若菜賞		2009-1-21	18	笠松	4	(別定)		1.0	190.0	1.0	1.0	110	1.0	10.0	120	2.0	1-10	250.0	1.0	1=>10	440.0	1.0	1-3-10	1000.0	3.0	1=>10=>3	2280.0	3.0		1,7,10,6,4,5,3,9,8-2	1,10,7,4,6,3,5,9,8-2	1,10,5,7,3,4,8,6,9-2			3.0	190	4.0	1-8	260.0	1.0	1=>8	420.0	1.0									
200947012110	ダ	右	1800	曇	稍重	15:30	ガーネット特別 		2009-1-21	18	笠松	4	(別定)		5.0	290.0	2.0	5.0	140	3.0	6.0	100	1.0	5-6	230.0	1.0	5=>6	890.0	5.0	5-6-7	2000.0	5.0	5=>6=>7	5410.0	13.0		8,6,5,3,7,2,4-9,1	6,5,2,8,3,7,4-9,1	5,6,3,2,7,8,4,9-1			7.0	510	7.0	5-6	250.0	1.0	5=>6	970.0	5.0									
200947012201	ダ	右	1400	晴	不良	11:00	サラ系C17組		2009-1-22	18	笠松	5			8.0	190.0	1.0	8.0	100	1.0	9.0	110	3.0	8-9	210.0	1.0	8=>9	380.0	1.0	3-8-9	180.0	1.0	8=>9=>3	550.0	1.0		981643527.0	984165372.0	981436572.0			3.0	100	2.0	8-8	190.0	1.0	8=>8	240.0	1.0									
200947012202	ダ	右	1400	晴	不良	11:30	サラ系C16組		2009-1-22	18	笠松	5			4.0	180.0	1.0	4.0	110	1.0	3.0	120	3.0	3-4	200.0	1.0	4=>3	250.0	1.0	3-4-5	350.0	1.0	4=>3=>5	780.0	1.0		591734826	593471862	(5,3),4,9,8,1,2,6,7			5.0	210	4.0	3-4	190.0	1.0	4=>3	270.0	1.0									
200947012203	ダ	右	1400	晴	不良	12:00	サラ系C8組		2009-1-22	18	笠松	5			6.0	120.0	1.0	6.0	100	1.0	8.0	240	4.0	6-8	570.0	3.0	6=>8	790.0	3.0	3-6-8	440.0	2.0	6=>8=>3	1470.0	5.0		267148395.0	267831495.0	627834951.0			3.0	180	3.0	6-8	710.0	3.0	6=>8	790.0	3.0									
200947012204	ダ	右	1400	晴	不良	12:30	サラ系C7組		2009-1-22	18	笠松	5			4.0	250.0	2.0	4.0	130	2.0	2.0	380	6.0	2-4	1310.0	5.0	4=>2	1760.0	8.0	2-4-8	1780.0	6.0	4=>2=>8	7030.0	30.0		527814396.0	527418396.0	254718396.0			8.0	150	3.0	2-4	970.0	5.0	4=>2	1730.0	8.0									
200947012205	ダ	右	1400	晴	重	13:00	サラ系C6組		2009-1-22	18	笠松	5			4.0	130.0	1.0	4.0	110	1.0	2.0	230	4.0	2-4	780.0	3.0	4=>2	1190.0	4.0	2-4-6	4210.0	14.0	4=>2=>6	9150.0	30.0		368495271.0	368942571.0	634812597.0			6.0	350	6.0	2-4	740.0	3.0	4=>2	890.0	4.0									
200947012206	ダ	右	1400	曇	重	13:35	サラ系3歳1組選抜		2009-1-22	18	笠松	5			7.0	690.0	3.0	7.0	330	3.0	5.0	820	7.0	5-7	3020.0	11.0	7=>5	5670.0	20.0	2-5-7	22420.0	32.0	7=>5=>2	77630.0	134.0		6725134.0	6725143.0	7526143.0																				
200947012207	ダ	右	1600	曇	重	14:10	サラ系C5組		2009-1-22	18	笠松	5			7.0	190.0	1.0	7.0	140	1.0	8.0	380	7.0	7-8	1840.0	7.0	7=>8	2930.0	11.0	4-7-8	18530.0	45.0	7=>8=>4	54560.0	139.0		87210694531.0	87421093561.0	87439210651.0			4.0	470	10.0	7-7	2100.0	7.0	7=>7	1410.0	5.0									
200947012208	ダ	右	1400	曇	重	14:45	サラ系C15組選抜		2009-1-22	18	笠松	5			7.0	240.0	1.0	7.0	140	2.0	4.0	140	3.0	4-7	560.0	2.0	7=>4	860.0	2.0	4-5-7	1220.0	2.0	7=>4=>5	3860.0	6.0		17521038964.0	17521084369.0	71256348109.0			5.0	270	6.0	4-7	510.0	1.0	7=>4	1070.0	4.0									
200947012209	ダ	右	1600	曇	重	15:20	ゴールドジュニア	G	2009-1-22	18	笠松	5	(別定)		3.0	180.0	1.0	3.0	110	1.0	2.0	130	2.0	2-3	270.0	1.0	3=>2	490.0	1.0	2-3-4	990.0	3.0	3=>2=>4	2550.0	3.0		3,4,10,(2,9),8,7,6,1,5	34109278165	34921071586			4.0	240	6.0	2-3	260.0	1.0	3=>2	550.0	1.0									
200947012210	ダ	右	1600	曇	重	15:55	C級チャンピオン 		2009-1-22	18	笠松	5			9.0	430.0	2.0	9.0	110	1.0	10.0	150	3.0	9-10	660.0	3.0	9=>10	1410.0	7.0	4-9-10	350.0	1.0	9=>10=>4	2450.0	6.0		39101846257.0	39104168275.0	91043618257.0			4.0	110	2.0	8-8	580.0	2.0	8=>8	540.0	3.0									
200947012301	ダ	右	800	晴	不良	11:00	サラ系3歳10組牝馬		2009-1-23	18	笠松	6	牝		8.0	140.0	1.0	8.0	110	2.0	2.0	100	1.0	2-8	290.0	1.0	8=>2	590.0	1.0	2-6-8	470.0	1.0	8=>2=>6	1430.0	1.0				826793514.0			6.0	180	4.0	2-8	290.0	1.0	8=>2	490.0	1.0									
200947012303	ダ	右	1400	晴	不良	12:00	サラ系C4組		2009-1-23	18	笠松	6			6.0	310.0	2.0	6.0	140	2.0	4.0	230	4.0	4-6	2260.0	7.0	6=>4	3020.0	10.0	4-6-8	8340.0	23.0	6=>4=>8	23500.0	66.0		24613897	(2,4,6),8,3,1,7,9	46832179			8.0	390	7.0	4-6	1610.0	7.0	6=>4	2990.0	12.0									
200947012304	ダ	右	1400	晴	不良	12:30	サラ系B11・C3組		2009-1-23	18	笠松	6			3.0	320.0	2.0	3.0	100	1.0	9.0	100	2.0	3-9	210.0	1.0	3=>9	380.0	1.0	3-4-9	280.0	1.0	3=>9=>4	880.0	2.0		93126874.0	93216487.0	39241867.0			4.0	110	3.0	3-8	170.0	1.0	3=>8	390.0	1.0									
200947012305	ダ	右	1400	晴	不良	13:00	サラ系B10組		2009-1-23	18	笠松	6			2.0	120.0	1.0	2.0	100	1.0	1.0	100	2.0	1-2	140.0	1.0	2=>1	210.0	1.0	1-2-7	310.0	2.0	2=>1=>7	800.0	2.0		352186749	3,5,2,1,7,8,6-4,9	2,5,1,7,3,8,6-4,9			7.0	130	3.0	1-2	140.0	1.0	2=>1	230.0	1.0									
200947012306	ダ	右	1400	晴	重	13:30	サラ系B9組		2009-1-23	18	笠松	6			7.0	130.0	1.0	7.0	100	1.0	10.0	110	2.0	7-10	220.0	1.0	7=>10	230.0	1.0	7-9-10	390.0	2.0	7=>10=>9	860.0	2.0		2710593864	2710598364	2,7,10,9,5,3,8,6-4			9.0	180	4.0	7-8	150.0	1.0	7=>8	200.0	1.0									
