	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
200634071102	ダ	右	1500	晴	良	15:50	D3　ー3組		2006-7-11	2	旭川	1	40万円以下	(規定)	1	290	2	1	100	1	3	110	2	7.0	350.0	7.0	1-3	240	1	1=>3	530	2.0	1-3-7	1850	6.0	1=>3=>7	5790	15.0	1,(4,6),5,(2,8),7,3	(1,4,6),5,(2,8),7,3	1,6,4,(2,3),(7,5),8	1,6,3,(4,2),(7,5),8					
200634071103	ダ	右	1000	晴	良	16:25	2歳　未勝利		2006-7-11	2	旭川	1	(規定)		3	250	2	3	100	1	5	330	7	7.0	110.0	2.0	3-5	1470	6	3=>5	2800	10.0	3-5-7	990	3.0	3=>5=>7	7980	23.0			(3,4),(5,7,8),9,(1,2,6)	3,4,(5,7),(8,9),(1,2),6			3-5	1900.0	5.0
200634071104	ダ	右	1000	晴	良	17:00	2歳　未勝利		2006-7-11	2	旭川	1	牝(規定)		3	190	1	3	130	1	8	500	7	2.0	560.0	8.0	3-8	4320	14	3=>8	4100	15.0	2-3-8	15690	42.0	3=>8=>2	98450	183.0			3,2,(4,5,6),7,(1,10),8,9	3,2,(4,5,6),(1,7),10,8,9			3-7	1280.0	5.0
200634071105	ダ	右	1500	晴	良	17:35	D3　ー2組		2006-7-11	2	旭川	1	40万円以下	(規定)	5	140	1	5	160	1	6	230	3				5-6	570	2	5=>6	840	2.0	3-5-6	1740	7.0	5=>6=>3	6110	21.0	6,(1,2,3,7),5,4	6,(1,2,3),7,5,4	6,(2,3,7,5),(1,4)	(6,3,5),7,2,1,4					
200634071106	ダ	右	1000	晴	良	18:10	アタックチャレンジ競		2006-7-11	2	旭川	1	(規定)		7	250	1	7	180	3	3	150	2	6.0	260.0	5.0	3-7	620	2	7=>3	1370	5.0	3-6-7	1800	8.0	7=>3=>6	8090	28.0			(4,7),6,(8,3),2,1,5	(4,7),(6,3),(8,1),2,5					
200634071107	ダ	右	1000	晴	良	18:45	ルーキーチャレンジ競		2006-7-11	2	旭川	1	(規定)		11	480	3	11	150	3	2	120	1	12.0	120.0	2.0	2-11	700	2	11=>2	1340	5.0	2-11-12	640	1.0	11=>2=>12	3300	5.0			(3,11),(2,12),5,10,4,8,(6,7,9),1	(3,11),(2,12),(5,10),4,8,(6,7,9),1			2-8	290.0	1.0
200634071108	ダ	右	1600	晴	良	19:20	スパイキュール賞 		2006-7-11	2	旭川	1	100万円以下	(規定)	11	140	1	11	100	1	6	230	6	7.0	160.0	3.0	6-11	1260	5	11=>6	1310	5.0	6-7-11	2520	8.0	11=>6=>7	9140	27.0	(8,9),11,(4,6),(1,5,7,10),3,2	8,(9,11),(4,6,7),(1,5,10),3,2	(8,11),7,(9,6,3),(1,10),5,(4,2)	(8,11),7,(6,3),(9,10,2),(1,5),4			6-8	270.0	1.0
200634071109	ダ	右	1600	晴	良	20:00	ホワイトマズル賞 		2006-7-11	2	旭川	1	160万円以下	(規定)	6	160	1	6	110	1	8	130	2	2.0	190.0	5.0	6-8	250	1	6=>8	400	1.0	2-6-8	1140	2.0	6=>8=>2	2910	5.0	6,7,9,(2,3,8),(5,11),1,10	6,7,9,(2,3,8),(5,11),1-10	(6,7,9),(2,8),3,5,1,11-10	6,(2,7,9,8),5,(11,1),3,10			6-7	230.0	1.0
200634071201	ダ	右	1500	曇	稍重	15:10	D3　ー4組		2006-7-12	2	旭川	2	40万円以下	(規定)	2	490	3	2	110	2	4	110	3	1.0	100.0	1.0	2-4	550	3	2=>4	1350	8.0	1-2-4	260	1.0	2=>4=>1	1890	8.0	8,(2,4),(3,6),7,5,1	8,(2,4),(3,6),7,5,1	2,(8,4),(6,1),(3,7),5	2,4,(6,1),(8,7),3,5					
200634071202	ダ	右	1000	曇	稍重	15:40	2歳　未勝利		2006-7-12	2	旭川	2	(規定)		1	130	1	1	100	1	10	110	2	2.0	420.0	7.0	1-10	440	1	1=>10	390	1.0	1-2-10	1000	3.0	1=>10=>2	2750	5.0			1,(2,10),(8,4,5,6),(3,9),7	1,(2,10,6),(4,5),(3,8),(7,9)			1-8	270.0	1.0
200634071203	ダ	右	1000	曇	稍重	16:15	D3　ー4組		2006-7-12	2	旭川	2	40万円以下	(規定)	7	540	3	7	210	4	1	790	9	3.0	160.0	2.0	1-7	5770	24	7=>1	14360	50.0	1-3-7	9320	35.0	7=>1=>3	91170	262.0			1,7,9,(3,6),2,10,8,4,5	17396210845			1-7	3280.0	14.0
200634071204	ダ	右	1500	曇	稍重	16:50	アタックチャレンジ競		2006-7-12	2	旭川	2	(規定)		4	460	3	4	160	4	1	130	2	6.0	130.0	1.0	1-4	1130	6	4=>1	2160	12.0	1-4-6	1130	3.0	4=>1=>6	8030	28.0	(1,4,6,7),5,(3,8),2	(1,4,6,7),5,8,3,2	(1,4,6),(7,8),5,(3,2)	4,(1,6),8,(3,7),(5,2)					
200634071205	ダ	右	1500	雨	稍重	17:25	D3　ー1組		2006-7-12	2	旭川	2	40万円以下	(規定)	9	680	4	9	140	3	4	130	1	3.0	160.0	4.0	4-9	1540	7	9=>4	2800	13.0	3-4-9	970	2.0	9=>4=>3	8780	24.0	(2,4),8,3,9,(1,5),6,7	(2,4),8,(9,3),(1,5),6,7	(2,4),(9,3),(8,5),1,6,7	(2,4),(9,3),(1,5),8,(7,6)			4-8	1020.0	4.0
200634071206	ダ	右	1000	雨	稍重	18:00	D2　ー2組		2006-7-12	2	旭川	2	60万円以下	(規定)	9	110	1	9	100	1	7	210	4	1.0	240.0	5.0	7-9	680	3	9=>7	690	3.0	1-7-9	1690	7.0	9=>7=>1	3760	11.0			9,(1,7,8),(2,5),6,(4,3)	(1,7,9),(2,8),5,(4,6),3			7-8	540.0	3.0
200634071207	ダ	右	1500	雨	稍重	18:35	D2　ー1組		2006-7-12	2	旭川	2	60万円以下	(規定)	2	360	1	2	140	1	3	540	7	1.0	430.0	6.0	2-3	5090	19	2=>3	6590	31.0	1-2-3	8930	34.0	2=>3=>1	111850	260.0	4,(7,8),(2,5,9),(3,6),1	(4,9),(2,7,8),(3,5,6),1	(4,9),(2,5,6),8,3,(1,7)	(4,9),(2,5,6),3,1,(7,8)			2-3	5700.0	21.0
200634071208	ダ	右	1000	雨	稍重	19:10	アルフェラッツ特別 		2006-7-12	2	旭川	2	100万円以下	(規定)	2	210	1	2	130	1	4	560	9	5.0	130.0	2.0	2-4	3650	13	2=>4	4840	16.0	2-4-5	4570	14.0	2=>4=>5	20580	64.0			2,(1,4),8,(9,11),5,3,(6,10,7)	2,(1,4),8,(5,11),9,3,(6,10),7			2-4	3540.0	15.0
200634071209	ダ	右	1600	曇	稍重	19:50	上川生産連特別 		2006-7-12	2	旭川	2	130万円以下	(規定)	2	170	1	2	110	1	1	210	4	9.0	290.0	6.0	1-2	1240	3	2=>1	1550	5.0	1-2-9	5000	14.0	2=>1=>9	20240	56.0	1,8,(2,6),9,(3,4),(10,7),11,5	1,8,(9,2,6),(3,4)-7,10,(11,5)	1,2,(8,9,6),3,4,5,10,7,11	1,(2,9),3,(8,4),(10,5,6),7,11			1-2	1170.0	5.0
200634071210	ダ	右	1600	曇	稍重	20:30	赤平火まつり特別 		2006-7-12	2	旭川	2	100万円以下	(規定)	10	640	3	10	190	2	1	190	3	5.0	360.0	7.0	1-10	4250	15	10=>1	7910	25.0	1-5-10	7760	23.0	10=>1=>5	43340	120.0	(10,5),9,11,8,(1,6),3,(4,12),(14,13),7,2	10,5,9,(1,8,11),(3,6),12,(4,13),(7,14),2	10,5,(9,11),(1,8),(3,6,13),2,12,(7,4,14)	10,5,(1,9),8,(11,13),(3,6),(7,2),(4,14,12)			1-6	2900.0	17.0
200634071301	ダ	右	1500	晴	良	14:50	2歳　未勝利		2006-7-13	2	旭川	3	(規定)		2	180	1	2	130	1	7	230	4	3.0	530.0	6.0	2-7	360	1	2=>7	490	1.0	2-3-7	2390	8.0	2=>7=>3	8430	30.0	(1,3,7),8,(2,6),4,5	(1,3),7,8,(2,6),4,5	(1,7),(2,8),(3,6),4-5	(1,7),2,(3,8,6),4,5					
200634071302	ダ	右	1000	晴	良	15:20	アタックチャレンジ競		2006-7-13	2	旭川	3	(規定)		2	1090	6	2	270	7	3	180	3	5.0	250.0	6.0	2-3	2470	11	2=>3	6320	25.0	2-3-5	6300	24.0	2=>3=>5	37750	123.0			(1,3,4),(5,8),2-7,6	(1,3),4,(5,8),2-(6,7)					
200634071303	ダ	右	1000	晴	良	15:50	フレッシュチャレンジ		2006-7-13	2	旭川	3	(規定)		7	700	4	7	140	3	2	120	1	1.0	140.0	2.0	2-7	860	3	7=>2	2450	10.0	1-2-7	680	1.0	7=>2=>1	4300	9.0			(3,7),(1,2,9),6,8,4,5	3,7,(1,2),(6,9),4,(8,5)			2-7	820.0	4.0
200634071304	ダ	右	1500	曇	良	16:25	D2　ー3組		2006-7-13	2	旭川	3	60万円以下	(規定)	7	450	3	7	260	4	1	130	1				1-7	560	2	7=>1	1640	7.0	1-6-7	1350	6.0	7=>1=>6	6430	24.0	2457613	2457613	(1,2,4,7),5,(6,3)	7,1,4,2,(6,5,3)					
200634071305	ダ	右	1000	曇	良	17:00	フレッシュチャレンジ		2006-7-13	2	旭川	3	(規定)		6	6470	7	6	930	6	3	230	3				3-6	9290	17	6=>3	29630	32.0	1-3-6	6660	18.0	6=>3=>1	103690	118.0			(6,1),4,5,3,7,8	(6,1),4,(5,3),7,8					
200634071306	ダ	右	1000	曇	良	17:35	D3　ー3組		2006-7-13	2	旭川	3	40万円以下	(規定)	5	160	1	5	100	1	7	260	6	6.0	130.0	2.0	5-7	1340	5	5=>7	1650	6.0	5-6-7	1270	4.0	5=>7=>6	5800	18.0			6,7,3,9,(2,5),(1,8)-4	6,(3,7),(2,9,5),8,(1,4)			5-7	1060.0	4.0
200634071307	ダ	右	1000	曇	良	18:10	D2　ー3組		2006-7-13	2	旭川	3	60万円以下	(規定)	2	200	1	2	100	1	4	180	4	5.0	250.0	6.0	2-4	570	3	2=>4	990	4.0	2-4-5	1280	6.0	2=>4=>5	5250	16.0			(1,4),2,(5,8),9,7,(3,6)	(1,4),2,8,5,(3,7,9),6			2-4	740.0	4.0
200634071308	ダ	右	1000	雨	良	18:45	D3　ー1組		2006-7-13	2	旭川	3	40万円以下	(規定)	3	380	1	3	140	1	9	640	9	4.0	490.0	7.0	3-9	4390	16	3=>9	7250	30.0	3-4-9	16360	58.0	3=>9=>4	106340	325.0			3,(5,8,9),(1,6,11),(4,7),12,(2,10)	3,(8,9),(5,6,11),(1,4),(7,12),2,10			3-7	4220.0	15.0
200634071309	ダ	右	1600	曇	良	19:20	ボーンキング賞 		2006-7-13	2	旭川	3	200万円以下	(規定)	6	3420	8	6	400	7	10	140	1	1.0	160.0	3.0	6-10	6260	16	6=>10	17540	44.0	1-6-10	4130	13.0	6=>10=>1	55380	140.0	(1,12),11,2,13,6,8,10,7,(3,4,9),5	(1,12),(2,11),13,6,8,10,7,(3,4,9),5	(1,12,11),13,(2,6),(3,10),(8,9),7,5,4	(1,11),(6,12,13,10),(3,8,9),(2,5),(4,7)			5-7	2260.0	11.0
200634071310	ダ	右	1500	曇	良	20:00	華月賞〔H3〕	G	2006-7-13	2	旭川	3	(馬齢)		2	1780	7	2	240	5	6	230	4	7.0	160.0	2.0	2-6	3850	16	2=>6	11890	38.0	2-6-7	3130	8.0	2=>6=>7	32400	105.0	6,8,(2,10),(7,12),5,9,1,3,11,4	6,8,(2,10),(7,12,5),(1,9),3,(4,11)	6,(2,8,10,5),12,7,(1,9,3),(4,11)	6,(2,10,5),(7,8,12),(1,9,3),(4,11)			2-5	2030.0	9.0
200634071801	ダ	右	1000	曇	不良	14:30	2歳　未勝利		2006-7-18	2	旭川	4	(規定)		9	380	2	9	120	1	1	460	7	5.0	210.0	5.0	1-9	3300	12	9=>1	5010	16.0	1-5-9	4470	14.0	9=>1=>5	40560	102.0			9,6,(1,5),8,7,11,2,4,10,3,12	9,6,(1,5),8,7,11,2,(3,4,10),12			1-7	3870.0	8.0
200634071802	ダ	右	1000	雨	不良	15:00	D3　ー4組		2006-7-18	2	旭川	4	40万円以下	(規定)	11	160	1	11	120	1	9	200	3	8.0	200.0	3.0	9-11	550	2	11=>9	820	2.0	8-9-11	1110	2.0	11=>9=>8	3800	5.0			(8,11),12,(5,6),(2,9),7,(3,10),1,4	(8,11),(12,9),(5,6,2),(7,3,10),1,4			7-8	690.0	4.0
200634071803	ダ	右	1000	雨	不良	15:30	アタックチャレンジ競		2006-7-18	2	旭川	4	(規定)		2	250	1	2	150	3	7	200	6	6.0	130.0	1.0	2-7	1270	6	2=>7	1600	7.0	2-6-7	930	2.0	2=>7=>6	7440	22.0			2,4,(6,7),5,8,3,1	2,4,6,(5,7),8,3,1					
200634071804	ダ	右	1000	雨	不良	16:00	フレッシュチャレンジ		2006-7-18	2	旭川	4	(規定)		4	510	2	4	260	5	3	370	6	8.0	130.0	1.0	3-4	3730	17	4=>3	7920	35.0	3-4-8	2960	13.0	4=>3=>8	36530	134.0			4,8,(3,7),1,5-6,2	4,8,3,(1,7),5-6,2					
200634071805	ダ	右	1500	雨	不良	16:30	D3　ー2組		2006-7-18	2	旭川	4	40万円以下	(規定)	2	330	3	2	140	3	1	290	5	4.0	120.0	1.0	1-2	2290	10	2=>1	3630	15.0	1-2-4	1870	6.0	2=>1=>4	12680	42.0	2,3,4,5,(6,9,10),11,8,1,7	2,(3,4),5,(6,9,10),11,8,1,7	2,4,(3,5),10,6,(8,9,1),(7,11)	2,4,5,(10,1),(3,6),8,7,(9,11)			1-2	1290.0	7.0
200634071806	ダ	右	1000	雨	不良	17:05	フレッシュチャレンジ		2006-7-18	2	旭川	4	(規定)		2	140	1	2	110	1	4	190	3	8.0	330.0	8.0	2-4	560	2	2=>4	710	2.0	2-4-8	2030	9.0	2=>4=>8	4890	17.0			(3,4),(8,2),5,(1,6),7	(4,8,2),3,5,6,7,1					
200634071807	ダ	右	1000	雨	不良	17:40	D1　ー2組		2006-7-18	2	旭川	4	80万円以下	(規定)	3	730	3	3	180	4	2	470	6	8.0	140.0	2.0	2-3	4230	14	3=>2	5370	23.0	2-3-8	3110	12.0	3=>2=>8	21650	69.0			3,(2,8),(5,6),7,1,4	3,(2,8),6,(5,7),1,4					
200634071808	ダ	右	1000	雨	不良	18:15	2歳　オープン		2006-7-18	2	旭川	4	(規定)		4	700	4	4	370	7	9	160	2	8.0	240.0	4.0	4-9	1060	4	4=>9	3110	13.0	4-8-9	1840	7.0	4=>9=>8	13730	45.0			4,8,(10,9),(5,11),6,(1,3),2,12,7	4,(8,9),11,10,3,5,(1,6),2,(7,12)			4-7	1200.0	6.0
