	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201147080303	ダ	右	1400	晴	良	12:00	サラ系3歳8組		2011-8-3	9	笠松	1			1.0	170.0	1.0	1.0	120	2.0	6.0	110	1.0	3.0	690	7.0	1-6	230.0	1.0	1=>6	470.0	2.0	1-3-6	2040.0	6.0	1=>6=>3	3350.0	11.0		15362984710.0	16328954710.0	16328954710.0			1-6	240.0	1.0	1=>6	550.0	2.0									
201147080304	ダ	右	1400	晴	良	12:30	サラ系3歳7組		2011-8-3	9	笠松	1			9.0	120.0	1.0	9.0	120	2.0	10.0	180	3.0	6.0	260	5.0	9-10	270.0	1.0	9=>10	370.0	1.0	6-9-10	1280.0	5.0	9=>10=>6	2640.0	9.0		98210146753.0	98102167435.0	98210167345.0			8-8	210.0	1.0	8=>8	320.0	2.0									
201147080305	ダ	右	1400	晴	良	13:05	サラ系C19組牝馬		2011-8-3	9	笠松	1	牝		8.0	100.0	1.0	8.0	100	1.0	5.0	130	2.0	7.0	150	5.0	5-8	150.0	1.0	8=>5	170.0	1.0	5-7-8	430.0	2.0	8=>5=>7	650.0	2.0		78563214	7,8,3,5,6,2,1-4	7,8,5,3,6,2,1-4																	
201147080306	ダ	右	1400	晴	良	13:40	サラ系C17組		2011-8-3	9	笠松	1			5.0	350.0	3.0	5.0	110	2.0	1.0	100	1.0	2.0	120	3.0	1-5	430.0	3.0	5=>1	750.0	2.0	1-2-5	390.0	2.0	5=>1=>2	2450.0	12.0		8132564.0	8132546.0	1835246.0																	
201147080307	ダ	右	1400	晴	良	14:15	サラ系C15組		2011-8-3	9	笠松	1			7.0	160.0	1.0	7.0	100	1.0	1.0	120	2.0				1-7	180.0	1.0	7=>1	290.0	1.0	1-6-7	3940.0	9.0	7=>1=>6	7020.0	20.0		5617248.0	5671248.0	7516248.0																	
201147080308	ダ	右	1400	晴	良	14:50	サラ系C13組		2011-8-3	9	笠松	1			4.0	150.0	1.0	4.0	110	2.0	1.0	100	1.0				1-4	130.0	1.0	4=>1	200.0	1.0	1-4-6	1980.0	6.0	4=>1=>6	5100.0	14.0		4781652.0	4178562.0	4175862.0																	
201147080309	ダ	右	1400	晴	良	15:25	郡上特別 		2011-8-3	9	笠松	1			4.0	130.0	1.0	4.0	110	1.0	6.0	220	5.0	7.0	270	6.0	4-6	320.0	1.0	4=>6	390.0	1.0	4-6-7	1280.0	6.0	4=>6=>7	2160.0	5.0		67243518.0	67423158.0	64732158.0																	
201147080310	ダ	右	1400	晴	良	16:00	サラ系C11組特選		2011-8-3	9	笠松	1			3.0	220.0	2.0	3.0	100	3.0	1.0	100	1.0	8.0	100	2.0	1-3	970.0	3.0	3=>1	1570.0	6.0	1-3-8	160.0	1.0	3=>1=>8	2190.0	6.0		3,8,7,2,4,1,6-5	3,8,1,7,6,2,4-5	3,1,8,7,6,2,4-5																	
201147080401	ダ	右	1400	晴	良	11:00	サラ系3歳14組		2011-8-4	9	笠松	2			1.0	250.0	2.0	1.0	100	1.0	2.0	100	2.0	7.0	120	3.0	1-2	190.0	1.0	1=>2	450.0	2.0	1-2-7	220.0	1.0	1=>2=>7	1040.0	2.0		12576410839	1,2,5,7-6,10,4,3,8,9	1,2,7,5-6,10,8,3,4,9			1-2	210.0	1.0	1=>2	420.0	2.0									
201147080402	ダ	右	1400	晴	良	11:30	蒲郡政策形成研修成功		2011-8-4	9	笠松	2			6.0	140.0	1.0	6.0	110	1.0	1.0	450	6.0	8.0	730	9.0	1-6	810.0	4.0	6=>1	2280.0	8.0	1-6-8	19250.0	49.0	6=>1=>8	47590.0	110.0		67195108243.0	67195810423.0	67158910423.0			1-6	1700.0	6.0	6=>1	2730.0	8.0									
201147080403	ダ	右	1400	晴	良	12:00	サラ系3歳12組		2011-8-4	9	笠松	2			1.0	1400.0	5.0	1.0	260	4.0	5.0	140	3.0	6.0	290	5.0	1-5	2710.0	11.0	1=>5	2780.0	11.0	1-5-6	5800.0	20.0	1=>5=>6	44040.0	122.0		15103928674	1,5,2,3,9,10,6,7,8-4	1,5,2,9,6,3,10,7,8-4			1-5	2690.0	11.0	1=>5	6380.0	24.0									
201147080404	ダ	右	1400	晴	良	12:30	サラ系3歳11組		2011-8-4	9	笠松	2			2.0	650.0	3.0	2.0	280	3.0	5.0	940	8.0	8.0	460	6.0	2-5	19090.0	25.0	2=>5	24510.0	37.0	2-5-8	30630.0	54.0	2=>5=>8	184890.0	268.0		98527163410.0	69825714310.0	62985714310.0			2-5	14850.0	20.0	2=>5	17080.0	36.0									
201147080405	ダ	右	800	晴	良	13:05	サラ系C18組		2011-8-4	9	笠松	2			6.0	270.0	2.0	6.0	110	3.0	3.0	100	2.0	8.0	100	1.0	3-6	390.0	2.0	6=>3	640.0	3.0	3-6-8	210.0	1.0	6=>3=>8	1080.0	3.0				64837251.0																	
201147080406	ダ	右	1400	晴	良	13:40	サラ系C20組牝馬		2011-8-4	9	笠松	2	牝		7.0	450.0	3.0	7.0	100	3.0	6.0	100	1.0	8.0	100	2.0	6-7	260.0	2.0	7=>6	1080.0	5.0	6-7-8	230.0	1.0	7=>6=>8	1860.0	7.0		16875293	16875923	6,1,7,8-9,5,2,3			6-7	270.0	2.0	7=>6	400.0	1.0									
201147080407	ダ	右	1400	晴	良	14:15	サラ系C16組		2011-8-4	9	笠松	2			5.0	140.0	1.0	5.0	110	1.0	7.0	130	3.0	4.0	180	4.0	5-7	150.0	1.0	5=>7	230.0	1.0	4-5-7	660.0	3.0	5=>7=>4	1310.0	4.0		57438216.0	57438216.0	57438216.0																	
201147081501	ダ	右	1400	晴	良	11:00	サラ系3歳7組		2011-8-15	9	笠松	3			2.0	100.0	1.0	2.0	100	1.0	5.0	130	3.0	4.0	100	2.0	2-5	530.0	2.0	2=>5	630.0	3.0	2-4-5	330.0	2.0	2=>5=>4	1340.0	5.0		291458367.0	294156387.0	294651378.0			2-5	550.0	3.0	2=>5	730.0	3.0									
201147081502	ダ	右	1400	晴	良	11:30	円葵ちゃん誕生日記念		2011-8-15	9	笠松	3			3.0	1540.0	3.0	3.0	110	2.0	4.0	100	1.0	2.0	140	4.0	3-4	380.0	3.0	3=>4	2070.0	6.0	2-3-4	510.0	3.0	3=>4=>2	7740.0	22.0		257648139.0	257489361.0	425837916.0			3-4	390.0	3.0	3=>4	2350.0	8.0									
201147081503	ダ	右	1400	晴	良	12:00	サラ系3歳5組		2011-8-15	9	笠松	3			6.0	270.0	2.0	6.0	110	2.0	2.0	160	4.0	7.0	110	1.0	2-6	1950.0	6.0	6=>2	3850.0	12.0	2-6-7	710.0	3.0	6=>2=>7	5830.0	21.0		269478351.0	269478135.0	269748135.0			2-6	2210.0	8.0	6=>2	4010.0	12.0									
201147081504	ダ	右	1400	晴	良	12:30	みつ子さん還暦記念		2011-8-15	9	笠松	3			10.0	1800.0	5.0	10.0	120	2.0	8.0	100	1.0	1.0	140	4.0	8-10	540.0	2.0	10=>8	2930.0	8.0	1-8-10	300.0	1.0	10=>8=>1	3960.0	11.0		85741012963	8,5,4,1,10,7,2-9,6,3	8,5,2,4,10,1,7-9,6,3			7-8	430.0	2.0	8=>7	3270.0	11.0									
201147081505	ダ	右	800	晴	良	13:00	森祐賀くん満一歳誕生		2011-8-15	9	笠松	3			5.0	290.0	2.0	5.0	100	1.0	3.0	160	3.0	8.0	540	7.0	3-5	320.0	1.0	5=>3	620.0	2.0	3-5-8	2660.0	10.0	5=>3=>8	8540.0	29.0				753986214.0			3-5	330.0	1.0	5=>3	720.0	2.0									
201147081506	ダ	右	1400	晴	良	13:30	サラ系C21組		2011-8-15	9	笠松	3			9.0	460.0	3.0	9.0	130	3.0	8.0	130	2.0	5.0	170	4.0	8-9	360.0	1.0	9=>8	1000.0	4.0	5-8-9	370.0	1.0	9=>8=>5	1520.0	4.0		289573641	8,9,2,5,7,3,6,4-1	8,9,5,7,3,6,2,4-1			8-8	460.0	3.0	8=>8	500.0	2.0									
201147081507	ダ	右	1400	晴	良	14:00	サラ系C20組		2011-8-15	9	笠松	3			5.0	460.0	3.0	5.0	200	4.0	8.0	420	6.0	3.0	160	3.0	5-8	2260.0	12.0	5=>8	2770.0	11.0	3-5-8	1630.0	6.0	5=>8=>3	6410.0	27.0		581376249.0	583127649.0	583127649.0			5-8	1610.0	8.0	5=>8	1720.0	8.0									
201147081508	ダ	右	1400	晴	良	14:35	サラ系C19組		2011-8-15	9	笠松	3			4.0	390.0	3.0	4.0	100	2.0	5.0	100	1.0	7.0	230	5.0	4-5	460.0	2.0	4=>5	830.0	2.0	4-5-7	1090.0	5.0	4=>5=>7	3380.0	12.0		794512683	7,9,5,4,1-6,2,8,3	7,5,9,4,1-6,8,2,3			4-5	450.0	2.0	4=>5	730.0	2.0									
201147081509	ダ	右	1600	晴	良	15:30	ヤクルトカッ 		2011-8-15	9	笠松	3			3.0	870.0	4.0	3.0	350	4.0	6.0	210	3.0	5.0	170	2.0	3-6	1380.0	5.0	3=>6	5850.0	13.0	3-5-6	1800.0	6.0	3=>6=>5	23270.0	50.0		3,7,6,10,5,8,9,1,4-2	3,7,6,10,5,8,1,9,4=2	3,7,6,5,10,8,1,9,4=2			3-6	1260.0	5.0	3=>6	6200.0	13.0									
201147081510	ダ	右	1400	晴	良	16:00	サラ系C17組牝馬		2011-8-15	9	笠松	3	牝		1.0	320.0	2.0	1.0	130	2.0	4.0	180	4.0	8.0	130	3.0	1-4	2350.0	8.0	1=>4	2910.0	9.0	1-4-8	690.0	4.0	1=>4=>8	5700.0	18.0		124897536.0	124897536.0	148293576.0			1-4	2390.0	8.0	1=>4	5850.0	12.0									
201147081701	ダ	右	1400	晴	良	11:00	サラ系3歳3組		2011-8-17	9	笠松	4			2.0	110.0	1.0	2.0	110	1.0	8.0	810	7.0	5.0	130	3.0	2-8	4580.0	7.0	2=>8	6030.0	11.0	2-5-8	4300.0	12.0	2=>8=>5	26300.0	42.0		24813576.0	24183756.0	24187536.0																	
201147081702	ダ	右	1400	晴	良	11:30	サラ系C16組		2011-8-17	9	笠松	4			1.0	280.0	2.0	1.0	110	2.0	6.0	170	4.0	9.0	110	1.0	1-6	680.0	3.0	1=>6	1230.0	6.0	1-6-9	770.0	5.0	1=>6=>9	2350.0	10.0		26917385.0	26917835.0	69127385.0			1-6	810.0	4.0	1=>6	1760.0	8.0									
201147081703	ダ	右	1400	晴	良	12:00	サラ系C15組		2011-8-17	9	笠松	4			6.0	290.0	1.0	6.0	140	3.0	1.0	610	8.0	5.0	120	1.0	1-6	4210.0	13.0	6=>1	7310.0	25.0	1-5-6	3580.0	13.0	6=>1=>5	39930.0	102.0		68751243.0	68257143.0	68521473.0																	
201147081704	ダ	右	800	晴	良	12:30	JRA認定新馬チャレ		2011-8-17	9	笠松	4			4.0	700.0	4.0	4.0	150	3.0	3.0	120	1.0	6.0	220	5.0	3-4	780.0	3.0	4=>3	3450.0	11.0	3-4-6	770.0	3.0	4=>3=>6	9640.0	30.0				436798521.0			3-4	690.0	3.0	4=>3	2990.0	11.0									
201147081705	ダ	右	1400	晴	良	13:00	サラ系C8組		2011-8-17	9	笠松	4			5.0	160.0	1.0	5.0	100	1.0	6.0	210	4.0	9.0	310	5.0	5-6	630.0	2.0	5=>6	780.0	2.0	5-6-9	1660.0	5.0	5=>6=>9	4130.0	15.0		162385794	1,6,2,3,5,8,7,9-4	6,1,3,5,2,8,7,9=4			5-6	720.0	4.0	5=>6	1200.0	3.0									
201147081706	ダ	右	1400	晴	良	13:30	サラ系C7組		2011-8-17	9	笠松	4			6.0	120.0	1.0	6.0	100	1.0	1.0	150	3.0	9.0	170	5.0	1-6	200.0	1.0	6=>1	390.0	1.0	1-6-9	720.0	3.0	6=>1=>9	1790.0	4.0		37194586210.0	37961458210.0	63917458210.0			1-6	260.0	1.0	6=>1	410.0	1.0									
201147081707	ダ	右	1400	晴	良	14:00	サラ系C6組		2011-8-17	9	笠松	4			1.0	490.0	3.0	1.0	100	1.0	7.0	110	3.0	6.0	100	2.0	1-7	650.0	3.0	1=>7	1220.0	6.0	1-6-7	320.0	1.0	1=>7=>6	2250.0	6.0		69348711025.0	69438715102.0	64978135102.0			1-7	650.0	3.0	1=>7	1230.0	6.0									
201147081708	ダ	右	1400	曇	良	14:30	サラ系C5組		2011-8-17	9	笠松	4			10.0	190.0	2.0	10.0	110	1.0	6.0	270	5.0	8.0	170	3.0	6-10	2510.0	7.0	10=>6	2520.0	9.0	6-8-10	1830.0	5.0	10=>6=>8	8930.0	27.0		81063152794.0	81036157249.0	10863175249.0			6-8	1710.0	6.0	8=>6	3090.0	9.0									
201147081709	ダ	右	1400	曇	重	15:00	金の弩標賞		2011-8-17	9	笠松	4	(別定)		6.0	310.0	2.0	6.0	100	1.0	9.0	160	3.0	7.0	870	7.0	6-9	470.0	2.0	6=>9	1040.0	3.0	6-7-9	5070.0	14.0	6=>9=>7	17150.0	56.0		6798141023.0	6798142310.0	6978142310.0			6-8	500.0	2.0	6=>8	810.0	4.0									
201147081801	ダ	右	1400	晴	良	11:00	サラ系3歳10組		2011-8-18	9	笠松	5			6.0	2100.0	6.0	6.0	170	5.0	3.0	110	2.0	4.0	100	1.0	3-6	1650.0	5.0	6=>3	5150.0	14.0	3-4-6	360.0	1.0	6=>3=>4	7040.0	25.0		639825417.0	639824751.0	638942751.0			3-6	1050.0	5.0	6=>3	6210.0	14.0									
201147081802	ダ	右	1400	晴	良	11:25	サラ系3歳9組		2011-8-18	9	笠松	5			1.0	210.0	2.0	1.0	100	2.0	3.0	100	1.0	4.0	100	3.0	1-3	130.0	1.0	1=>3	690.0	3.0	1-3-4	160.0	1.0	1=>3=>4	950.0	4.0		13542867.0	13452876.0	13452876.0																	
201147081803	ダ	右	1400	晴	良	11:55	サラ系3歳8組		2011-8-18	9	笠松	5			2.0	450.0	4.0	2.0	210	4.0	5.0	420	6.0	9.0	170	2.0	2-5	8060.0	12.0	2=>5	14130.0	23.0	2-5-9	15590.0	22.0	2=>5=>9	102970.0	106.0		539278146.0	539278416.0	592378461.0			2-5	12160.0	13.0	2=>5	19190.0	18.0									
201147081804	ダ	右	1400	晴	良	12:25	第24弾頑張れ笠松競		2011-8-18	9	笠松	5			2.0	150.0	1.0	2.0	100	1.0	1.0	240	4.0	4.0	290	5.0	1-2	670.0	3.0	2=>1	880.0	4.0	1-2-4	1180.0	5.0	2=>1=>4	2770.0	10.0		27145863.0	27145863.0	21748563.0																	
201147081805	ダ	右	1400	晴	良	12:55	丸山奈緒美誕生28周		2011-8-18	9	笠松	5			5.0	460.0	2.0	5.0	110	2.0	8.0	110	1.0	6.0	250	6.0	5-8	260.0	1.0	5=>8	490.0	2.0	5-6-8	510.0	3.0	5=>8=>6	1430.0	5.0		6,7,8,5,2,4,1-3	6,7,8,5,2,1,4-3	6,7,5,8,2,1,4-3																	
201147081806	ダ	右	1400	晴	良	13:25	サラ系C9・12組		2011-8-18	9	笠松	5			4.0	1200.0	4.0	4.0	140	4.0	6.0	100	1.0	8.0	120	2.0	4-6	910.0	4.0	4=>6	2400.0	9.0	4-6-8	540.0	2.0	4=>6=>8	7560.0	24.0		364815297.0	368415297.0	638415279.0			4-6	950.0	4.0	4=>6	2080.0	10.0									
201147081807	ダ	右	1400	晴	良	13:55	サラ系B5組		2011-8-18	9	笠松	5			2.0	230.0	1.0	2.0	110	2.0	7.0	110	1.0	6.0	120	3.0	2-7	360.0	1.0	2=>7	730.0	2.0	2-6-7	220.0	1.0	2=>7=>6	1080.0	1.0		3,4-10,6,5,9,8,7,2,1	3-4,6,10,2,9,7,8,5-1	34627108951			2-7	400.0	2.0	2=>7	550.0	1.0									
201147081808	ダ	右	1400	晴	良	14:25	サラ系C11組特選		2011-8-18	9	笠松	5			1.0	1360.0	3.0	1.0	270	4.0	2.0	380	5.0	7.0	180	2.0	1-2	5830.0	13.0	1=>2	14510.0	23.0	1-2-7	5050.0	12.0	1=>2=>7	58790.0	96.0		281975634	2,8,1,9,7-5,6,3,4	219876543			1-2	3800.0	10.0	1=>2	7710.0	18.0									
201147081809	ダ	右	1400	晴	良	14:55	サラ系B4組特選		2011-8-18	9	笠松	5			6.0	1450.0	6.0	6.0	240	6.0	9.0	500	8.0	4.0	180	2.0	6-9	6170.0	21.0	6=>9	16820.0	57.0	4-6-9	30040.0	63.0	6=>9=>4	159800.0	332.0		9,10,4,6,8,1,5,2,7-3	9,10,6,5,2,4,8,1,7-3	9,6,10,5,4,8,2,1,7-3			6-8	2060.0	12.0	6=>8	5580.0	25.0									
201147081810	ダ	右	1400	晴	良	15:30	水素水36生活 		2011-8-18	9	笠松	5			5.0	340.0	2.0	5.0	100	2.0	4.0	100	1.0	3.0	150	3.0	4-5	330.0	1.0	5=>4	800.0	3.0	3-4-5	400.0	1.0	5=>4=>3	1680.0	2.0		15841072639	5,1,8,4,7,10,3,2,6-9	54731102869			4-5	290.0	1.0	5=>4	740.0	2.0									
201147081811	ダ	右	1400	晴	良	16:00	C級チャンピオン 		2011-8-18	9	笠松	5			5.0	150.0	1.0	5.0	100	1.0	6.0	220	5.0	2.0	150	3.0	5-6	610.0	3.0	5=>6	710.0	3.0	2-5-6	540.0	2.0	5=>6=>2	1900.0	6.0		25386741.0	25386741.0	25367418.0																	
201147081901	ダ	右	800	曇	不良	11:00	サラ系2歳2組		2011-8-19	9	笠松	6			7.0	160.0	1.0	7.0	100	1.0	4.0	100	2.0	1.0	110	3.0	4-7	200.0	1.0	7=>4	210.0	1.0	1-4-7	210.0	1.0	7=>4=>1	480.0	1.0				4,7,1-6,8,5,3																	
201147081902	ダ	右	1400	曇	不良	11:30	サラ系2歳1組		2011-8-19	9	笠松	6			2.0	100.0	1.0	2.0	100	1.0	5.0	120	2.0				2-5	200.0	2.0	2=>5	260.0	3.0	2-3-5	210.0	1.0	2=>5=>3	370.0	1.0		523867	5,2-3,8-6,7	2,5-3-8-7,6																	
201147081903	ダ	右	1400	曇	不良	12:00	サラ系3歳14組		2011-8-19	9	笠松	6			6.0	410.0	3.0	6.0	100	2.0	2.0	100	1.0	3.0	100	3.0	2-6	320.0	2.0	6=>2	710.0	4.0	2-3-6	120.0	1.0	6=>2=>3	1300.0	4.0		67215384.0	67215384.0	67231548.0																	
201147081904	ダ	右	1600	曇	不良	12:30	葉月特別 		2011-8-19	9	笠松	6			3.0	150.0	1.0	3.0	140	1.0	4.0	690	5.0				3-4	2170.0	4.0	3=>4	3590.0	7.0	3-4-6	1010.0	2.0	3=>4=>6	7210.0	19.0		631245.0	632415.0	364125.0																	
201147081905	ダ	右	1400	曇	不良	13:00	サラ系3歳12組		2011-8-19	9	笠松	6			3.0	140.0	1.0	3.0	100	1.0	1.0	110	2.0	7.0	130	3.0	1-3	220.0	1.0	3=>1	300.0	1.0	1-3-7	210.0	1.0	3=>1=>7	600.0	1.0		139782465	1,3,7,9,8,4,2,6-5	3,1,7-8,9,4,2,6-5			1-3	290.0	1.0	3=>1	310.0	1.0									
201147081906	ダ	右	1400	曇	不良	13:30	サラ系3歳11組		2011-8-19	9	笠松	6			7.0	130.0	1.0	7.0	100	1.0	1.0	110	2.0	9.0	260	7.0	1-7	170.0	1.0	7=>1	200.0	1.0	1-7-9	990.0	4.0	7=>1=>9	1870.0	5.0		796182534	7,9,1,6,8,5,3-2,4	7,1,9,6,8,5,3-4,2			1-7	150.0	1.0	7=>1	210.0	1.0									
201147081907	ダ	右	1400	曇	不良	14:00	サラ系C4組		2011-8-19	9	笠松	6			3.0	9080.0	8.0	3.0	470	6.0	2.0	150	3.0	10.0	170	4.0	2-3	7770.0	13.0	3=>2	28900.0	32.0	2-3-10	8880.0	21.0	3=>2=>10	237030.0	216.0		12341079685	1,2,4,3,10,7-9,8,6,5	1,2,3,10,4,7-9,8,6,5			2-3	5470.0	14.0	3=>2	28180.0	34.0									
201147081908	ダ	右	1400	晴	重	14:30	サラ系B6・C3組		2011-8-19	9	笠松	6			1.0	1090.0	4.0	1.0	310	5.0	8.0	630	9.0	5.0	140	2.0	1-8	16100.0	29.0	1=>8	39830.0	63.0	1-5-8	36280.0	61.0	1=>8=>5	357540.0	402.0		58634110927.0	58634191027.0	58364192107.0			1-7	11130.0	22.0	1=>7	9810.0	27.0									
201147081909	ダ	右	1400	晴	重	15:05	サラ系C2組特選		2011-8-19	9	笠松	6			4.0	180.0	1.0	4.0	120	1.0	1.0	200	4.0	3.0	280	6.0	1-4	1830.0	6.0	4=>1	2400.0	7.0	1-3-4	4850.0	12.0	4=>1=>3	14810.0	33.0		14872310659.0	14832107569.0	14823107569.0			1-4	1180.0	4.0	4=>1	2120.0	7.0									
201147081910	ダ	右	1400	晴	重	15:40	サラ系3歳13組		2011-8-19	9	笠松	6			7.0	160.0	1.0	7.0	100	1.0	4.0	110	2.0	9.0	130	3.0	4-7	230.0	1.0	7=>4	370.0	1.0	4-7-9	370.0	1.0	7=>4=>9	950.0	1.0		764928351.0	764928351.0	764923851.0			4-7	280.0	1.0	7=>4	360.0	1.0									
201147081911	ダ	右	1600	晴	重	16:15	くろゆり賞	G	2011-8-19	9	笠松	6	(別定)		8.0	1170.0	4.0	8.0	220	4.0	7.0	140	3.0	10.0	130	2.0	7-8	1200.0	5.0	8=>7	3200.0	11.0	7-8-10	1530.0	5.0	8=>7=>10	10940.0	32.0		39108251764.0	91038527164.0	10835719264.0			7-7	1160.0	4.0	7=>7	1090.0	6.0									
201147081912	ダ	右	1400	晴	重	16:45	アカシア特別 		2011-8-19	9	笠松	6			10.0	1520.0	6.0	10.0	440	6.0	3.0	190	2.0	9.0	690	8.0	3-10	6610.0	20.0	10=>3	22080.0	43.0	3-9-10	22620.0	43.0	10=>3=>9	218060.0	305.0		91034726158.0	91034721658.0	91037241658.0			3-8	2640.0	12.0	8=>3	4630.0	18.0									
201147090101	ダ	右	1400	曇	良	11:00	サラ系3歳6組		2011-9-1	10	笠松	1			5.0	110.0	1.0	5.0	100	1.0	4.0	100	2.0	2.0	120	3.0	4-5	160.0	1.0	5=>4	270.0	1.0	2-4-5	240.0	1.0	5=>4=>2	570.0	1.0		45987612310.0	45986721310.0	45986723101.0			4-5	190.0	1.0	5=>4	350.0	1.0									
201147090102	ダ	右	1400	曇	良	11:30	サラ系3歳5組		2011-9-1	10	笠松	1			9.0	370.0	2.0	9.0	130	2.0	1.0	170	4.0	4.0	160	3.0	1-9	1190.0	6.0	9=>1	1680.0	7.0	1-4-9	2570.0	9.0	9=>1=>4	10240.0	35.0		491836752.0	496718523.0	946178523.0			1-8	1180.0	5.0	8=>1	2030.0	7.0									
201147090103	ダ	右	1400	曇	良	12:00	サラ系3歳4組		2011-9-1	10	笠松	1			4.0	150.0	1.0	4.0	110	1.0	9.0	520	6.0	8.0	180	3.0	4-9	3110.0	6.0	4=>9	3380.0	10.0	4-8-9	2100.0	7.0	4=>9=>8	13290.0	38.0		45893610127	45986310127	4,5,9,8,6,3,10=1,7,2			4-8	220.0	1.0	4=>8	340.0	1.0									
201147090104	ダ	右	1400	曇	良	12:30	サラ系C19組		2011-9-1	10	笠松	1			4.0	240.0	1.0	4.0	170	4.0	6.0	130	2.0	2.0	360	6.0	4-6	1130.0	6.0	4=>6	1250.0	7.0	2-4-6	3140.0	15.0	4=>6=>2	11550.0	42.0		46712583	4,6,1,7,2,5,8=3	4,6,1,2,5,7,8=3																	
201147090105	ダ	右	800	曇	良	13:05	サラ系C20組牝馬		2011-9-1	10	笠松	1	牝		9.0	120.0	1.0	9.0	100	1.0	1.0	130	2.0	3.0	180	5.0	1-9	400.0	3.0	9=>1	550.0	3.0	1-3-9	1170.0	5.0	9=>1=>3	2490.0	8.0				192385746.0			1-8	540.0	3.0	8=>1	350.0	2.0									
201147090106	ダ	右	1400	曇	良	13:40	サラ系C18組		2011-9-1	10	笠松	1			2.0	180.0	1.0	2.0	110	1.0	3.0	110	2.0	5.0	230	5.0	2-3	260.0	1.0	2=>3	460.0	1.0	2-3-5	590.0	3.0	2=>3=>5	2230.0	8.0		758293416.0	758239416.0	582793416.0			2-3	260.0	1.0	2=>3	560.0	3.0									
201147090107	ダ	右	1400	曇	良	14:15	サラ系C17組		2011-9-1	10	笠松	1			6.0	170.0	1.0	6.0	100	2.0	3.0	120	3.0	7.0	100	1.0	3-6	1610.0	4.0	6=>3	1520.0	5.0	3-6-7	540.0	2.0	6=>3=>7	3170.0	10.0		37264518.0	37624815.0	37624815.0																	
201147090108	ダ	右	1400	曇	良	14:50	サラ系C16組		2011-9-1	10	笠松	1			3.0	140.0	1.0	3.0	100	1.0	5.0	120	3.0	1.0	180	4.0	3-5	290.0	1.0	3=>5	460.0	1.0	1-3-5	370.0	2.0	3=>5=>1	1240.0	2.0		35718246.0	35718246.0	35178426.0																	
201147090109	ダ	右	1400	曇	良	15:25	サラ系C15組		2011-9-1	10	笠松	1			9.0	230.0	2.0	9.0	120	2.0	8.0	110	1.0	2.0	220	4.0	8-9	230.0	1.0	9=>8	530.0	2.0	2-8-9	980.0	4.0	9=>8=>2	2800.0	9.0		938247156.0	983247156.0	982374156.0			8-8	270.0	1.0	8=>8	270.0	1.0									
201147090110	ダ	右	1600	曇	良	16:00	ききょう特別 		2011-9-1	10	笠松	1			9.0	130.0	1.0	9.0	100	1.0	10.0	100	2.0	2.0	120	3.0	9-10	190.0	1.0	9=>10	240.0	1.0	2-9-10	220.0	1.0	9=>10=>2	490.0	1.0		91021876435	91021874635	9,10,2,1,8,7,4,6,3=5			8-8	210.0	1.0	8=>8	210.0	1.0									
201147090201	ダ	右	1400	曇	良	11:00	サラ系3歳10組		2011-9-2	10	笠松	2			5.0	140.0	1.0	5.0	100	1.0	6.0	110	3.0	8.0	110	2.0	5-6	610.0	3.0	5=>6	840.0	3.0	5-6-8	340.0	1.0	5=>6=>8	1340.0	3.0		856972143.0	856971423.0	856917423.0			5-6	420.0	2.0	5=>6	740.0	3.0									
201147090202	ダ	右	1400	雨	良	11:35	サラ系3歳9組		2011-9-2	10	笠松	2			2.0	310.0	2.0	2.0	120	3.0	6.0	110	1.0	3.0	130	4.0	2-6	970.0	4.0	2=>6	1170.0	6.0	2-3-6	1600.0	4.0	2=>6=>3	4490.0	17.0		624358179.0	624385197.0	264385197.0			2-6	1190.0	5.0	2=>6	2160.0	7.0									
201147090203	ダ	右	1400	雨	良	12:10	サラ系3歳8組		2011-9-2	10	笠松	2			4.0	100.0	1.0	4.0	100	1.0	7.0	120	3.0	2.0	220	4.0	4-7	140.0	1.0	4=>7	160.0	1.0	2-4-7	340.0	2.0	4=>7=>2	480.0	2.0		472396185.0	472391685.0	472931658.0			4-7	150.0	1.0	4=>7	150.0	1.0									
201147090701	ダ	右	1400	晴	良	11:00	サラ系3歳3組		2011-9-7	10	笠松	3			5.0	100.0	1.0	5.0	150	2.0	6.0	180	3.0				5-6	170.0	1.0	5=>6	270.0	1.0	4-5-6	390.0	2.0	5=>6=>4	840.0	3.0		564321.0	564321.0	564321.0																	
