	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気
201047010610	ダ	右	1600	晴	稍重	16:10	ことぶき特別 		2010-1-6	17	笠松	1			9	300	2	9	120	2	3	190	5	5.0	170.0	3.0	3-9	3460	9	9=>3	5980	15.0	3-5-9	4920	13.0	9=>3=>5	21420	52.0		89756103241.0	89753106241.0	93571086241.0			3-8	2800.0	7.0	8=>3	3140.0	9.0
201047010701	ダ	右	1400	曇	重	10:50	サラ系3歳7組		2010-1-7	17	笠松	2			5	2100	6	5	260	6	8	100	1	1.0	110.0	2.0	5-8	1850	6	5=>8	4260	14.0	1-5-8	410	2.0	5=>8=>1	10120	30.0		54816372.0	54816732.0	5,8,4,1,7,6,3-2								
201047010702	ダ	右	1400	曇	重	11:15	サラ系3歳6組		2010-1-7	17	笠松	2			7	100	1	7	100	1	6	100	2	3.0	120.0	3.0	6-7	120	1	7=>6	180	1.0	3-6-7	150	1.0	7=>6=>3	280	1.0		67482315.0	67842315.0	76832415.0								
201047010703	ダ	右	1400	曇	重	11:40	サラ系3歳5組		2010-1-7	17	笠松	2			4	210	2	4	100	2	8	130	4	3.0	100.0	1.0	4-8	1060	3	4=>8	1680	4.0	3-4-8	190	1.0	4=>8=>3	2210	9.0		14823675.0	41832765.0	48312765.0								
201047010704	ダ	右	1400	晴	重	12:10	サラ系3歳4組		2010-1-7	17	笠松	2			9	110	1	9	100	1	8	160	4	5.0	130.0	3.0	8-9	300	1	9=>8	420	3.0	5-8-9	500	1.0	9=>8=>5	880	1.0		58937462.0	58937462.0	98576432.0			8-8	280.0	1.0	8=>8	350.0	2.0
201047010705	ダ	右	1400	晴	重	12:40	サラ系B7組		2010-1-7	17	笠松	2			4	190	1	4	160	3	7	320	5	1.0	700.0	6.0	4-7	1910	7	4=>7	2980	12.0	1-4-7	15860	29.0	4=>7=>1	39660	105.0		576341928.0	576413928.0	751469238.0			4-7	1520.0	7.0	4=>7	1560.0	7.0
201047010706	ダ	右	1400	晴	重	13:30	サラ系B6組		2010-1-7	17	笠松	2			5	180	1	5	120	1	9	180	5	1.0	180.0	4.0	5-9	810	4	5=>9	1090	4.0	1-5-9	1150	4.0	5=>9=>1	5460	16.0		67102953148.0	67521093184.0	56279101348.0			5-8	670.0	3.0	5=>8	960.0	4.0
201047010707	ダ	右	1400	晴	重	14:00	サラ系B5組		2010-1-7	17	笠松	2			7	200	2	7	100	2	5	100	1	1.0	230.0	5.0	5-7	130	1	7=>5	320	2.0	1-5-7	680	5.0	7=>5=>1	1780	9.0		35711049862.0	3571109862.0	5,7,3,1,10,8,6,9-2			5-7	120.0	1.0	7=>5	270.0	2.0
201047010708	ダ	右	1400	晴	重	14:35	サラ系B4組特選		2010-1-7	17	笠松	2			6	210	1	6	120	2	10	210	5	8.0	110.0	1.0	6-10	1490	6	6=>10	1610	6.0	6-8-10	4440	19.0	6=>10=>8	22120	83.0		76101485392.0	76104815392.0	67104853192.0			6-8	1520.0	8.0	6=>8	2220.0	13.0
201047010709	ダ	右	1600	晴	重	15:10	門松特別 		2010-1-7	17	笠松	2			1	770	5	1	200	4	8	110	1	7.0	180.0	3.0	1-8	870	3	1=>8	2910	9.0	1-7-8	730	2.0	1=>8=>7	8670	28.0		61739410852.0	61784109352.0	17864109532.0			1-7	630.0	4.0	1=>7	1480.0	6.0
201047010710	ダ	右	1600	晴	重	16:10	新春特別 		2010-1-7	17	笠松	2			7	370	3	7	110	2	6	130	3	1.0	100.0	1.0	6-7	1110	6	7=>6	1950	11.0	1-6-7	680	3.0	7=>6=>1	4260	17.0		7419268105.0	7421968105.0	7,6,4,1,2,10,9,8=5			6-7	960.0	6.0	7=>6	1170.0	5.0
201047010801	ダ	右	1400	晴	重	10:50	サラ系3歳3組		2010-1-8	17	笠松	3			3	110	1	3	120	1	6	230	4				3-6	590	3	3=>6	530	3.0	3-4-6	310	2.0	3=>6=>4	1070	5.0		13645.0	36145.0	63415.0								
201047010802	ダ	右	1400	晴	重	11:15	サラ系C14組		2010-1-8	17	笠松	3			2	240	2	2	100	1	6	100	3	7.0	100.0	2.0	2-6	790	3	2=>6	1050	4.0	2-6-7	240	1.0	2=>6=>7	2110	6.0		762845193.0	762485193.0	672845139.0			2-6	660.0	3.0	2=>6	1050.0	4.0
201047010803	ダ	右	1400	晴	重	11:40	サラ系C13組		2010-1-8	17	笠松	3			7	150	1	7	100	2	8	100	1	10.0	110.0	3.0	7-8	200	1	7=>8	260	1.0	7-8-10	150	1.0	7=>8=>10	450	1.0		81037425169.0	81073245691.0	78103256491.0			7-7	210.0	2.0	7=>7	220.0	1.0
201047010804	ダ	右	1800	晴	重	12:10	若竹特別 		2010-1-8	17	笠松	3			3	130	1	3	100	1	2	120	2				2-3	150	1	3=>2	190	1.0	2-3-4	130	1.0	3=>2=>4	280	1.0		31425.0	32451.0	3,2,4,5=1								
201047010805	ダ	右	1400	晴	重	12:40	サラ系C8・11組		2010-1-8	17	笠松	3			4	3030	6	4	160	5	6	100	1	9.0	120.0	2.0	4-6	1280	6	4=>6	7950	18.0	4-6-9	700	3.0	4=>6=>9	13020	33.0		96825101743.0	94681057213.0	94681057312.0			4-6	1320.0	5.0	4=>6	4810.0	13.0
201047010806	ダ	右	1400	晴	重	13:10	サラ系3歳2組特選		2010-1-8	17	笠松	3			7	290	2	7	160	1	5	370	5				5-7	850	5	7=>5	1220	4.0	4-5-7	1890	7.0	7=>5=>4	7440	31.0		4576321.0	4573612.0	4576321.0								
201047010807	ダ	右	1600	晴	重	13:40	サラ系C7組		2010-1-8	17	笠松	3			5	300	2	5	100	2	2	100	1	4.0	120.0	3.0	2-5	140	1	5=>2	410	2.0	2-4-5	280	1.0	5=>2=>4	940	3.0		47521109683.0	47521109386.0	54271109386.0			2-5	120.0	1.0	5=>2	460.0	2.0
201047010808	ダ	右	1400	晴	重	14:10	サラ系3歳1組特別 		2010-1-8	17	笠松	3			1	120	1	1	110	1	6	130	2				1-6	280	1	1=>6	400	2.0	1-6-7	1720	7.0	1=>6=>7	2970	11.0		3576142.0	3571624.0	1736524.0								
201047010809	ダ	右	1600	晴	重	14:40	サラ系C10組特選		2010-1-8	17	笠松	3			3	100	1	3	100	1	2	110	2	4.0	280.0	6.0	2-3	200	1	3=>2	420	1.0	2-3-4	1070	4.0	3=>2=>4	2390	7.0		627314589.0	623748951.0	2,3,4,6,7,8,9,5=1			2-3	240.0	1.0	3=>2	370.0	1.0
201047010810	ダ	右	1400	晴	重	15:15	白銀争覇	G	2010-1-8	17	笠松	3	(別定)		5	210	2	5	100	1	7	100	2	10.0	140.0	4.0	5-7	150	1	5=>7	260	1.0	5-7-10	200	1.0	5=>7=>10	550	1.0		10479153268.0	10471593268.0	10475196238.0			5-7	150.0	1.0	5=>7	260.0	1.0
201047011001	ダ	右	800	曇	良	10:50	サラ系3歳10組		2010-1-10	17	笠松	4			6	110	1	6	100	1	8	100	3	4.0	100.0	2.0	6-8	130	1	6=>8	160	1.0	4-6-8	180	1.0	6=>8=>4	300	1.0				68423175.0								
201047011002	ダ	右	1400	曇	良	11:20	サラ系3歳9組		2010-1-10	17	笠松	4			3	660	2	3	170	3	6	220	5	8.0	120.0	1.0	3-6	2790	13	3=>6	3310	19.0	3-6-8	3380	15.0	3=>6=>8	24250	101.0		68734125.0	68713254.0	68371254.0								
201047011003	ダ	右	1400	晴	良	11:50	サラ系3歳8組		2010-1-10	17	笠松	4			5	1670	5	5	260	5	1	110	1	4.0	110.0	2.0	1-5	4380	12	5=>1	8300	19.0	1-4-5	920	4.0	5=>1=>4	27090	61.0		758142936.0	758143962.0	751843962.0			1-5	3780.0	12.0	5=>1	11610.0	25.0
201047011004	ダ	右	1400	晴	良	12:20	サラ系C16組		2010-1-10	17	笠松	4			6	110	1	6	100	2	2	100	1	3.0	110.0	3.0	2-6	100	1	6=>2	130	1.0	2-3-6	170	1.0	6=>2=>3	220	1.0		26375184.0	26375184.0	62351784.0								
201047011005	ダ	右	1400	晴	良	12:50	サラ系C15組		2010-1-10	17	笠松	4			4	150	1	4	100	1	3	100	2	7.0	210.0	4.0	3-4	110	1	4=>3	160	1.0	3-4-7	370	2.0	4=>3=>7	700	3.0		32741856.0	32471865.0	34721865.0								
201047011701	ダ	右	1400	晴	良	10:50	サラ系3歳7組		2010-1-17	18	笠松	1			6	100	1	6	100	1	3	150	3	7.0	100.0	2.0	3-6	510	2	6=>3	600	2.0	3-6-7	240	1.0	6=>3=>7	1340	3.0		61745823.0	67153824.0	6,7,3,5,8,1,2=4								
201047011702	ダ	右	1400	晴	良	11:20	サラ系3歳6組		2010-1-17	18	笠松	1			8	190	1	8	110	1	6	120	2	7.0	180.0	4.0	6-8	210	1	8=>6	540	2.0	6-7-8	300	2.0	8=>6=>7	1150	3.0		68715324.0	68713542.0	86713542.0								
201047011703	ダ	右	1400	晴	良	12:20	サラ系3歳5組		2010-1-17	18	笠松	1			1	600	2	1	150	3	5	140	2	4.0	260.0	5.0	1-5	1190	5	1=>5	2510	10.0	1-4-5	4820	14.0	1=>5=>4	27880	68.0		56782143.0	56172843.0	15672843.0								
201047011704	ダ	右	1400	晴	良	12:50	サラ系C33組		2010-1-17	18	笠松	1			4	110	1	4	100	1	5	100	2	9.0	190.0	4.0	4-5	100	1	4=>5	120	1.0	4-5-9	350	2.0	4=>5=>9	460	2.0		45921376.0	45937621.0	45937621.0			4-5	100.0	1.0	4=>5	120.0	1.0
201047011705	ダ	右	800	晴	良	13:20	小林千咲貴7歳誕生日		2010-1-17	18	笠松	1			4	190	1	4	100	1	9	130	3	3.0	120.0	2.0	4-9	440	1	4=>9	710	2.0	3-4-9	480	1.0	4=>9=>3	2160	3.0				496537218.0			4-8	300.0	1.0	4=>8	420.0	1.0
201047011706	ダ	右	1400	晴	良	13:50	サラ系C32組		2010-1-17	18	笠松	1			5	110	1	5	110	1	8	780	9	10.0	500.0	7.0	5-8	5280	12	5=>8	4480	13.0	5-8-10	18590	33.0	5=>8=>10	55610	95.0		15109287634.0	15109827643.0	51109876243.0			5-7	480.0	3.0	5=>7	580.0	3.0
201047011707	ダ	右	1400	晴	良	14:20	サラ系C30組		2010-1-17	18	笠松	1			8	290	2	8	110	1	9	170	4	2.0	110.0	2.0	8-9	930	5	8=>9	1110	5.0	2-8-9	590	1.0	8=>9=>2	4150	10.0		89216571034.0	89216510374.0	89216510374.0			7-8	460.0	1.0	7=>8	1020.0	3.0
201047011708	ダ	右	1400	晴	良	14:50	サラ系C29組牝馬		2010-1-17	18	笠松	1	牝		2	510	3	2	130	2	4	150	3	7.0	210.0	4.0	2-4	5690	17	2=>4	27420	40.0	2-4-7	16790	31.0	2=>4=>7	96850	173.0		24389107615.0	24389710615.0	24739110865.0			2-4	5950.0	14.0	2=>4	15850.0	29.0
201047011709	ダ	右	1800	晴	良	15:25	千両特別 		2010-1-17	18	笠松	1			3	120	1	3	130	2	7	170	4	8.0	130.0	3.0	3-7	420	3	3=>7	520	2.0	3-7-8	580	2.0	3=>7=>8	1380	3.0		57384210691.0	57384210916.0	35784102916.0			3-7	210.0	1.0	3=>7	240.0	1.0
201047011801	ダ	右	1400	晴	良	10:50	サラ系3歳10組		2010-1-18	18	笠松	2			8	170	1	8	100	1	9	150	4	3.0	130.0	3.0	8-9	570	3	8=>9	580	3.0	3-8-9	550	3.0	8=>9=>3	1500	5.0		798136524.0	978635124.0	893765124.0			8-8	490.0	3.0	8=>8	400.0	2.0
201047011802	ダ	右	1400	晴	良	11:20	サラ系3歳9組		2010-1-18	18	笠松	2			5	170	1	5	100	1	6	130	4	2.0	100.0	2.0	5-6	1020	4	5=>6	1290	4.0	2-5-6	430	2.0	5=>6=>2	3100	10.0		58264713.0	58264713.0	56827143.0								
201047011803	ダ	右	1400	晴	良	11:50	サラ系3歳8組		2010-1-18	18	笠松	2			8	110	1	8	100	1	5	100	2	7.0	100.0	3.0	5-8	180	1	8=>5	210	1.0	5-7-8	250	1.0	8=>5=>7	520	1.0		87562341.0	85762341.0	85762413.0								
201047011804	ダ	右	1400	晴	良	12:25	下間寿昭第一子誕生記		2010-1-18	18	笠松	2	牝		8	750	3	8	130	3	5	100	1	9.0	100.0	2.0	5-8	1410	3	8=>5	3680	12.0	5-8-9	310	1.0	8=>5=>9	6510	19.0		925481637.0	952841637.0	958426137.0			5-8	130.0	1.0	8=>5	350.0	2.0
201047011805	ダ	右	1400	晴	良	13:00	量栄様婚活記念		2010-1-18	18	笠松	2			2	170	1	2	120	1	1	150	2	8.0	150.0	3.0	1-2	510	2	2=>1	890	3.0	1-2-8	430	1.0	2=>1=>8	2360	5.0		798123546.0	789213456.0	872139456.0			1-2	630.0	2.0	2=>1	970.0	3.0
201047011806	ダ	右	1400	晴	良	14:00	篠原春樹祝社長就任記		2010-1-18	18	笠松	2			7	130	1	7	100	1	4	100	2	5.0	110.0	3.0	4-7	220	1	7=>4	320	1.0	4-5-7	190	1.0	7=>4=>5	540	1.0		91068451732.0	75610948123.0	79105648213.0			4-7	240.0	1.0	7=>4	380.0	1.0
201047011807	ダ	右	1400	晴	良	14:30	サラ系B7組		2010-1-18	18	笠松	2			8	120	1	8	100	1	6	150	4	9.0	120.0	2.0	6-8	370	2	8=>6	410	1.0	6-8-9	380	1.0	8=>6=>9	1100	1.0		19610483275.0	16984103275.0	86194103275.0			6-7	360.0	2.0	7=>6	410.0	1.0
201047011808	ダ	右	1400	晴	良	15:00	れんこん料理		2010-1-18	18	笠松	2			1	820	3	1	120	2	2	190	4	3.0	110.0	1.0	1-2	2470	7	1=>2	6330	14.0	1-2-3	630	3.0	1=>2=>3	10090	37.0		21109765348.0	21109438756.0	21348510967.0			1-2	2750.0	7.0	1=>2	5160.0	13.0
201047011809	ダ	右	1600	晴	良	15:35	JAぎふ「みのっ太」 		2010-1-18	18	笠松	2			5	120	1	5	100	1	8	130	2	9.0	200.0	5.0	5-8	250	1	5=>8	340	1.0	5-8-9	680	3.0	5=>8=>9	1310	3.0		91083756142.0	91085764312.0	95810176432.0			5-7	240.0	1.0	5=>7	310.0	1.0
201047011810	ダ	右	1600	晴	良	16:35	サラ系B5組特選		2010-1-18	18	笠松	2			9	110	1	9	140	2	7	160	3	10.0	3,530	9.0	7-9	130	1	9=>7	150	1.0	7-9-10	2520	6.0	9=>7=>10	4030	10.0		69458731012.0	97310568421.0	97103685421.0			7-8	130.0	1.0	8=>7	130.0	1.0
201047011901	ダ	右	800	晴	良	10:50	サラ系3歳14組		2010-1-19	18	笠松	3			4	350	2	4	100	2	8	100	1	3.0	120	3.0	4-8	210	1	4=>8	570	2.0	3-4-8	220	1.0	4=>8=>3	1590	5.0				14368527.0								
201047011902	ダ	右	1400	晴	良	11:20	サラ系3歳13組		2010-1-19	18	笠松	3			6	2350	5	6	220	5	5	110	1	7.0	430	7.0	5-6	610	3	6=>5	3490	10.0	5-6-7	10570	18.0	6=>5=>7	51950	78.0		63584721.0	63857421.0	63857421.0								
201047011903	ダ	右	1400	晴	良	11:50	サラ系3歳12組		2010-1-19	18	笠松	3			3	270	2	3	100	2	5	130	3	6.0	100	1.0	3-5	1160	3	3=>5	1800	4.0	3-5-6	220	1.0	3=>5=>6	2590	8.0		35624817.0	35618427.0	56318247.0								
201047011904	ダ	右	1400	晴	良	12:20	サラ系3歳11組		2010-1-19	18	笠松	3			7	1390	5	7	360	6	3	470	7	1.0	180	3.0	3-7	19170	24	7=>3	89030	50.0	1-3-7	32790	41.0	7=>3=>1	412510	247.0		15947263.0	19567432.0	19763542.0								
201047011905	ダ	右	1400	晴	良	12:50	サラ系C25組		2010-1-19	18	笠松	3			4	160	1	4	100	1	2	110	2	9.0	150	4.0	2-4	210	1	4=>2	300	1.0	2-4-9	520	2.0	4=>2=>9	1060	2.0		398674215.0	398472165.0	394821756.0			2-4	190.0	1.0	4=>2	370.0	1.0
201047011906	ダ	右	1400	晴	良	13:20	サラ系C24組		2010-1-19	18	笠松	3			9	290	2	9	130	1	2	150	3	3.0	400	7.0	2-9	580	3	9=>2	1260	6.0	2-3-9	6000	15.0	9=>2=>3	28380	67.0		19510283467.0	19106852437.0	9,1,2,5,10,4,8,6,3=7			2-8	230.0	1.0	8=>2	510.0	2.0
201047012001	ダ	右	1400	晴	良	10:50	サラ系3歳4組		2010-1-20	18	笠松	4			2	550	2	2	290	3	1	270	2				1-2	2080	5	2=>1	2580	7.0	1-2-7	3110	7.0	2=>1=>7	11870	29.0		1275463.0	1275643.0	1275463.0								
201047012002	ダ	右	1400	晴	良	11:20	サラ系C12・15組		2010-1-20	18	笠松	4			2	130	1	2	100	2	9	100	1	3.0	780	9.0	2-9	240	1	2=>9	230	1.0	2-3-9	10610	18.0	2=>9=>3	14950	30.0		968273154.0	968457231.0	926743851.0			2-8	140.0	1.0	2=>8	250.0	1.0
201047012003	ダ	右	1400	晴	良	11:50	サラ系C11組		2010-1-20	18	笠松	4			5	100	1	5	100	1	6	100	2	1.0	190	4.0	5-6	160	1	5=>6	180	1.0	1-5-6	640	3.0	5=>6=>1	870	3.0		265489173.0	526849173.0	5,6,2,8,1,9,4-7,3			5-6	140.0	1.0	5=>6	150.0	1.0
201047012004	ダ	右	1400	晴	良	12:25	サラ系C10組		2010-1-20	18	笠松	4			1	110	1	1	110	1	7	140	3	5.0	180	4.0	1-7	420	2	1=>7	480	2.0	1-5-7	790	4.0	1=>7=>5	1980	7.0		257196384.0	521798634.0	512789346.0			1-7	350.0	2.0	1=>7	340.0	2.0
201047012005	ダ	右	1400	晴	良	13:00	サラ系C14組特選		2010-1-20	18	笠松	4			4	600	3	4	150	4	5	100	1	8.0	110	2.0	4-5	340	2	4=>5	1600	6.0	4-5-8	420	1.0	4=>5=>8	4750	15.0		78519463.0	85794163.0	85493167.0			4-5	380.0	2.0	4=>5	1530.0	7.0
201047012006	ダ	右	1400	晴	良	14:00	サラ系3歳1組特別 		2010-1-20	18	笠松	4			6	160	1	6	130	1	7	560	5				6-7	2720	6	6=>7	2300	7.0	1-6-7	1610	5.0	6=>7=>1	8690	27.0		3726415.0	7326415.0	7361425.0								
201047012007	ダ	右	1600	晴	良	14:30	サラ系C9組		2010-1-20	18	笠松	4			5	130	1	5	110	1	7	150	4	9.0	140	3.0	5-7	480	2	5=>7	730	3.0	5-7-9	640	3.0	5=>7=>9	1890	6.0		79345281016.0	79345102816.0	75943210816.0			5-7	510.0	2.0	5=>7	920.0	3.0
201047012008	ダ	右	1400	晴	良	15:00	若菜賞		2010-1-20	18	笠松	4	(別定)		2	270	1	2	110	1	5	170	4	1.0	160	3.0	2-5	1210	5	2=>5	1520	7.0	1-2-5	1100	2.0	2=>5=>1	6300	19.0		23518476.0	23518476.0	2,5,1,8,3,4,7-6								
201047012009	ダ	右	1400	晴	良	15:30	水仙賞		2010-1-20	18	笠松	4	(別定)		7	340	2	7	110	3	4	100	1	5.0	100	2.0	4-7	200	1	7=>4	700	3.0	4-5-7	210	1.0	7=>4=>5	1190	3.0		7538421.0	7548321.0	7458321.0								
201047012010	ダ	右	1600	晴	良	16:35	C級チャンピオン 		2010-1-20	18	笠松	4			9	170	1	9	110	1	5	160	4	10.0	130	2.0	5-9	370	1	9=>5	560	2.0	5-9-10	360	1.0	9=>5=>10	1370	2.0		35924107681.0	53924107681.0	91053472186.0			5-8	300.0	2.0	8=>5	420.0	2.0
201047012101	ダ	右	1400	雨	重	10:50	サラ系C17組		2010-1-21	18	笠松	5			6	240	2	6	100	2	3	100	1	7.0	140	4.0	3-6	110	1	6=>3	590	2.0	3-6-7	420	2.0	6=>3=>7	1490	6.0		163792548.0	631759428.0	637591428.0			3-6	110.0	1.0	6=>3	600.0	2.0
201047012102	ダ	右	1400	曇	重	11:20	サラ系C16組		2010-1-21	18	笠松	5			8	170	1	8	100	1	6	100	2	4.0	100	3.0	6-8	120	1	8=>6	130	1.0	4-6-8	350	2.0	8=>6=>4	490	2.0		678452193.0	687451329.0	867451392.0			6-8	120.0	1.0	8=>6	110.0	1.0
201047012103	ダ	右	1400	曇	重	11:50	サラ系C5組		2010-1-21	18	笠松	5			5	120	1	5	110	1	8	300	4	9.0	310	5.0	5-8	1580	6	5=>8	1050	3.0	5-8-9	6320	20.0	5=>8=>9	15850	45.0		268495317.0	689425317.0	689452317.0			5-8	750.0	3.0	5=>8	650.0	2.0
201047012104	ダ	右	1400	曇	重	12:50	サラ系C4組		2010-1-21	18	笠松	5			3	6370	9	3	660	8	4	100	1	7.0	150	3.0	3-4	7610	13	3=>4	48430	36.0	3-4-7	6890	14.0	3=>4=>7	146490	141.0		347982651.0	347829615.0	347829165.0			3-4	6140.0	10.0	3=>4	17570.0	22.0
201047012105	ダ	右	1400	曇	重	13:20	サラ系B11・C3組		2010-1-21	18	笠松	5			7	460	2	7	130	2	5	490	5	8.0	180	3.0	5-7	3710	7	7=>5	7790	14.0	5-7-8	5830	13.0	7=>5=>8	32480	53.0		789642513.0	789645213.0	798654213.0			5-7	3750.0	7.0	7=>5	3680.0	11.0
201047012106	ダ	右	1400	曇	重	13:50	サラ系B10組		2010-1-21	18	笠松	5			5	120	1	5	120	1	6	200	4	7.0	320	6.0	5-6	250	1	5=>6	270	1.0	5-6-7	780	4.0	5=>6=>7	1300	4.0		14921056873.0	14925687103.0	19425678103.0			5-6	240.0	1.0	5=>6	200.0	1.0
201047012107	ダ	右	1600	曇	重	14:25	サラ系B8組		2010-1-21	18	笠松	5			5	200	1	5	130	3	7	120	1	2.0	180	4.0	5-7	190	1	5=>7	280	1.0	2-5-7	830	3.0	5=>7=>2	2520	6.0		67810594231.0	75681029431.0	57289106341.0			5-7	150.0	1.0	5=>7	280.0	1.0
201047012108	ダ	右	1400	曇	重	15:00	サラ系B9組		2010-1-21	18	笠松	5			4	370	2	4	110	2	5	100	1	1.0	160	4.0	4-5	150	1	4=>5	350	2.0	1-4-5	460	2.0	4=>5=>1	950	4.0		47915862103.0	47915682103.0	47519862103.0			4-5	180.0	1.0	4=>5	330.0	2.0
201047012109	ダ	右	1400	曇	重	16:00	サラ系C2組特選		2010-1-21	18	笠松	5			10	110	1	10	100	1	1	160	4	2.0	110	2.0	1-10	560	3	10=>1	580	3.0	1-2-10	740	2.0	10=>1=>2	2260	7.0		12106783945.0	12106789354.0	10126789534.0			1-8	660.0	5.0	8=>1	750.0	4.0
201047012110	ダ	右	1600	曇	重	16:35	睦月特別 		2010-1-21	18	笠松	5			1	120	1	1	100	1	5	220	5	4.0	210	4.0	1-5	800	3	1=>5	1320	5.0	1-4-5	2620	6.0	1=>5=>4	5940	18.0		12639745108.0	12693745108.0	12597463810.0			1-5	1110.0	4.0	1=>5	1060.0	4.0
201047012201	ダ	右	1400	晴	重	10:50	サラ系C22組牝馬		2010-1-22	18	笠松	6	牝		6	120	1	6	100	1	4	100	3	8.0	100	2.0	4-6	170	1	6=>4	330	1.0	4-6-8	300	1.0	6=>4=>8	820	1.0		381647952.0	386147925.0	689432715.0			4-6	210.0	2.0	6=>4	320.0	1.0
201047012202	ダ	右	1400	晴	重	11:20	サラ系C21組		2010-1-22	18	笠松	6			3	110	1	3	110	1	6	700	6	9.0	350	5.0	3-6	1910	5	3=>6	3070	8.0	3-6-9	4130	11.0	3=>6=>9	12770	33.0		369582417.0	369285417.0	369285471.0			3-6	1850.0	6.0	3=>6	2440.0	7.0
201047012203	ダ	右	1400	晴	重	11:55	サラ系C20組		2010-1-22	18	笠松	6			9	480	3	9	140	4	6	130	3	7.0	100	1.0	6-9	2100	6	9=>6	2680	10.0	6-7-9	840	3.0	9=>6=>7	6460	20.0		769842153.0	769842513.0	769842513.0			6-8	960.0	4.0	8=>6	1400.0	5.0
