	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連複:的中	三連複:配当	三連複:人気
201053081504	ダ	右	1250	晴	良	13:20	C　11		2010-8-15	6	福山	3	(馬齢)		10	920	4.0	10	210	4	1	180	3	2.0	660	8.0	1-10	1160	5	10=>1	3180	14	10=>1=>2	43420	126	10,7,1,(2,3),9,4,5,8,6	10,(1,7),(2,3),9,4,(5,8),6	10,1,7,2,3,9,4,(8,6),5	10124765839			1-2-10	8000.0	27.0
201053081505	ダ	右	1250	晴	良	13:50	福山・高知競馬連携騎		2010-8-15	6	福山	3	(馬齢)		5	140	1.0	5	100	1	1	110	2	7.0	120	3.0	1-5	450	2	5=>1	650	3	5=>1=>7	2360	6	16831092574	1,6,8,3,5,9,2,(7,10),4	15683927104	(1,5)-8,9,7,6,(3,2),4,10			1-5-7	910.0	3.0
201053081506	ダ	右	1250	晴	良	14:20	3歳7　条件		2010-8-15	6	福山	3	(馬齢)		7	860	4.0	7	160	3	1	100	1	9.0	250	5.0	1-7	960	4	7=>1	4330	14	7=>1=>9	25620	57	163795428	163795428	1,6,7,3,9-5-4,2,8	1,7,6,9,3-5,4,2,8			1-7-9	2030.0	7.0
201053082801	ダ	右	1250	晴	良	11:50	3歳4　条件		2010-8-28	6	福山	4	(馬齢)		1	220	2.0	1	100	1	4	180	4	8.0	400	5.0	1-4	1320	4	1=>4	1630	4	1=>4=>8	8630	25	169485732	1,6,(4,9),8,5,3,7,2	164985372	148695372			1-4-8	3550.0	9.0
201053082802	ダ	右	1250	晴	良	12:20	3歳3　条件		2010-8-28	6	福山	4	(馬齢)		2	170	1.0	2	160	2	6	210	4	3.0	320	5.0	2-6	660	3	2=>6	900	3	2=>6=>3	5950	16	6,7,2,(3,8,9),(1,5),4	672931854	672931584	627391584			2-3-6	1940.0	6.0
201053082803	ダ	右	1130	晴	良	12:50	C　11		2010-8-28	6	福山	4	(馬齢)		6	180	1.0	6	100	1	5	100	2	7.0	110	3.0	5-6	190	1	6=>5	240	1	6=>5=>7	580	1	5,7,6,3,(1,2),4,8	57631248	57631248	57613248			5-6-7	230.0	1.0
201053082804	ダ	右	1250	晴	良	13:20	C　10		2010-8-28	6	福山	4	(馬齢)		8	280	2.0	8	150	2	2	500	7	4.0	420	6.0	2-8	4710	15	8=>2	7160	25	8=>2=>4	47220	107	2,7,8,3,(5,6),1,4	2,7,(3,8),(5,6),1,4	2,7,8,(3,5,6),(1,4)	28765413			2-4-8	11390.0	24.0
201053082805	ダ	右	1250	晴	良	13:50	福山・高知連携対潮楼		2010-8-28	6	福山	4	(馬齢)		4	390	3.0	4	180	4	2	140	3	3.0	120	1.0	2-4	670	2	4=>2	1430	5	4=>2=>3	2790	6	48726135	48726135	48276315	4,(8,2),6,1,5,3,7			2-3-4	590.0	1.0
201053082806	ダ	右	1250	晴	良	14:25	C8		2010-8-28	6	福山	4	(馬齢)		5	190	1.0	5	180	2	1	390	4	6.0	220	3.0	1-5	600	2	5=>1	1060	3	5=>1=>6	2320	5	57381426	5,7,3,8,1,(2,6),4	57381624	57316824			1-5-6	510.0	1.0
201053082807	ダ	右	1250	晴	良	15:00	3歳2　条件		2010-8-28	6	福山	4	(馬齢)		3	110	1.0	3	100	1	4	230	4	2.0	370	7.0	3-4	610	3	3=>4	840	4	3=>4=>2	5360	18	246893157	246893157	246983157	246983157			2-3-4	2390.0	9.0
201053082808	ダ	右	1250	晴	良	15:35	3歳1　条件		2010-8-28	6	福山	4	(馬齢)		10	230	1.0	10	100	1	8	1,670	10	1.0	870	9.0	8-10	21190	32	10=>8	15990	32	10=>8=>1	333230	312	1,8,(9,10),2,3,5,4,7,6	1,10,(8,9),2,3,4,5,6,7	1-10,8,9,(4,2),5,3,6,7	1,10-8,9,4,6,2,7,5,3			1-8-10	131790.0	84.0
201053082809	ダ	右	1600	晴	良	16:10	りんどう特別 		2010-8-28	6	福山	4	(馬齢)		1	7630	6.0	1	640	8	8	100	1	5.0	160	3.0	1-8	1560	6	1=>8	8680	24	1=>8=>5	27780	67	819426375	819243657	819254637	8,1,2,5,(9,4),6,3,7			1-5-8	2060.0	5.0
201053082810	ダ	右	1250	晴	良	16:50	開設記念広島県馬主会 		2010-8-28	6	福山	4	(馬齢)		6	100	1.0	6	100	1	8	130	3	1.0	200	4.0	6-8	150	1	6=>8	140	1	6=>8=>1	670	2	4,10,1,8,3,5,6,7,(2,9)	4,10,(1,8),3,6,5,2,7,9	48106132975	6,8,4,10,9,1,3,2,7-5			1-6-8	480.0	2.0
201053082901	ダ	右	1250	晴	良	11:50	2歳2		2010-8-29	6	福山	5	(馬齢)		4	240	1.0	4	140	1	1	170	2				1-4	540	2	4=>1	750	2	4=>1=>6	3120	9	4617352	4617352	4167352	4,1-6,7,3,5,2			1-4-6	860.0	3.0
201053082902	ダ	右	1250	晴	良	12:20	2歳1		2010-8-29	6	福山	5	(馬齢)		5	120	1.0	5	120	1	1	130	3	4.0	190	4.0	1-5	260	1	5=>1	370	1	5=>1=>4	2480	7	56182734	5,(1,6),8,2,7,4,3	5,1,2,8,(6,4),7,3	5,1-2,8,4,7,(6,3)			1-4-5	1250.0	4.0
201053082903	ダ	右	1130	晴	良	12:50	C7		2010-8-29	6	福山	5	(馬齢)		3	1850	5.0	3	380	5	8	500	8	7.0	150	2.0	3-8	12800	15	3=>8	39440	37	3=>8=>7	279940	165	35128647	35128647	3,5,(1,2),(8,6),4,7	35128647			3-7-8	18100.0	23.0
201053082904	ダ	右	1600	晴	良	13:20	ききょう特別 		2010-8-29	6	福山	5	(馬齢)		6	130	1.0	6	110	1	1	120	2				1-6	210	1	6=>1	230	1	6=>1=>3	410	1	621435	621435	6,(1,2),4,3,5	6,1,2,4,3-5			1-3-6	180.0	1.0
201053082905	ダ	右	1250	晴	良	13:50	C5		2010-8-29	6	福山	5	(馬齢)		2	130	1.0	2	100	1	7	110	2	4.0	120	3.0	2-7	340	2	2=>7	460	2	2=>7=>4	750	2	24173865	2,4,1,(3,7),8,6,5	24713865	2,4,7,(1,3),8,5,6			2-4-7	250.0	1.0
201053082906	ダ	右	1250	晴	良	14:25	福山・高知連携対潮楼		2010-8-29	6	福山	5	(馬齢)		4	210	1.0	4	120	2	2	110	1	3.0	420	7.0	2-4	320	1	4=>2	460	1	4=>2=>3	4650	17	28463571	28463751	2,8,4,(6,7),3,5,1	24876351			2-3-4	2300.0	9.0
201053082907	ダ	右	1250	晴	良	15:00	3歳6　条件		2010-8-29	6	福山	5	(馬齢)		1	170	1.0	1	130	2	6	120	1	8.0	130	3.0	1-6	370	1	1=>6	440	1	1=>6=>8	1410	1	2,(4,8),1,6,(5,9),3,7	284156937	(2,8),1,6,4,5,9,3,7	182654937			1-6-8	600.0	1.0
201053090501	ダ	右	1250	晴	良	11:50	3歳7　条件		2010-9-5	7	福山	1	(馬齢)		6	2130	4.0	6	300	4	3	160	2				3-6	1280	5	6=>3	3840	12	6=>3=>7	7060	21	3475612	3475612	3,4,7,(5,6),1,2	3,4,6,7,(5,1),2			3-6-7	870.0	4.0
201053091101	ダ	右	1250	曇	良	11:50	2歳2		2010-9-11	7	福山	2	(馬齢)		3	130	1.0	3	140	1	7	170	3				3-7	440	2	3=>7	500	2	3=>7=>2	910	2	573426	573426	(7,3),5,4,2,6	(7,3),4,5,2,6			2-3-7	210.0	1.0
201053091102	ダ	右	1250	曇	良	12:20	2歳1		2010-9-11	7	福山	2	(馬齢)		2	100	1.0	2	130	2	6	360	5	3.0	340	4.0	2-6	1010	5	2=>6	1110	6	2=>6=>3	5120	19	2,8,(1,6,7),5,3,4	2,8,(1,6,7),5,3,4	2,8-6,1,7,3,(4,5)	28631745			2-3-6	2540.0	9.0
201053091103	ダ	右	1130	曇	良	12:50	C6		2010-9-11	7	福山	2	(馬齢)		5	620	2.0	5	150	2	3	540	4				3-5	3100	5	5=>3	8630	12	5=>3=>6	35280	43	5671432	5671432	5674132	5671342			3-5-6	5350.0	11.0
201053091104	ダ	右	1250	曇	良	13:20	C5		2010-9-11	7	福山	2	(馬齢)		3	110	1.0	3	100	1	6	110	2	1.0	250	5.0	3-6	280	1	3=>6	380	1	3=>6=>1	1730	4	3,6,(1,5),8,7,(2,4)	3,6,(1,5),8,7,4,2	3,6,(1,5),(7,8,4,2)	36125748			1-3-6	780.0	2.0
201053091105	ダ	右	1250	曇	良	13:50	福山・高知連携勝海舟		2010-9-11	7	福山	2	(馬齢)		8	210	1.0	8	100	1	7	240	6	1.0	120	2.0	7-8	1360	5	8=>7	1630	7	8=>7=>1	7030	23	45178362	4,(5,7),1,8,6,3,2	(4,7),(5,1),8,6,3,2	71846532			1-7-8	1200.0	5.0
201053091106	ダ	右	1250	曇	良	14:25	福山・高知連携勝海舟		2010-9-11	7	福山	2	(馬齢)		4	740	4.0	4	250	4	7	680	6	6.0	220	3.0	4-7	3490	12	4=>7	7070	21	4=>7=>6	27880	71	1,2,(3,5),6,4,8,7	1,(3,2),5,6,4,8,7	1,2,3,(5,6),4,8,7	16345278			4-6-7	3230.0	11.0
201053091107	ダ	右	1600	晴	良	15:00	3歳2　条件		2010-9-11	7	福山	2	(馬齢)		1	1570	5.0	1	270	4	2	400	7	4.0	290	5.0	1-2	3660	16	1=>2	10560	38	1=>2=>4	31860	103	1,6,4,7,9,2,(3,8),5	164792385	1,(4,6),2,(8,3),7,9,5	146283597			1-2-4	4740.0	18.0
201053091108	ダ	右	1600	晴	良	15:35	3歳1　条件		2010-9-11	7	福山	2	(馬齢)		2	1110	3.0	2	210	4	1	260	6	5.0	120	1.0	1-2	3710	15	2=>1	5610	18	2=>1=>5	23320	68	2,9,(3,4),5,6,7,8,1	293456781	2,3,(4,5),8,7,6,1,9	2-5,1,3,8,4,7,6-9			1-2-5	3000.0	10.0
201053091201	ダ	右	1250	晴	良	11:50	2歳5		2010-9-12	7	福山	3	(馬齢)		1	380	2.0	1	100	1	6	100	1				1-6	200	1	1=>6	730	3	1=>6=>5	1130	4	126345	126345	162354	1,6-2,5,3,4			1-5-6	160.0	1.0
201053091202	ダ	右	1250	晴	良	12:20	2歳4		2010-9-12	7	福山	3	(馬齢)		4	600	4.0	4	450	4	5	110	1				4-5	1800	7	4=>5	5030	17	4=>5=>3	6860	28	4,5,(1,3),6,2	453162	453162	453162			3-4-5	550.0	2.0
201053091203	ダ	右	1250	晴	良	12:50	2歳3		2010-9-12	7	福山	3	(馬齢)		2	130	1.0	2	100	1	5	180	3				2-5	440	3	2=>5	660	3	2=>5=>4	5110	19	2475631	2,(5,4),7,(6,3),1	2,(5,4),(7,1),6,3	2541637			2-4-5	2270.0	8.0
201053091204	ダ	右	1130	晴	良	13:20	C2		2010-9-12	7	福山	3	(馬齢)		1	110	1.0	1	100	1	2	130	3	5.0	150	4.0	1-2	290	1	1=>2	340	1	1=>2=>5	1390	4	1,2,(3,6),4,8,7,5	1,2,6,3,4,8,(7,5)	12634578	1,2,3,6,(4,7,5),8			1-2-5	620.0	3.0
201053091205	ダ	右	1250	晴	良	13:50	福山・高知連携勝海舟		2010-9-12	7	福山	3	(馬齢)		5	210	1.0	5	110	1	8	110	2	4.0	270	6.0	5-8	460	2	5=>8	850	3	5=>8=>4	5050	18	5,8,1,9,2,(3,4),7,6	5,8,1,9,(3,2),4,7,6	5,8,(1,9),(3,2),4,7,6	5,8,1,4,(3,9,2),7,6			4-5-8	1830.0	5.0
201053091206	ダ	右	1600	晴	良	14:25	われもこう特別 		2010-9-12	7	福山	3	(馬齢)		6	110	1.0	6	130	2	4	100	1				4-6	160	1	6=>4	240	1	6=>4=>5	370	1	6,5,2,4,3-1	6,5,4,2,3-1	6,5,4,2,3-1	6,5,4,2,3-1			4-5-6	110.0	1.0
201053091207	ダ	右	1600	晴	良	15:00	八朔の馬出し特別 		2010-9-12	7	福山	3	(馬齢)		4	520	2.0	4	230	4	1	130	1				1-4	400	3	4=>1	1110	5	4=>1=>2	2640	9	4721635	4,(2,7),1,6,3,5	4,2,6,1,7-3,5	4,2,1,6-7-3,5			1-2-4	580.0	3.0
201053091208	ダ	右	1600	晴	良	15:35	B6		2010-9-12	7	福山	3	(馬齢)		8	220	1.0	8	120	1	3	140	2	1.0	360	8.0	3-8	370	1	8=>3	610	1	8=>3=>1	3960	12	8,3,2,(7,6),5,1,4	83276154	8,3,(2,7),1,(4,6),5	83721465			1-3-8	1630.0	6.0
201053091209	ダ	右	1600	晴	良	16:10	B5		2010-9-12	7	福山	3	(馬齢)		6	650	2.0	6	150	4	5	100	1	2.0	100	2.0	5-6	240	1	6=>5	1350	6	6=>5=>2	4300	14	1,(5,6),2,8,3,7,4	15628734	(1,5,6),2,8,7,3,4	65218734			2-5-6	410.0	2.0
201053091210	ダ	右	1600	晴	良	16:50	福山3歳牝馬特別	G	2010-9-12	7	福山	3	牝(馬齢)		1	110	1.0	1	100	1	10	540	7	7.0	540	7.0	1-10	4500	8	1=>10	4300	9	1=>10=>7	115200	98	71026583491	71026583491	7,10,6,2,3,4,5,(1,8,9)	7,10,6,2,(3,4),1,5,9,8			1-7-10	32520.0	32.0
201053091901	ダ	右	1250	晴	良	11:50	福山・高知連携勝海舟		2010-9-19	7	福山	4	(馬齢)		3	590	2.0	3	300	3	5	380	5				3-5	9180	14	3=>5	20350	27	3=>5=>1	119430	99	5,3,(1,2),4,6	531426	5,3,(1,4),2,6	531426			1-3-5	14450.0	18.0
201053091902	ダ	右	1250	晴	良	12:20	福山・高知連携勝海舟		2010-9-19	7	福山	4	(馬齢)		1	150	1.0	1	100	1	3	140	2				1-3	140	1	1=>3	200	1	1=>3=>5	730	2	1,3,(4,2),5,7,6	1352476	1,3,5,2,(4,7),6	1352746			1-3-5	370.0	2.0
201053091903	ダ	右	1250	晴	良	12:50	3歳3　条件		2010-9-19	7	福山	4	(馬齢)		4	760	4.0	4	420	3	5	370	2				4-5	1960	7	4=>5	4970	11	4=>5=>2	9950	25	3546127	3546127	(3,5),4,2,1,6,7	5431267			2-4-5	390.0	2.0
201053091904	ダ	右	1130	晴	良	13:20	C　10		2010-9-19	7	福山	4	(馬齢)		1	3340	6.0	1	430	6	2	220	4	3.0	150	2.0	1-2	6440	13	1=>2	22090	28	1=>2=>3	36480	78	1,2,6,3,(4,7,8),5	1,2,6,3,(4,8),5,7	12638457	12368547			1-2-3	3150.0	11.0
201053091905	ダ	右	1250	晴	良	13:50	C9		2010-9-19	7	福山	4	(馬齢)		9	120	1.0	9	110	1	2	190	3	1.0	360	6.0	2-9	410	2	9=>2	500	2	9=>2=>1	2230	5	9,(1,6),4,3,2,7,5,8	916472358	917246358	9-1,2,7,3,4,8,5,6			1-2-9	1710.0	6.0
201053091906	ダ	右	1250	晴	良	14:25	C8		2010-9-19	7	福山	4	(馬齢)		6	380	3.0	6	130	2	3	280	6	2.0	110	1.0	3-6	5210	14	6=>3	5070	14	6=>3=>2	17320	50	23164785	3,2,1,6,(7,8),4,5	3,2,1,6,8,(4,7),5	32618745			2-3-6	1750.0	7.0
201053091907	ダ	右	1250	晴	良	15:05	福山・高知連携勝海舟		2010-9-19	7	福山	4	(馬齢)		1	180	1.0	1	110	1	2	230	6	4.0	130	2.0	1-2	1220	6	1=>2	1610	5	1=>2=>4	4560	16	219837456	2,1,8,9,3,(4,7),5,6	218493756	214839756			1-2-4	1270.0	5.0
201053091908	ダ	右	1250	晴	良	15:40	3歳2　条件		2010-9-19	7	福山	4	(馬齢)		4	2280	7.0	4	280	6	6	120	1	1.0	240	5.0	4-6	4550	17	4=>6	15440	39	4=>6=>1	82710	185	4,5,1,6,2,8,9,3-7	4,5,6,1,2,8,9,3-7	4,6,(1,5),2,8,9,3-7	4,6,1,2,3,5,(8,9)-7			1-4-6	4850.0	20.0
201053091909	ダ	右	1250	晴	良	16:15	3歳1　条件		2010-9-19	7	福山	4	(馬齢)		4	1310	4.0	4	160	4	9	100	1	2.0	120	2.0	4-9	910	4	4=>9	2480	9	4=>9=>2	5380	18	489251763	489251736	492851736	4,9,2,5,8,7,3,1-6			2-4-9	580.0	2.0
201053092001	ダ	右	1250	曇	良	11:50	3歳9　条件		2010-9-20	7	福山	5	(馬齢)		3	620	3.0	3	190	4	4	150	2	1.0	180	3.0	3-4	700	4	3=>4	2020	9	3=>4=>1	5740	23	3,5,4,(7,8),1,2,6	38547126	38451726	38451276			1-3-4	670.0	2.0
201053092002	ダ	右	1250	曇	良	12:20	福山・高知連携勝海舟		2010-9-20	7	福山	5	(馬齢)		8	540	3.0	8	100	2	6	130	3	4.0	100	1.0	6-8	1110	6	8=>6	3030	14	8=>6=>4	6760	21	6,4,8,(2,3),1,5,7	64832157	64832157	6,4,8,3,2,1,(5,7)			4-6-8	700.0	2.0
201053100301	ダ	右	1250	曇	稍重	10:50	C9		2010-10-3	8	福山	1	(馬齢)		5	100	1.0	5	100	1	3	110	2	7.0	180	4.0	3-5	160	1	5=>3	190	1	5=>3=>7	600	2	5,7,2,4,(6,8),3,1	5,2,7,(3,8),6,4,1	57823641	(5,3),7,2,8,6,1,4			3-5-7	510.0	2.0
201053100302	ダ	右	1250	曇	稍重	11:20	C8		2010-10-3	8	福山	1	(馬齢)		8	1050	6.0	8	150	3	6	150	2	3.0	230	5.0	6-8	1400	7	8=>6	2950	17	8=>6=>3	11380	54	6,5,4,(1,2,3),7,8	65432178	6,5,3,(4,7),(1,2),8	65378412			3-6-8	1190.0	4.0
201053100303	ダ	右	1130	雨	稍重	11:50	C7		2010-10-3	8	福山	1	(馬齢)		7	960	4.0	7	520	4	8	520	4	5.0	220	2.0	7-8	1700	7	7=>8	5840	21	7=>8=>5	17780	61	287943651	2,8,7,9,4,3,(5,6),1	287495361	287543961			5-7-8	2310.0	8.0
201053100304	ダ	右	1250	雨	稍重	12:20	福山・高知連携お龍シ		2010-10-3	8	福山	1	(馬齢)		3	150	1.0	3	120	1	4	150	3	9.0	290	6.0	3-4	230	1	3=>4	310	1	3=>4=>9	3800	13	395814276	395814267	3,9,5,8,(1,4),2,6,7	398514267			3-4-9	2150.0	8.0
201053100305	ダ	右	1250	雨	稍重	12:50	3歳4　条件		2010-10-3	8	福山	1	(馬齢)		8	180	1.0	8	100	1	7	120	2	5.0	140	4.0	7-8	390	2	8=>7	640	2	8=>7=>5	2080	6	5,7,8,6,(2,1),(3,4)	5,7,(6,8),(1,4),2,3	57864123	(5,7),8,(6,1,4),2,3			5-7-8	640.0	2.0
201053100306	ダ	右	1250	雨	稍重	13:25	3歳3　条件		2010-10-3	8	福山	1	(馬齢)		8	250	2.0	8	100	1	1	100	2	3.0	150	3.0	1-8	210	1	8=>1	520	2	8=>1=>3	1280	2	48162537	48162537	4,8,1,(6,3),2,5,7	8,4,(1,3),2,6,5,7			1-3-8	370.0	1.0
201053100307	ダ	右	1600	雨	稍重	14:00	3歳2　条件		2010-10-3	8	福山	1	(馬齢)		4	1590	5.0	4	200	5	5	160	3	8.0	150	1.0	4-5	1280	5	4=>5	2770	10	4=>5=>8	9360	25	378452196	378415296	(3,7,8),5,2,(1,4),9,6	783521469			4-5-8	1360.0	4.0
201053100308	ダ	右	1600	雨	稍重	14:35	3歳1　条件		2010-10-3	8	福山	1	(馬齢)		8	100	1.0	8	110	1	3	110	2	2.0	250	4.0	3-8	310	2	8=>3	470	2	8=>3=>2	1470	3	(1,5,6),3,8,9,4,7,2	(1,5),3,8,6,4,9,7,2	8,(1,5),3,2,4,7,9,6	8-3,1,5,2,7,4,9,6			2-3-8	720.0	2.0
201053101001	ダ	右	1250	晴	不良	10:50	3歳8　条件		2010-10-10	8	福山	2	(馬齢)		6	260	2.0	6	110	1	4	380	4				4-6	1000	4	6=>4	930	4	6=>4=>1	2980	11	4612573	4612573	4612573	6415273			1-4-6	890.0	3.0
201053101002	ダ	右	1250	晴	不良	11:20	3歳7　条件		2010-10-10	8	福山	2	(馬齢)		7	1560	5.0	7	120	2	6	120	1				6-7	590	4	7=>6	2770	8	7=>6=>5	11670	30	6517423	6,5,1,(4,7),2,3	6,5,7,(1,4),2,3	6754123			5-6-7	990.0	6.0
201053101003	ダ	右	1250	晴	不良	11:50	2歳2		2010-10-10	8	福山	2	(馬齢)		6	760	3.0	6	200	3	7	120	1				6-7	510	2	6=>7	1320	4	6=>7=>1	6800	22	6,5,3,(1,2,7),4	6357124	6371542	6731524			1-6-7	1340.0	5.0
201053101004	ダ	右	1250	晴	不良	12:20	2歳1		2010-10-10	8	福山	2	(馬齢)		5	690	3.0	5	350	3	8	230	2	7.0	1,720	7.0	5-8	1100	5	5=>8	4490	13	5=>8=>7	156010	120	(2,4),5,1,8,(3,6),7	24581367	45281367	5,8,4-1,3,6,7,2			5-7-8	15250.0	20.0
201053101005	ダ	右	1130	晴	重	12:50	C5		2010-10-10	8	福山	2	(馬齢)		6	670	4.0	6	280	4	8	180	3	7.0	420	7.0	6-8	3530	11	6=>8	5240	20	6=>8=>7	34480	97	16247385	16247835	1,6,2,(4,7),8,5,3	16278453			6-7-8	13110.0	29.0
201053101006	ダ	右	1250	晴	重	13:25	C4		2010-10-10	8	福山	2	(馬齢)		5	640	3.0	5	230	5	8	180	3	9.0	400	7.0	5-8	680	2	5=>8	1080	2	5=>8=>9	23660	87	514268379	514268397	541268397	542168937			5-8-9	5880.0	23.0
201053101007	ダ	右	1250	晴	重	14:00	3歳6　条件		2010-10-10	8	福山	2	(馬齢)		4	310	2.0	4	110	3	1	100	1	7.0	100	2.0	1-4	210	1	4=>1	530	2	4=>1=>7	880	2	8,1,4,2,7,6,(3,5)	81427635	(1,4),(8,7),2,5,6,3	4,1,7,8,5,2,6-3			1-4-7	280.0	1.0
201053101008	ダ	右	1250	晴	重	14:35	3歳5　条件		2010-10-10	8	福山	2	(馬齢)		4	320	3.0	4	140	1	6	660	7	7.0	660	7.0	4-6	5010	14	4=>6	12130	30	4=>6=>7	140500	207	7,1,8,(2,3,4,5),6	7,(1,8),2,3,4,5,6	7,(1,8),2,4,3,6,5	7,(1,8,4),2,6,5,3			4-6-7	22740.0	39.0
201053101009	ダ	右	1600	晴	重	15:10	デージー特別 		2010-10-10	8	福山	2	(馬齢)		6	360	2.0	6	130	3	1	110	1	3.0	120	2.0	1-6	180	1	6=>1	580	2	6=>1=>3	4760	13	37618452	37618452	36187425	36184725			1-3-6	1150.0	4.0
201053101010	ダ	右	2250	晴	重	15:50	鞆の浦賞	G	2010-10-10	8	福山	2	(馬齢)		1	2370	4.0	1	660	5	10	190	2	5.0	380	3.0	1-10	3400	9	1=>10	8580	17	1=>10=>5	59470	87	6,(10,1),9,4,8,7,5,3,2	6,(10,1),4,9,8-5,7,2,3	(10,1),6,9,8,4,5,2-7,3	(10,1),9,6,8,5,2-4,7,3			1-5-10	6040.0	19.0
201053101701	ダ	右	1250	晴	良	10:50	C　11		2010-10-17	8	福山	4	(馬齢)		6	630	4.0	6	130	3	2	110	1	4.0	140	4.0	2-6	410	2	6=>2	1520	6	6=>2=>4	6600	20	78216435	78261435	(2,8),6,4,7,1,3,5	(2,6),8,4-7,5,(1,3)			2-4-6	780.0	3.0
201053101702	ダ	右	1250	晴	良	11:20	C　10		2010-10-17	8	福山	4	(馬齢)		6	190	1.0	6	100	2	7	100	1	8.0	100	3.0	6-7	530	2	6=>7	780	3	6=>7=>8	1550	4	14672583	1,(4,6),7,2,5,8,3	(6,7),1,4,5,8,3,2	6,7,(4,5),1,3,8,2			6-7-8	400.0	1.0
201053101704	ダ	右	1250	晴	良	12:20	C8		2010-10-17	8	福山	4	(馬齢)		3	670	2.0	3	200	3	6	590	7	2.0	140	2.0	3-6	3920	11	3=>6	19790	19	3=>6=>2	83950	98	368179425	361879245	3,6,7,(8,9,4),(1,2),5	3,6,7,9,4,2,(1,8),5			2-3-6	6160.0	13.0
201053101705	ダ	右	1250	晴	良	12:50	C7		2010-10-17	8	福山	4	(馬齢)		4	1270	6.0	4	180	3	7	110	1	2.0	150	2.0	4-7	1150	6	4=>7	3110	15	4=>7=>2	9370	36	2,3,4,1,7,(5,9),(6,8)	234175986	234175986	4,2,3,(1,7),5,8,9,6			2-4-7	1010.0	2.0
201053101706	ダ	右	1250	晴	良	13:25	3歳3　条件		2010-10-17	8	福山	4	(馬齢)		5	180	1.0	5	100	1	3	130	2	1.0	140	4.0	3-5	250	1	5=>3	350	1	5=>3=>1	1410	4	358129746	358192746	3,5-(1,8),9,2,7,4,6	(3,5)-1,8,9,4,2,7,6			1-3-5	620.0	2.0
201053101707	ダ	右	1250	晴	良	14:00	3歳2　条件		2010-10-17	8	福山	4	(馬齢)		1	430	2.0	1	130	2	6	170	3	3.0	300	5.0	1-6	890	3	1=>6	1390	5	1=>6=>3	6780	18	4,(6,7),8,1,3,5,9=2	4,6,1,7,8,3,9,5=2	(4,6),7,1,8,3,9,5=2	(4,6),1,3,7,(8,9),5=2			1-3-6	1760.0	6.0
201053101708	ダ	右	1250	晴	良	14:35	3歳1　条件		2010-10-17	8	福山	4	(馬齢)		4	120	1.0	4	100	1	6	140	4	9.0	120	2.0	4-6	590	3	4=>6	610	3	4=>6=>9	1480	4	(1,5),4,2,9,3,(6,7),8	152493768	1,(5,4),2,(3,9),7,6,8	(5,4),1,(3,9),2,7,6-8			4-6-9	550.0	2.0
201053102401	ダ	右	1250	雨	良	10:50	3歳8　条件		2010-10-24	8	福山	5	(馬齢)		1	430	2.0	1	140	2	4	130	1				1-4	210	1	1=>4	590	2	1=>4=>5	940	2	145236	145263	1,4-5,2,6,3	1,4,5-2,6-3			1-4-5	170.0	1.0
201053102402	ダ	右	1250	雨	良	11:20	3歳7　条件		2010-10-24	8	福山	5	(馬齢)		5	120	1.0	5	110	1	4	180	3				4-5	550	3	5=>4	750	3	5=>4=>7	2190	9	5,7,3,2,(1,4),6	5732416	5,7,3,2,4,1-6	5,7,3,(4,2),1-6			4-5-7	940.0	5.0
201053102403	ダ	右	1250	雨	良	11:50	3歳6　条件		2010-10-24	8	福山	5	(馬齢)		2	130	1.0	2	100	1	4	130	2				2-4	200	1	2=>4	280	1	2=>4=>7	520	1	4653271	4635271	4253671	2457316			2-4-7	150.0	1.0
201053102404	ダ	右	1130	雨	良	12:20	C6		2010-10-24	8	福山	5	(馬齢)		4	100	1.0	4	110	1	5	200	3				4-5	580	4	4=>5	610	4	4=>5=>7	2530	11	3467251	3467512	3467512	4367512			4-5-7	1140.0	6.0
201053102405	ダ	右	1250	雨	良	12:50	C5		2010-10-24	8	福山	5	(馬齢)		8	1490	7.0	8	240	5	6	100	1	5.0	240	5.0	6-8	1030	4	8=>6	2500	13	8=>6=>5	67300	124	7,8,4,(2,6),1,5,3	7,8,4,(2,6),1,5,3	78462153	(7,8),(4,6),2,(1,5),3			5-6-8	7600.0	19.0
201053102406	ダ	右	1250	雨	稍重	13:25	C4		2010-10-24	8	福山	5	(馬齢)		2	150	1.0	2	100	1	7	210	5	1.0	140	2.0	2-7	1840	9	2=>7	3460	13	2=>7=>1	14510	50	2,5,1,(3,6),8,4,7	21563847	21564387	21564387			1-2-7	2480.0	11.0
