	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201247011007	ダ	右	1400	晴	良	14:05	サラ系C23組		2012-1-10	17	笠松	2			7.0	310.0	2.0	7.0	100	1.0	3.0	100	2.0	10.0	110	3.0	3-7	490.0	3.0	3-7	460.0	3.0	7=>3	900.0	6.0	7=>3	920.0	6.0	3-7-10	180.0	1.0	7=>3=>10	1560.0	7.0		11078956234.0	17105369842.0	17103564982.0											
201247011008	ダ	右	1400	晴	良	14:35	サラ系C22組牝馬		2012-1-10	17	笠松	2	牝		7.0	110.0	1.0	7.0	100	1.0	4.0	110	2.0	9.0	370	7.0	4-7	160.0	1.0	4-7	150.0	1.0	7=>4	210.0	1.0	7=>4	180.0	1.0	4-7-9	580.0	2.0	7=>4=>9	970.0	2.0		41079361852.0	41079361825.0	41079362815.0											
201247011009	ダ	右	1400	晴	良	15:10	マックル賞		2012-1-10	17	笠松	2			1.0	140.0	1.0	1.0	110	1.0	2.0	130	2.0	3.0	590	8.0	1-2	150.0	1.0	1-2	150.0	1.0	1=>2	230.0	1.0	1=>2	280.0	1.0	1-2-3	1460.0	4.0	1=>2=>3	2540.0	7.0		9,2,4,1,3,8=7,5,6,10	9,2,1,4,3,8=7,6,5,10	2,1,9,3,8,4=7,6,5,10											
201247011010	ダ	右	1600	晴	良	16:10	七草特別 		2012-1-10	17	笠松	2			10.0	360.0	2.0	10.0	110	2.0	3.0	110	1.0	4.0	110	3.0	3-8	270.0	1.0	3-10	370.0	2.0	8=>3	530.0	1.0	10=>3	780.0	3.0	3-4-10	270.0	1.0	10=>3=>4	1740.0	4.0		29101643875	2,10,9,6,3,4,1,8-7,5	10,3,2,6,9,4,8,1=5,7											
201247011101	ダ	右	1400	曇	良	11:00	サラ系3歳3組		2012-1-11	17	笠松	3			8.0	1110.0	2.0	8.0	150	3.0	7.0	130	2.0	3.0	270	5.0				7-8	190.0	1.0				8=>7	2080.0	5.0	3-7-8	360.0	1.0	8=>7=>3	8380.0	19.0		72416385.0	72314865.0	73821465.0											
201247011102	ダ	右	1400	曇	良	11:30	サラ系C21組牝馬		2012-1-11	17	笠松	3	牝		4.0	110.0	1.0	4.0	100	1.0	7.0	120	2.0	1.0	780	8.0	4-7	200.0	1.0	4-7	220.0	1.0	4=>7	240.0	2.0	4=>7	270.0	2.0	1-4-7	620.0	3.0	4=>7=>1	1080.0	4.0		14658372109.0	14876531029.0	41786351029.0											
201247011103	ダ	右	1400	曇	良	12:00	サラ系C20組		2012-1-11	17	笠松	3			5.0	130.0	1.0	5.0	100	1.0	1.0	290	5.0	2.0	100	2.0	1-5	3950.0	8.0	1-5	4660.0	7.0	5=>1	6200.0	10.0	5=>1	3960.0	11.0	1-2-5	1460.0	4.0	5=>1=>2	12470.0	26.0		124953687.0	124596837.0	152497863.0											
201247011104	ダ	右	1400	曇	良	12:30	サラ系C19組		2012-1-11	17	笠松	3			10.0	190.0	1.0	10.0	100	1.0	6.0	100	2.0	5.0	190	4.0	6-8	160.0	1.0	6-10	150.0	1.0	8=>6	240.0	1.0	10=>6	270.0	1.0	5-6-10	840.0	3.0	10=>6=>5	1560.0	4.0		10693752481	10,6,9,3,7,5-2,4,1,8	10,6,9,5,3,7-1,4,2,8											
201247011105	ダ	右	1400	曇	良	13:05	サラ系C8組		2012-1-11	17	笠松	3			1.0	210.0	1.0	1.0	110	1.0	5.0	110	2.0	2.0	270	6.0	1-5	260.0	1.0	1-5	220.0	1.0	1=>5	500.0	2.0	1=>5	590.0	2.0	1-2-5	990.0	4.0	1=>5=>2	3360.0	11.0		34582167910	34528167910	3,4,5,2,1,6,8,7,9=10											
201247011201	ダ	右	1400	晴	良	11:00	サラ系3歳5組		2012-1-12	17	笠松	4			1.0	260.0	1.0	1.0	160	4.0	6.0	500	7.0	5.0	150	1.0	1-6	4130.0	15.0	1-6	4310.0	13.0	1=>6	6400.0	24.0	1=>6	5680.0	22.0	1-5-6	3270.0	11.0	1=>6=>5	22420.0	80.0		56812439.0	56821439.0	56281439.0											
201247011202	ダ	右	1400	晴	良	11:30	サラ系3歳4組		2012-1-12	17	笠松	4			6.0	440.0	2.0	6.0	130	3.0	5.0	140	4.0	8.0	100	1.0	5-6	800.0	3.0	5-6	1030.0	3.0	6=>5	2820.0	7.0	6=>5	1930.0	6.0	5-6-8	220.0	1.0	6=>5=>8	4090.0	14.0		83962751014.0	83692510147.0	83652941107.0											
201247011203	ダ	右	1400	晴	良	12:00	サラ系C18組		2012-1-12	17	笠松	4			5.0	660.0	3.0	5.0	130	3.0	2.0	100	1.0	1.0	120	2.0	2-5	300.0	2.0	2-5	330.0	2.0	5=>2	950.0	4.0	5=>2	860.0	3.0	1-2-5	240.0	1.0	5=>2=>1	1330.0	4.0		12105964738.0	12105964783.0	12510694873.0											
201247011204	ダ	右	1400	晴	良	12:30	サラ系C17組		2012-1-12	17	笠松	4			7.0	110.0	1.0	7.0	100	1.0	9.0	170	4.0	8.0	250	6.0	7-8	230.0	1.0	7-9	270.0	1.0	7=>8	340.0	1.0	7=>9	260.0	1.0	7-8-9	1160.0	5.0	7=>9=>8	1840.0	5.0		78910265134.0	78610952134.0	78961052143.0											
201247011205	ダ	右	1600	晴	良	13:05	安立記念		2012-1-12	17	笠松	4			9.0	530.0	2.0	9.0	110	2.0	2.0	110	1.0	5.0	150	4.0	2-8	180.0	1.0	2-9	220.0	1.0	8=>2	760.0	3.0	9=>2	800.0	3.0	2-5-9	280.0	1.0	9=>2=>5	2110.0	5.0		59824631107.0	59824361107.0	59283104167.0											
201247011206	ダ	右	1400	晴	良	13:40	サラ系C5組		2012-1-12	17	笠松	4			6.0	1160.0	6.0	6.0	260	6.0	8.0	160	3.0	9.0	120	1.0	6-7	4150.0	13.0	6-8	4860.0	14.0	6=>7	11270.0	27.0	6=>8	9230.0	26.0	6-8-9	2080.0	10.0	6=>8=>9	30800.0	81.0		5482963710	5,4,8,9,2,6-3,7,10	5,8,4,9,6,2-3,7,10											
201247011207	ダ	右	1600	晴	良	14:15	サラ系B5組		2012-1-12	17	笠松	4			7.0	280.0	2.0	7.0	120	3.0	9.0	110	1.0	8.0	120	2.0	7-8	160.0	1.0	7-9	220.0	1.0	7=>8	410.0	2.0	7=>9	470.0	1.0	7-8-9	250.0	1.0	7=>9=>8	1220.0	3.0		49110587362	4,9,10,8,7,5,1,6,3-2	9,4,8,10,7,6,5,3,1=2											
201247011208	ダ	右	1400	晴	良	14:50	サラ系C3組		2012-1-12	17	笠松	4			7.0	1720.0	6.0	7.0	270	5.0	2.0	150	2.0	1.0	200	4.0	2-7	380.0	1.0	2-7	1570.0	6.0	7=>2	1090.0	2.0	7=>2	6470.0	27.0	1-2-7	2810.0	12.0	7=>2=>1	24470.0	83.0		16107289534.0	16107258934.0	10167258943.0											
201247011301	ダ	右	800	晴	良	10:50	サラ系3歳7組		2012-1-13	17	笠松	5			6.0	1840.0	5.0	6.0	680	5.0	9.0	410	4.0	10.0	200	3.0	6-8	2340.0	4.0	6-9	12430.0	18.0	6=>8	6970.0	18.0	6=>9	27700.0	33.0	6-9-10	7180.0	16.0	6=>9=>10	75390.0	116.0				61019274853.0											
201247011302	ダ	右	1400	晴	良	11:20	サラ系3歳6組		2012-1-13	17	笠松	5			9.0	1120.0	6.0	9.0	220	5.0	8.0	120	1.0	7.0	720	8.0	7-8	580.0	2.0	8-9	890.0	4.0	8=>7	1830.0	8.0	9=>8	3320.0	14.0	7-8-9	9440.0	24.0	9=>8=>7	53570.0	121.0		89472613510.0	89746215310.0	89746125103.0											
201247011303	ダ	右	1400	晴	良	11:50	サラ系C16組		2012-1-13	17	笠松	5			6.0	540.0	2.0	6.0	140	2.0	8.0	740	10.0	1.0	110	1.0	6-7	3120.0	7.0	6-8	7100.0	14.0	6=>7	3990.0	12.0	6=>8	23270.0	31.0	1-6-8	6560.0	17.0	6=>8=>1	120800.0	167.0		25816349107.0	21856349107.0	28615349107.0											
201247011304	ダ	右	1400	晴	良	12:20	サラ系C15組		2012-1-13	17	笠松	5			10.0	2520.0	5.0	10.0	310	5.0	6.0	150	2.0	3.0	210	3.0	6-8	1840.0	6.0	6-10	3020.0	8.0	8=>6	5770.0	19.0	10=>6	9020.0	19.0	3-6-10	3280.0	10.0	10=>6=>3	39110.0	77.0		42161038975.0	41681037295.0	41610837925.0											
201247011305	ダ	右	1400	晴	良	12:50	良夫と陽子のラブラブ		2012-1-13	17	笠松	5			1.0	200.0	2.0	1.0	110	2.0	6.0	110	1.0	2.0	160	4.0	1-6	200.0	1.0	1-6	180.0	1.0	1=>6	440.0	2.0	1=>6	440.0	2.0	1-2-6	380.0	2.0	1=>6=>2	1380.0	4.0		61710235894.0	61257103849.0	16253710849.0											
201247011306	ダ	右	1400	晴	良	13:20	サラ系C10組		2012-1-13	17	笠松	5			1.0	160.0	1.0	1.0	100	1.0	5.0	120	4.0	7.0	110	2.0	1-5	330.0	2.0	1-5	380.0	2.0	1=>5	510.0	3.0	1=>5	450.0	2.0	1-5-7	230.0	1.0	1=>5=>7	830.0	2.0		1572410893	1,5,7,10,4,2=8,3,9	1,5,7,10,4,2=8,3,9											
201247011307	ダ	右	1600	晴	良	13:50	サラ系C9組		2012-1-13	17	笠松	5			9.0	3080.0	5.0	9.0	240	5.0	10.0	100	1.0	2.0	160	3.0	8-8	540.0	3.0	9-10	700.0	3.0	8=>8	560.0	4.0	9=>10	3640.0	10.0	2-9-10	710.0	4.0	9=>10=>2	11880.0	30.0		10926817534.0	10921865734.0	10928761534.0											
201247011308	ダ	右	1400	晴	良	14:20	サラ系C13組特選		2012-1-13	17	笠松	5			7.0	410.0	2.0	7.0	140	2.0	6.0	120	1.0	9.0	150	4.0	6-7	330.0	2.0	6-7	340.0	1.0	7=>6	1290.0	4.0	7=>6	1010.0	3.0	6-7-9	480.0	1.0	7=>6=>9	2420.0	4.0		10196874352.0	10961487352.0	10968471352.0											
201247011309	ダ	右	1800	晴	良	14:50	若草特別 		2012-1-13	17	笠松	5			3.0	150.0	1.0	3.0	100	1.0	9.0	140	3.0	1.0	330	6.0	3-8	280.0	2.0	3-9	460.0	2.0	3=>8	360.0	1.0	3=>9	760.0	4.0	1-3-9	2160.0	6.0	3=>9=>1	4520.0	14.0		389124657.0	389164527.0	389165427.0											
201247011310	ダ	右	1400	晴	良	15:20	白銀争覇	G	2012-1-13	17	笠松	5	(別定)		7.0	450.0	2.0	7.0	140	3.0	4.0	120	1.0	5.0	380	5.0	4-7	200.0	1.0	4-7	210.0	1.0	7=>4	600.0	3.0	7=>4	790.0	3.0	4-5-7	1090.0	4.0	7=>4=>5	5220.0	16.0		46739521081.0	47593628110.0	47598361210.0											
201247011311	ダ	右	1600	晴	良	16:15	福寿草特別 		2012-1-13	17	笠松	5			6.0	250.0	1.0	6.0	130	1.0	8.0	170	3.0	2.0	250	5.0	6-7	400.0	2.0	6-8	700.0	2.0	6=>7	790.0	3.0	6=>8	1020.0	3.0	2-6-8	2880.0	9.0	6=>8=>2	8700.0	24.0		48639107215.0	48639107215.0	48639721051.0											
201247012301	ダ	右	1400	晴	稍重	11:00	サラ系C36組		2012-1-23	18	笠松	1			8.0	1180.0	4.0	8.0	210	4.0	1.0	250	5.0	10.0	150	3.0	1-7	5680.0	13.0	1-8	1910.0	5.0	7=>1	5540.0	12.0	8=>1	5640.0	17.0	1-8-10	5750.0	16.0	8=>1=>10	73860.0	115.0		24815910637.0	24815109637.0	28415109637.0											
201247012302	ダ	右	1400	晴	稍重	11:35	サラ系C35組		2012-1-23	18	笠松	1			3.0	210.0	1.0	3.0	100	1.0	2.0	720	9.0	5.0	420	7.0	2-3	2440.0	9.0	2-3	5400.0	11.0	3=>2	3410.0	14.0	3=>2	5210.0	15.0	2-3-5	15490.0	35.0	3=>2=>5	93900.0	176.0		51073942168.0	51037249168.0	35102794618.0											
201247012303	ダ	右	1400	晴	稍重	12:05	サラ系C34組		2012-1-23	18	笠松	1			2.0	140.0	1.0	2.0	100	1.0	6.0	110	2.0	1.0	230	6.0	2-6	180.0	1.0	2-6	200.0	1.0	2=>6	250.0	1.0	2=>6	320.0	1.0	1-2-6	400.0	1.0	2=>6=>1	940.0	2.0		26513981047.0	26513897410.0	26518379410.0											
201247012401	ダ	右	1400	晴	良	11:00	サラ系C27組牝馬		2012-1-24	18	笠松	2	牝		9.0	100.0	1.0	9.0	100	1.0	2.0	310	5.0	3.0	180	3.0	2-8	740.0	3.0	2-9	520.0	3.0	8=>2	440.0	3.0	9=>2	580.0	3.0	2-3-9	390.0	2.0	9=>2=>3	930.0	4.0		93287546.0	93287546.0	92387546.0											
201247012402	ダ	右	1400	晴	良	11:35	サラ系C26組		2012-1-24	18	笠松	2			8.0	710.0	3.0	8.0	100	3.0	1.0	100	1.0	6.0	100	2.0	1-8	270.0	2.0	1-8	370.0	2.0	8=>1	1460.0	5.0	8=>1	1320.0	4.0	1-6-8	200.0	1.0	8=>1=>6	1780.0	6.0		891234675.0	819246735.0	819264735.0											
201247012403	ダ	右	1400	晴	良	12:10	サラ系C25組		2012-1-24	18	笠松	2			3.0	220.0	2.0	3.0	100	2.0	7.0	100	1.0	5.0	150	4.0	3-7	240.0	1.0	3-7	290.0	1.0	3=>7	470.0	2.0	3=>7	570.0	2.0	3-5-7	640.0	3.0	3=>7=>5	2240.0	6.0		37918510642.0	37569181042.0	37591648102.0											
201247012404	ダ	右	1400	晴	良	12:45	サラ系C24組		2012-1-24	18	笠松	2			5.0	450.0	4.0	5.0	180	5.0	2.0	110	2.0	10.0	110	1.0	2-5	740.0	5.0	2-5	540.0	3.0	5=>2	1540.0	9.0	5=>2	1600.0	9.0	2-5-10	390.0	1.0	5=>2=>10	3520.0	13.0		52143109678.0	52136410978.0	52136109478.0											
201247012405	ダ	右	1400	晴	良	13:20	サラ系C23組		2012-1-24	18	笠松	2			3.0	240.0	2.0	3.0	100	1.0	2.0	100	2.0	7.0	180	5.0	2-3	230.0	1.0	2-3	210.0	1.0	3=>2	600.0	2.0	3=>2	630.0	2.0	2-3-7	230.0	1.0	3=>2=>7	1330.0	2.0		35728104619.0	35728104691.0	32578104961.0											
201247012406	ダ	右	1400	晴	良	13:55	サラ系C22組		2012-1-24	18	笠松	2			4.0	150.0	1.0	4.0	100	1.0	7.0	100	2.0	10.0	140	4.0	4-7	170.0	1.0	4-7	160.0	1.0	4=>7	310.0	1.0	4=>7	240.0	1.0	4-7-10	490.0	2.0	4=>7=>10	800.0	2.0		57102416938	57104261389	4,7,5,10,6,2,8,3,1-9											
201247012501	ダ	右	1400	曇	良	11:00	サラ系3歳3組		2012-1-25	18	笠松	3			9.0	720.0	3.0	9.0	220	4.0	8.0	100	1.0	4.0	110	2.0	7-8	550.0	2.0	8-9	840.0	3.0	8=>7	910.0	5.0	9=>8	1280.0	7.0	4-8-9	220.0	1.0	9=>8=>4	1430.0	5.0		10295847316.0	10925843761.0	91048526317.0											
201247012502	ダ	右	1400	曇	良	11:35	サラ系C12・15組		2012-1-25	18	笠松	3			9.0	210.0	2.0	9.0	100	1.0	6.0	140	3.0	10.0	240	6.0	6-8	170.0	1.0	6-9	130.0	1.0	8=>6	190.0	1.0	9=>6	320.0	1.0	6-9-10	790.0	3.0	9=>6=>10	1950.0	7.0		79101642538.0	79461015238.0	96471025183.0											
201247012503	ダ	右	1400	曇	良	12:10	サラ系C11組		2012-1-25	18	笠松	3			3.0	110.0	1.0	3.0	100	1.0	9.0	120	3.0	2.0	110	2.0	3-8	340.0	2.0	3-9	410.0	2.0	3=>8	270.0	1.0	3=>9	310.0	2.0	2-3-9	400.0	1.0	3=>9=>2	1190.0	3.0		28361791045	2,3,8,1,6,7,9,10-5,4	3,2,8,1,6,10,7,9=5,4											
201247012504	ダ	右	1400	曇	良	12:45	サラ系3歳2組特選		2012-1-25	18	笠松	3			8.0	660.0	3.0	8.0	180	5.0	5.0	120	2.0	7.0	110	1.0	5-7	290.0	1.0	5-8	1200.0	5.0	7=>5	430.0	1.0	8=>5	3080.0	11.0	5-7-8	310.0	1.0	8=>5=>7	5720.0	19.0		58294671310.0	58971021643.0	58971012634.0											
201247012505	ダ	右	1600	曇	良	13:20	サラ系C10組		2012-1-25	18	笠松	3			2.0	920.0	3.0	2.0	130	3.0	3.0	100	1.0	7.0	110	2.0	2-3	470.0	2.0	2-3	430.0	2.0	2=>3	1330.0	5.0	2=>3	1400.0	5.0	2-3-7	200.0	1.0	2=>3=>7	2000.0	7.0		3295741086.0	3295741086.0	3297541086.0											
201247012506	ダ	右	1400	曇	良	13:55	サラ系3歳1組特別 		2012-1-25	18	笠松	3			3.0	1250.0	5.0	3.0	220	5.0	8.0	110	2.0	5.0	100	1.0	3-7	2100.0	8.0	3-8	1760.0	7.0	3=>7	8210.0	22.0	3=>8	7090.0	21.0	3-5-8	1720.0	5.0	3=>8=>5	18780.0	55.0		34518210976.0	34581210976.0	35841102796.0											
201247012507	ダ	右	1600	曇	良	14:30	サラ系C14組特選		2012-1-25	18	笠松	3			1.0	130.0	1.0	1.0	110	2.0	5.0	100	1.0	3.0	320	7.0	1-5	670.0	3.0	1-5	620.0	2.0	1=>5	1180.0	4.0	1=>5	1140.0	3.0	1-3-5	9520.0	24.0	1=>5=>3	29400.0	78.0		35168429107	3,5,1,6,7,8,2,9,10-4	3,5,1,7,8,6,2,9,10=4											
201247012601	ダ	右	1400	晴	良	11:00	サラ系3歳5組		2012-1-26	18	笠松	4			7.0	720.0	3.0	7.0	250	3.0	9.0	1,710	10.0	1.0	400	5.0	7-8	820.0	3.0	7-9	21140.0	28.0	7=>8	870.0	3.0	7=>9	26200.0	51.0	1-7-9	134890.0	96.0	7=>9=>1	633820.0	473.0		89105673241.0	89571063142.0	79853611042.0											
201247012602	ダ	右	1400	晴	良	11:35	サラ系3歳4組		2012-1-26	18	笠松	4			3.0	230.0	1.0	3.0	160	4.0	10.0	110	1.0	1.0	210	5.0	3-8	260.0	1.0	3-10	360.0	1.0	3=>8	520.0	1.0	3=>10	660.0	1.0	1-3-10	410.0	1.0	3=>10=>1	1910.0	2.0		10357928614.0	10351946782.0	10315694728.0											
201247012603	ダ	右	1400	曇	良	12:05	サラ系C18組		2012-1-26	18	笠松	4			5.0	150.0	1.0	5.0	100	1.0	2.0	140	3.0	9.0	190	4.0	2-5	940.0	4.0	2-5	720.0	3.0	5=>2	1220.0	5.0	5=>2	1170.0	5.0	2-5-9	730.0	4.0	5=>2=>9	3250.0	11.0		69210578413.0	65921078143.0	65927108143.0											
201247012604	ダ	右	1400	曇	良	12:35	サラ系C17組		2012-1-26	18	笠松	4			1.0	510.0	2.0	1.0	200	4.0	9.0	100	1.0	4.0	160	3.0	1-8	970.0	4.0	1-9	880.0	3.0	1=>8	4070.0	12.0	1=>9	4580.0	12.0	1-4-9	960.0	3.0	1=>9=>4	18330.0	35.0		1869410375.0	1869410735.0	1968471035.0											
201247012605	ダ	右	1400	曇	良	13:05	BOSSお誕生日記念		2012-1-26	18	笠松	4	牝		8.0	520.0	3.0	8.0	190	4.0	7.0	120	1.0	6.0	720	8.0	7-7	320.0	2.0	7-8	400.0	2.0	7=>7	370.0	1.0	8=>7	1260.0	5.0	6-7-8	11430.0	21.0	8=>7=>6	42360.0	89.0		38567419102.0	38756419102.0	38567419210.0											
201247012606	ダ	右	1400	曇	良	13:40	サラ系C5組		2012-1-26	18	笠松	4			7.0	110.0	1.0	7.0	100	1.0	1.0	330	6.0	9.0	180	4.0	1-7	830.0	4.0	1-7	1170.0	4.0	7=>1	1450.0	6.0	7=>1	1270.0	4.0	1-7-9	1620.0	7.0	7=>1=>9	4860.0	17.0		59711036428.0	95711036428.0	79511036428.0											
201247012607	ダ	右	1600	曇	良	14:15	サラ系C4組		2012-1-26	18	笠松	4			1.0	180.0	1.0	1.0	100	1.0	2.0	150	2.0	6.0	210	6.0	1-2	640.0	3.0	1-2	560.0	2.0	1=>2	650.0	2.0	1=>2	770.0	1.0	1-2-6	850.0	2.0	1=>2=>6	1330.0	1.0		14786291035.0	14876291035.0	14876210953.0											
201247012701	ダ	右	800	晴	良	11:00	サラ系3歳7組		2012-1-27	18	笠松	5			5.0	310.0	2.0	5.0	100	1.0	9.0	650	9.0	3.0	110	2.0	5-8	2710.0	5.0	5-9	7440.0	16.0	5=>8	3050.0	7.0	5=>9	15420.0	21.0	3-5-9	4660.0	9.0	5=>9=>3	48460.0	72.0				53971086241.0											
201247012702	ダ	右	1400	晴	良	11:35	サラ系3歳6組		2012-1-27	18	笠松	5			4.0	640.0	2.0	4.0	120	2.0	6.0	110	1.0	3.0	140	4.0	4-6	590.0	2.0	4-6	520.0	2.0	4=>6	1550.0	8.0	4=>6	1480.0	5.0	3-4-6	760.0	2.0	4=>6=>3	5700.0	14.0		61037189452.0	61037184925.0	64310897125.0											
201247012703	ダ	右	1400	晴	良	12:05	サラ系C20組		2012-1-27	18	笠松	5			10.0	180.0	1.0	10.0	100	1.0	6.0	190	4.0	4.0	100	2.0	6-8	1550.0	4.0	6-10	1750.0	4.0	8=>6	1800.0	4.0	10=>6	2480.0	4.0	4-6-10	370.0	2.0	10=>6=>4	3280.0	9.0		10641857293.0	10641857293.0	10641875293.0											
201247012704	ダ	右	1400	晴	良	12:35	サラ系C19組		2012-1-27	18	笠松	5			4.0	310.0	3.0	4.0	110	2.0	8.0	100	1.0	7.0	120	3.0	4-7	270.0	1.0	4-8	230.0	1.0	4=>7	1040.0	3.0	4=>8	850.0	3.0	4-7-8	220.0	1.0	4=>8=>7	1760.0	3.0		7108146325.0	1078461325.0	7841061325.0											
201247012705	ダ	右	1400	晴	良	13:10	サラ系C9組		2012-1-27	18	笠松	5			2.0	110.0	1.0	2.0	100	1.0	10.0	110	2.0	8.0	250	5.0	2-8	120.0	1.0	2-10	160.0	1.0	2=>8	170.0	1.0	2=>10	200.0	1.0	2-8-10	900.0	3.0	2=>10=>8	1440.0	5.0		11092867543.0	11092856473.0	11029865473.0											
