	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201253010301	ダ	右	1250	曇	良	10:40	「おはようモーニング		2012-1-3	18	福山	2	(馬齢)		4	640	2	4.0	110	2.0	6.0	100	1.0	7.0	130.0	3.0	4-6	260	1	4=>6	690	3	4-6-7	170	1	4=>6=>7	1060	3	4,6,7,2,10,(3,9),(1,5),8	46273101958	4,6,7,2,3,1,5,(9,10),8	4,(6,7),2,3,1,5,9,10,8														
201253010302	ダ	右	1250	曇	良	11:10	C1二		2012-1-3	18	福山	2	(馬齢)		5	100	1	5.0	100	1.0	3.0	130	2.0	9.0	160.0	4.0	3-5	240	1	5=>3	350	1	3-5-9	610	3	5=>3=>9	1190	2	36410578912	3,6,4,10,7,5,8,9-(1,2)	3,6,5,7,10,(4,8),9-(1,2)	53710689421														
201253010303	ダ	右	1250	曇	良	11:40	4歳6　条件		2012-1-3	18	福山	2	(馬齢)		1	270	2	1.0	110	3.0	7.0	150	4.0	2.0	110.0	1.0	1-7	440	2	1=>7	640	2	1-2-7	320	2	1=>7=>2	1260	3	1,3,7,2,5,(4,6,8)	1,7,3,2,5,8-6	1,7,2-(3,8),5=6	1,7,2,8-5,3-6														
201253010901	ダ	右	1250	晴	良	11:10	「おはようモーニング		2012-1-9	18	福山	4	(馬齢)		4	100	1	4.0	100	1.0	5.0	630	6.0				4-5	610	3	4=>5	680	3	3-4-5	2170	8	4=>5=>3	4260	17	4756312	4,7,5,6,3-1,2	4,7,5,6,3-1,2	4-7,5,3,6,2,1														
201253010902	ダ	右	1250	晴	良	11:40	C1五		2012-1-9	18	福山	4	(馬齢)		4	2010	2	4.0	170	2.0	1.0	100	1.0				1-4	220	1	4=>1	930	4	1-4-5	340	2	4=>1=>5	1950	9	45316	45316	(4,5),1,3,6	45136														
201253010903	ダ	右	1250	晴	良	12:10	C1四		2012-1-9	18	福山	4	(馬齢)		3	100	1	3.0	120	2.0	7.0	100	1.0				3-7	390	2	3=>7	610	2	2-3-7	260	1	3=>7=>2	1150	2	6134725	6134725	6317452	3764521														
201253010904	ダ	右	1250	晴	良	12:40	C1三		2012-1-9	18	福山	4	(馬齢)		5	2030	6	5.0	660	7.0	7.0	120	1.0				5-7	1620	7	5=>7	5250	15	4-5-7	1130	4	5=>7=>4	11000	32	5,7,(1,4,6),(2,3)	5714623	5741263	5741236														
201253010905	ダ	右	1250	晴	良	13:10	C1二		2012-1-9	18	福山	4	(馬齢)		7	180	1	7.0	100	1.0	6.0	180	2.0				6-7	340	1	7=>6	440	1	1-6-7	1640	6	7=>6=>1	3980	15	(3,7),1,5,4,6,2	3,7,1,5,4,(2,6)	(3,7),1,5,(2,4,6)	7,3,1,(2,5,6),4														
201253010906	ダ	右	1250	晴	良	13:45	4歳6　条件		2012-1-9	18	福山	4	(馬齢)		3	230	2	3.0	130	1.0	1.0	270	3.0				1-3	840	4	3=>1	1330	6	1-3-5	2870	9	3=>1=>5	8710	28	2361574	2,3,1,(5,6),7,4	3125764	3,1,5,(7,4)-2,6														
201253010907	ダ	右	1250	晴	良	14:20	4歳5　条件		2012-1-9	18	福山	4	(馬齢)		6	120	1	6.0	100	1.0	2.0	240	5.0	3.0	220.0	4.0	2-6	660	3	6=>2	760	3	2-3-6	1850	10	6=>2=>3	4550	16	6,2,(3,7,8),5,4,1	6,2,8,(3,7),(5,4),1	6,2,(3,8),(7,4),5,1	6,2,3,(8,4),7,1,5														
201253010908	ダ	右	1250	晴	良	14:55	成人の日特別 		2012-1-9	18	福山	4	(馬齢)		3	180	1	3.0	150	2.0	4.0	180	3.0				3-4	390	2	3=>4	630	3	3-4-6	290	1	3=>4=>6	980	3	3462571	3,4,6,2,(1,5,7)	3462715	3,4-6,(2,7),1,5														
201253010909	ダ	右	1600	晴	良	15:30	B3二		2012-1-9	18	福山	4	(馬齢)		4	520	2	4.0	150	3.0	3.0	210	4.0	9.0	140.0	2.0	3-4	810	3	4=>3	1550	3	3-4-9	1140	3	4=>3=>9	3930	1	129463857	129643857	1,9,(2,4,6),3,5,8,7	(1,9),4,3,5,6,8,7,2														
201253011501	ダ	右	1250	曇	良	11:10	「おはようモーニング		2012-1-15	18	福山	6	(馬齢)		4	360	2	4.0	100	1.0	3.0	140	3.0	1.0	100.0	2.0	3-4	650	2	4=>3	760	3	1-3-4	400	2	4=>3=>1	1450	4	645893721	645839721	645387912	4,6,5,3,(7,1),(8,9),2														
201253011502	ダ	右	1250	曇	良	11:40	4歳6　条件		2012-1-15	18	福山	6	(馬齢)		3	220	1	3.0	140	1.0	1.0	250	5.0	5.0	320.0	7.0	1-3	2140	9	3=>1	4210	14	1-3-5	6510	22	3=>1=>5	20210	64	8,1,7,(3,4),9,5,2,10,6	81739452106	8,1,3,7,4,9,5,(2,6),10	(8,1),3,7,(9,5),4,2,6,10														
201253011503	ダ	右	1250	曇	良	12:10	4歳5　条件		2012-1-15	18	福山	6	(馬齢)		6	600	3	6.0	180	4.0	4.0	150	2.0	1.0	260.0	5.0	4-6	960	4	6=>4	2190	10	1-4-6	3520	11	6=>4=>1	14630	46	4,9,6,8,(1,5),10,(2,7),3	4,9,6,8,(1,5),10,2,7,3	4,9,6,1,8,7,2,(5,10),3	4,(6,9),1,2,7,8,5,10,3														
201253011504	ダ	右	1250	曇	良	12:40	C1四		2012-1-15	18	福山	6	(馬齢)		3	120	1	3.0	110	1.0	4.0	180	3.0	9.0	230.0	5.0	3-4	610	4	3=>4	730	3	3-4-9	1160	4	3=>4=>9	2310	7	310249678	3,10,(2,4),9,6,7,8	3,(10,4),2,9,7,6,8	341092768														
201253011505	ダ	右	1250	曇	良	13:10	C1三		2012-1-15	18	福山	6	(馬齢)		10	220	2	10.0	160	4.0	5.0	180	5.0	2.0	140.0	1.0	5-10	1010	3	10=>5	1270	6	2-5-10	340	1	10=>5=>2	2560	6	10,8,(3,5),7,1,6,9,2,4	10853791624	10,5,8,2,7,(6,9,4),1-3	10,(5,2),(8,7,4),6,9,1=3														
201253011506	ダ	右	1250	曇	良	13:40	C1二		2012-1-15	18	福山	6	(馬齢)		4	440	3	4.0	120	3.0	3.0	110	2.0	6.0	100.0	1.0	3-4	540	2	4=>3	1460	6	3-4-6	420	1	4=>3=>6	2990	9	134695872	1,3,4,9,6,5,(7,8)-2	1,3,4,6,9,5,8,7=2	(1,3),4,6,9,8,5,7=2														
201253011507	ダ	右	1250	曇	良	14:10	C1一		2012-1-15	18	福山	6	(馬齢)		7	120	1	7.0	100	1.0	10.0	340	5.0	1.0	400.0	8.0	7-10	1480	7	7=>10	1500	6	1-7-10	9150	23	7=>10=>1	19670	54	17106238495	1,7,10,(2,6),3,8,4,9,5	(1,7),10,2,6,3,8,4,5,9	71102683549														
201253011508	ダ	右	1250	曇	良	14:40	B3二		2012-1-15	18	福山	6	(馬齢)		1	1880	6	1.0	430	6.0	2.0	200	4.0	5.0	320.0	5.0	1-2	4090	11	1=>2	10990	32	1-2-5	7730	24	1=>2=>5	74560	145	134827596	134825796	1,(3,4),8,2,5,7,(9,6)	1,4,8,3,2,5,(7,9),6														
201253011509	ダ	右	1250	曇	良	15:15	B3一		2012-1-15	18	福山	6	(馬齢)		1	210	1	1.0	110	1.0	10.0	130	2.0	6.0	360.0	6.0	1-10	250	1	1=>10	450	1	1-6-10	1950	6	1=>10=>6	4070	14	6,(1,10),9,(5,7),8,(3,4),2	6,10,1,9,7,8,5,2,(3,4)	6,10,1,5,2,(9,8),3,(7,4)	61102534987														
201253011510	ダ	右	1600	曇	良	15:50	福寿草特別 		2012-1-15	18	福山	6	(馬齢)		7	450	3	7.0	180	3.0	4.0	290	6.0	2.0	160.0	2.0	4-7	4540	12	7=>4	7120	23	2-4-7	3390	12	7=>4=>2	32720	90	6,1,3,2,5,9,(4,7),8	6,1,(2,3),5,9,7,4,8	6,3,(1,2),(5,7),4,9,8	6,7,(1,2),4,5,8,3,9														
201253011511	ダ	右	1600	曇	良	16:25	水仙特別 		2012-1-15	18	福山	6	(馬齢)		2	160	1	2.0	100	1.0	9.0	210	5.0	8.0	120.0	2.0	2-9	990	4	2=>9	1000	4	2-8-9	610	2	2=>9=>8	1920	6	4,5,9,3,(6,8),2,1,7	453968217	(5,9,8),(4,3),2,(7,6),1	(5,9),8,2,3,1,6,(4,7)														
201253013001	ダ	右	1250	晴	良	11:05	「おはようモーニング		2012-1-30	19	福山	2	(馬齢)		5	1740	5	5.0	180	3.0	10.0	100	1.0	8.0	230.0	5.0	5-10	520	2	5=>10	1720	6	5-8-10	2100	7	5=>10=>8	13740	37	58110423769	5,8,1,10,2,(4,7),3,6,9	5,10,8,1,4,2,3,(7,9),6	(5,10),8,4,2,1,9,3,6,7														
201253013002	ダ	右	1250	晴	良	11:35	C1三		2012-1-30	19	福山	2	(馬齢)		5	220	1	5.0	100	1.0	2.0	130	3.0	9.0	1,710	8.0	2-5	310	1	5=>2	390	1	2-5-9	3550	11	5=>2=>9	5750	19	5,7,8,2,4,(1,3),9,6	572841396	572841396	5,2,8,(3,9),7,1,4,6														
201253013003	ダ	右	1250	晴	良	12:05	C1一		2012-1-30	19	福山	2	(馬齢)		7	25210	10	7.0	1,850	9.0	9.0	160	2.0	10.0	210	3.0	7-9	10840	28	7=>9	26830	56	7-9-10	21890	54	7=>9=>10	279390	354	78610139524	78106391524	7,10,8,(1,3),9,5,6,2,4	71089315246														
201253013004	ダ	右	1250	晴	良	12:35	3歳4　条件		2012-1-30	19	福山	2	(馬齢)		8	240	2	8.0	120	1.0	2.0	890	8.0	7.0	520	6.0	2-8	5020	14	8=>2	5830	18	2-7-8	31990	47	8=>2=>7	74150	150	8,9,2,7,6,(1,3,5),4	892761534	8,9,7,2,6,(3,1,4),5	8-9,2,7,6,(3,1,4),5														
201253013005	ダ	右	1250	晴	良	13:05	3歳3　条件		2012-1-30	19	福山	2	(馬齢)		2	5330	9	2.0	640	9.0	6.0	150	2.0	7.0	120	1.0	2-6	4260	19	2=>6	16590	51	2-6-7	4280	16	2=>6=>7	38270	132	2,6,1,4,8,(7,9),10,3,5	(2,6),4,8,1,7,9,10,3,5	26418937105	2,6-1,4,9,8,7,3,10,5														
201253013006	ダ	右	1250	晴	良	13:35	3歳2　条件		2012-1-30	19	福山	2	(馬齢)		2	190	1	2.0	110	1.0	1.0	140	3.0	7.0	150	4.0	1-2	850	3	2=>1	1410	5	1-2-7	1110	3	2=>1=>7	3650	8	123784695	127348659	1,2,7,4,(8,3),9,5,6	217489536														
201253013007	ダ	右	1250	晴	良	14:05	3歳1　条件		2012-1-30	19	福山	2	(馬齢)		5	270	2	5.0	100	2.0	2.0	100	1.0	6.0	270	7.0	2-5	170	1	5=>2	520	2	2-5-6	320	1	5=>2=>6	1520	5	5,7,9,8,2,4,3,(1,6)	5,9-7,8,2,3,4,1,6	5,9-4,6,8,2,7,1,3	5,6,(9,4),8,2,1-3,7														
201253013008	ダ	右	1250	晴	良	14:35	C3六		2012-1-30	19	福山	2	(馬齢)		8	910	5	8.0	320	4.0	4.0	110	1.0	2.0	380	6.0	4-8	1750	8	8=>4	4030	14	2-4-8	3880	11	8=>4=>2	27530	77	2,5,7,6,9,1,(3,8),4,10	2,(5,7)-6,9,1,8,3,4,10	2,5,7-(6,9,8),1,3,4-10	2,5,(7,8),9,6,(1,4),3-10														
201253013009	ダ	右	1250	晴	良	15:05	C3五		2012-1-30	19	福山	2	(馬齢)		10	450	3	10.0	220	4.0	3.0	140	2.0	1.0	680	8.0	3-10	740	2	10=>3	1300	1	1-3-10	15690	31	10=>3=>1	39980	127	(3,10),1,8,7,4,6,9,5	3101876495	(3,10),1,8,4,(7,6),9,5	(3,10),1,8,6,9,7,4,5														
201253013010	ダ	右	1250	晴	良	15:40	B3二		2012-1-30	19	福山	2	(馬齢)		2	630	3	2.0	210	5.0	5.0	140	3.0	3.0	110	1.0	2-5	800	3	2=>5	2190	9	2-3-5	400	1	2=>5=>3	5110	17	23815647	23815647	23815647	2,3,(8,5),1,6,4,7														
201253013011	ダ	右	1600	晴	良	16:15	マイル争覇	G	2012-1-30	19	福山	2	(別定)		6	310	2	6.0	100	1.0	5.0	130	2.0	1.0	150	4.0	5-6	250	1	6=>5	530	2	1-5-6	570	2	6=>5=>1	1780	4	10276958341	10726598314	65107218394	6,5-1,10,2,(8,4),7,9,3														
201253013012	ダ	右	1250	晴	良	16:55	B3一		2012-1-30	19	福山	2	(馬齢)		2	140	1	2.0	100	1.0	5.0	140	3.0	7.0	110	2.0	2-5	270	1	2=>5	400	1	2-5-7	460	2	2=>5=>7	1150	1	258741396	254871369	254871396	254719836														
201253020601	ダ	右	1250	曇	良	11:20	「おはようモーニング		2012-2-6	19	福山	4	(馬齢)		5	2750	4	5.0	230	6.0	1.0	140	3.0	3.0	100	1.0	1-5	10680	15	5=>1	49240	34	1-3-5	2690	9	5=>1=>3	54540	73	4,6,7,(2,5),3,8,1	4,6,2,(5,7),3,1,8	4,(6,5),2,3,1,7,8	5,4,2,3,6,1,8-7														
201253020602	ダ	右	1250	曇	良	11:50	C3六		2012-2-6	19	福山	4	(馬齢)		6	190	1	6.0	100	2.0	1.0	100	3.0	4.0	100	1.0	1-6	510	2	6=>1	790	3	1-4-6	380	1	6=>1=>4	1440	3	671243589	(6,7),4,1,2,3,(8,5),9	6,(7,4),1,2,3,8,5-9	6,1,4,7,2,3,8,5-9														
201253020603	ダ	右	1250	曇	良	12:20	C1三		2012-2-6	19	福山	4	(馬齢)		7	2650	5	7.0	400	6.0	8.0	100	1.0	2.0	220	4.0	7-8	3990	8	7=>8	8910	18	2-7-8	7580	14	7=>8=>2	118970	108	582964371	582964371	5,8,2,9,7,(6,4),3-1	(5,8),2,7,9,4,6,3,1														
201253020604	ダ	右	1250	曇	良	12:50	C1二		2012-2-6	19	福山	4	(馬齢)		6	1340	4	6.0	120	3.0	9.0	100	1.0	4.0	120	2.0	6-9	830	4	6=>9	2560	10	4-6-9	460	1	6=>9=>4	4100	14	5,9,2,(3,4),(6,8),1,10,7	59423618107	(5,9),4,(2,3,6),8,1,10,7	95462381017														
201253020605	ダ	右	1250	曇	良	13:25	C1一		2012-2-6	19	福山	4	(馬齢)		8	220	1	8.0	100	1.0	4.0	180	3.0	2.0	180	4.0	4-8	1820	8	8=>4	1930	8	2-4-8	1520	5	8=>4=>2	5790	17	89475110236	8,9,4,(1,7),5,10,(2,3)-6	8,9,1,4,5,3,2,(7,10),6	8,(4,9),(5,1),2,3,6,10,7														
201253020606	ダ	右	1250	曇	良	14:00	3歳5　条件		2012-2-6	19	福山	4	(馬齢)		3	150	1	3.0	110	1.0	6.0	300	6.0	7.0	570	8.0	3-6	590	3	3=>6	780	3	3-6-7	2830	12	3=>6=>7	6760	22	(3,6),8,7,(4,9),2,5,1	368794251	367894251	376984215														
201253020607	ダ	右	1250	曇	良	14:35	3歳4　条件		2012-2-6	19	福山	4	(馬齢)		4	1170	6	4.0	960	7.0	2.0	1,570	8.0	3.0	210	4.0	2-4	8300	23	4=>2	14480	41	2-3-4	6710	24	4=>2=>3	61900	189	4,8,2,9,3,6,(1,5),7	482936157	482361957	4,2,8,3,6,1,5,7-9														
201253020608	ダ	右	1250	曇	良	15:10	3歳3　条件		2012-2-6	19	福山	4	(馬齢)		3	640	3	3.0	220	4.0	4.0	170	2.0	1.0	170	3.0	3-4	1190	5	3=>4	2740	11	1-3-4	790	3	3=>4=>1	6200	21	45863107129	4,(5,8),3,6,1,10,7,9,2	4,(3,8),6,1,5,10,(9,2),7	4,(3,8),1-6,10,5,7,9,2														
201253020609	ダ	右	1600	曇	良	15:45	B3二		2012-2-6	19	福山	4	(馬齢)		3	300	2	3.0	140	3.0	2.0	270	5.0	5.0	100	1.0	2-3	1570	6	3=>2	2560	9	2-3-5	490	3	3=>2=>5	4210	12	34852617	34285167	34251867	32456178														
201253020610	ダ	右	1600	曇	良	16:20	オッズパーク杯きさら 		2012-2-6	19	福山	4	(馬齢)		1	1600	4	1.0	290	5.0	2.0	100	1.0	3.0	460	7.0	1-2	990	3	1=>2	3140	12	1-2-3	2210	6	1=>2=>3	13110	39	324178569	3,2,1,4,7,8,5,6-9	3,2,1,4,7,6,5,8-9	3,1,2,5,4,6,7-8-9														
201253020611	ダ	右	1600	曇	良	17:00	B3一		2012-2-6	19	福山	4	(馬齢)		1	610	5	1.0	170	3.0	5.0	100	1.0	4.0	240	6.0	1-5	2770	10	1=>5	8720	29	1-4-5	13220	35	1=>5=>4	77210	175	4,8,9,(1,5),3,2,6,7	4,(8,9),1,5,2,3,7,6	4,9,5,1,(8,2,3),7,6	459123876														
201253021301	ダ	右	1250	雨	稍重	11:20	「おはようモーニング		2012-2-13	20	福山	2	(馬齢)		5	120	1	5.0	130	1.0	3.0	270	5.0	10.0	230	4.0	3-5	710	3	5=>3	870	4	3-5-10	3800	10	5=>3=>10	8080	24	5,8,7,10,(3,6),9,1,2,4	5,8,7,3,(6,10),9,1,2,4	5,8,(3,7),(10,9),6,1,2,4	5,8,3,7,10,9,(6,2),1,4														
201253021302	ダ	右	1250	雨	稍重	11:50	3歳3　条件		2012-2-13	20	福山	2	(馬齢)		7	300	2	7.0	140	2.0	3.0	200	5.0	8.0	170	4.0	3-7	740	3	7=>3	950	4	3-7-8	660	2	7=>3=>8	2700	6	371956284	371956824	371698524	376189524														
201253021303	ダ	右	1250	雨	重	12:20	3歳2　条件		2012-2-13	20	福山	2	(馬齢)		3	240	2	3.0	110	1.0	1.0	160	4.0	4.0	140	3.0	1-3	480	2	3=>1	740	2	1-3-4	480	1	3=>1=>4	2140	3	3,8,1,4,5,(6,7),9	38145679	3,8,4,1,5,6,7-9	3,(1,4),8,6,5,7-9														
201253021304	ダ	右	1250	雨	重	12:50	3歳1　条件		2012-2-13	20	福山	2	(馬齢)		3	280	2	3.0	150	4.0	2.0	110	1.0	8.0	120	2.0	2-3	1950	7	3=>2	3900	13	2-3-8	680	3	3=>2=>8	8050	27	839671524	8,3,6,9,7,1,5,2-4	8,3,(6,7),9,1,5,2-4	3,8-(6,7),2,9,1,5=4														
201253021305	ダ	右	1250	雨	重	13:25	C3五		2012-2-13	20	福山	2	(馬齢)		9	120	1	9.0	100	1.0	1.0	120	2.0	2.0	130	4.0	1-9	260	1	9=>1	460	2	1-2-9	400	2	9=>1=>2	1380	2	2,7,9,4,8,1,6,(3,5)	274981635	2,9,(1,7),4,8,6,3,5	2,9,1-8,4,3,5,6,7														
201253021306	ダ	右	1250	雨	重	14:00	C3四		2012-2-13	20	福山	2	(馬齢)		4	1030	3	4.0	120	3.0	6.0	100	1.0	1.0	100	2.0	4-6	900	4	4=>6	1210	6	1-4-6	410	1	4=>6=>1	3950	14	6,4,8,1,7,(2,9),3,5	641829735	6,4,1,8,(2,9,7),3,5	(6,4),1-8,9,2,7,3,5														
201253021307	ダ	右	1250	雨	重	14:35	C3三		2012-2-13	20	福山	2	(馬齢)		5	660	4	5.0	100	1.0	6.0	110	2.0	1.0	180	4.0	5-6	380	1	5=>6	740	3	1-5-6	590	3	5=>6=>1	1660	4	5,2,3,10,6,9,4,1,(7,8)	5,2,(10,3),6,9,4,1,7,8	5,2,6,10,3,9,1,4,(7,8)	56102193748														
201253021308	ダ	右	1250	雨	重	15:10	C1三		2012-2-13	20	福山	2	(馬齢)		6	290	2	6.0	200	3.0	1.0	750	8.0	7.0	240	4.0	1-6	2900	11	6=>1	3480	11	1-6-7	8730	22	6=>1=>7	38450	97	6,4,1,8,3,2,(9,10),5,7	64183291057	6,(1,4),(3,8),2,9,(5,10,7)	61432789510														
201253021309	ダ	右	1250	雨	重	15:45	C1二		2012-2-13	20	福山	2	(馬齢)		8	140	1	8.0	160	4.0	5.0	110	1.0	9.0	120	2.0	5-8	290	1	8=>5	430	1	5-8-9	380	1	8=>5=>9	1210	1	8,9,1,5,2,(7,10),(3,4,6)	89152107436	8,9,5,(2,1),(7,10),4,3,6	89257101364														
201253021310	ダ	右	1600	雨	重	16:20	報知新聞社杯菜の花賞 		2012-2-13	20	福山	2	(別定)		8	190	1	8.0	200	4.0	10.0	110	1.0	1.0	240	6.0	8-10	220	1	8=>10	530	2	1-8-10	800	3	8=>10=>1	3070	9	5,6,10,(4,1),8,9,7,3=2	5,6,10,4,(1,8),9,7,3=2	(5,10,8),6,1,4,9,7,3=2	8,10,5,1,(6,7,9),4,3=2														
201253021311	ダ	右	1250	雨	重	17:00	B3		2012-2-13	20	福山	2	(馬齢)		3	450	2	3.0	180	3.0	2.0	230	6.0	7.0	220	4.0	2-3	1400	5	3=>2	2550	9	2-3-7	7940	15	3=>2=>7	29050	64	11056423879	11056423789	11053462789	3572410689														
201253022001	ダ	右	1250	晴	稍重	11:20	「おはようモーニング		2012-2-20	20	福山	4	(馬齢)		9	200	2	9.0	100	1.0	3.0	700	10.0	8.0	220	4.0	3-9	4150	11	9=>3	4740	12	3-8-9	9080	17	9=>3=>8	34960	66	3,7,1,9,2,(6,10),5,8,4	37192106854	3,7,1,9,2,10,8,5,(6,4)	3,1,7,9,2,(10,8),5,4,6														
201253022002	ダ	右	1250	晴	稍重	11:50	C1三		2012-2-20	20	福山	4	(馬齢)		5	810	3	5.0	210	3.0	1.0	440	7.0	6.0	270	4.0	1-5	1880	9	5=>1	7000	18	1-5-6	4570	11	5=>1=>6	19440	52	(2,10),7,3,4,6,1,8,5-9	(2,10),7,3,4,6,1,8,5-9	(2,10)-7,6,4,1,3,5,8-9	10,2,6,1,7,4,5,8-3,9														
201253022003	ダ	右	1250	晴	稍重	12:20	C1二		2012-2-20	20	福山	4	(馬齢)		2	190	1	2.0	100	1.0	1.0	110	2.0	3.0	130	3.0	1-2	390	1	2=>1	570	1	1-2-3	480	1	2=>1=>3	1380	2	25149710683	25147961083	25146973810	2,(1,5),6,9,3,7,8,4,10														
201253022004	ダ	右	1250	晴	稍重	12:50	3歳4　条件		2012-2-20	20	福山	4	(馬齢)		3	590	3	3.0	120	2.0	6.0	100	1.0				3-6	430	3	3=>6	2200	7	1-3-6	690	3	3=>6=>1	6590	23	3615724	3,6,1,(2,5),7,4	3,6,(1,2),4,5,7	3612475														
201253022005	ダ	右	1250	晴	稍重	13:25	3歳3　条件		2012-2-20	20	福山	4	(馬齢)		5	270	2	5.0	100	1.0	1.0	120	2.0	6.0	120	3.0	1-5	410	1	5=>1	590	1	1-5-6	400	1	5=>1=>6	1390	1	26815374	26815374	26815347	(2,6),(1,5,8),3,4,7														
