	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201230042511	ダ	右	1200	曇	稍重	20:35	北斗盃〔H2〕	G	2012-4-25	1	門別	1	(馬齢)		5.0	200.0	1.0	5.0	120	1.0	14.0	290	5.0	4.0	180.0	3.0	4-8	1960.0	7.0	5-14	3740.0	8.0	5=>14	5230.0	15.0	4-5-14	5010.0	12.0	5=>14=>4	23490.0	55.0			6,(7,10,11),5,(1,14),9,12,(3,4),8,13,2	6,(7,10,11),(1,5),14,(9,12),4,3,8,(13,2)											
201230042601	ダ	右	1700	曇	良	15:55	C4　ー4組		2012-4-26	1	門別	2	80万円以下	(馬齢)	1.0	120.0	1.0	1.0	100	1.0	3.0	100	2.0							1-3	100.0	1.0	1=>3	150.0	1.0	1-2-3	420.0	3.0	1=>3=>2	700.0	3.0	132546	132546	132564	1,3,2-5,6,4											
201230042602	ダ	右	1000	曇	良	16:25	C4　ー4組		2012-4-26	1	門別	2	80万円以下	(馬齢)	4.0	210.0	1.0	4.0	100	1.0	1.0	120	2.0	7.0	130.0	3.0	1-4	320.0	1.0	1-4	360.0	1.0	4=>1	740.0	3.0	1-4-7	370.0	1.0	4=>1=>7	1450.0	1.0			1,4,9,5,(2,3),7,8-6	(1,4)-9,3,(2,5,7),8-6											
201230042603	ダ	右	1200	曇	良	16:55	二風谷ファミリーラン		2012-4-26	1	門別	2	80万円以下	(馬齢)	4.0	120.0	1.0	4.0	100	1.0	10.0	310	6.0	7.0	440.0	8.0	4-7	610.0	3.0	4-10	780.0	4.0	4=>10	870.0	3.0	4-7-10	7420.0	22.0	4=>10=>7	23500.0	65.0			(10,4),(3,6),2,11,12,(5,9),7,8,1	4,10,(2,3,6),11,12,(5,9),7,(1,8)											
201230042604	ダ	右	1200	曇	良	17:25	沙流ユーカラ街道賞		2012-4-26	1	門別	2	100万円以下	(馬齢)	7.0	3140.0	8.0	7.0	1,830	11.0	6.0	240	3.0	2.0	780.0	9.0	5-6	11190.0	27.0	6-7	82340.0	60.0	7=>6	191260.0	115.0	2-6-7	95160.0	152.0	7=>6=>2	954480.0	927.0			(5,6,7),11,(1,4,10),9,3,2,12,8	(6,7),(5,11),(1,4,10),9,3,2-(12,8)											
201230042605	ダ	右	1000	曇	良	18:00	3歳条件　未勝利		2012-4-26	1	門別	2	(馬齢)		4.0	190.0	1.0	4.0	130	1.0	7.0	150	2.0	5.0	590.0	7.0	4-7	420.0	1.0	4-7	560.0	2.0	4=>7	770.0	1.0	4-5-7	8960.0	24.0	4=>7=>5	25220.0	100.0			(3,4),6,2,7,1,9,5,8	(3,4),6,2,7,(5,1,9)-8											
201230042606	ダ	右	1200	曇	良	18:30	3歳条件　未勝利		2012-4-26	1	門別	2	(馬齢)		2.0	160.0	1.0	2.0	100	1.0	6.0	340	6.0	8.0	240.0	4.0	2-6	1420.0	4.0	2-6	1060.0	5.0	2=>6	1230.0	5.0	2-6-8	3030.0	11.0	2=>6=>8	8970.0	32.0			(2,8,7),9,(1,3,10),4,5,6	(2,8,7),(1,9),3,(4,10),5,6											
201230042607	ダ	右	1700	曇	良	19:00	3歳条件　オープン		2012-4-26	1	門別	2	(別定)		8.0	2130.0	6.0	8.0	510	7.0	6.0	120	2.0	1.0	200.0	3.0				6-8	990.0	4.0	8=>6	5270.0	12.0	1-6-8	1870.0	6.0	8=>6=>1	21560.0	70.0	48216357	4,8,2,(1,6),3,7,5	(4,8),(1,6),2,3,7,5	(4,8),(1,6),2,5,3,7											
201230042608	ダ	右	1200	曇	良	19:30	リーディングジョッキ 		2012-4-26	1	門別	2	160万円以下	(馬齢)	12.0	1680.0	6.0	12.0	360	6.0	8.0	320	4.0	2.0	240.0	3.0	6-8	1830.0	8.0	8-12	3450.0	12.0	12=>8	7920.0	24.0	2-8-12	6490.0	22.0	12=>8=>2	54210.0	166.0			6,10,9,(4,8),(3,5),(2,1),12,11,7	6,10,9,(3,4,8),(2,5),1,12,11,7											
201230042609	ダ	右	1700	曇	良	20:00	リーディングジョッキ 		2012-4-26	1	門別	2	160万円以下	(馬齢)	3.0	590.0	4.0	3.0	170	4.0	6.0	130	1.0	4.0	150.0	2.0	3-6	1180.0	5.0	3-6	1000.0	3.0	3=>6	2270.0	7.0	3-4-6	1930.0	6.0	3=>6=>4	10760.0	31.0	473159628	4,7,3,1,5-9,6,2,8	4,(7,3),(1,5),(9,6),2,8	(4,3),1,5,7,(2,9,6),8											
201230050301	ダ	右	1200	曇	良	15:15	C4　ー4組		2012-5-3	1	門別	3	80万円以下	(馬齢)	2.0	120.0	1.0	2.0	100	1.0	5.0	150	2.0							2-5	190.0	1.0	2=>5	260.0	1.0	2-5-6	460.0	2.0	2=>5=>6	720.0	2.0			5,6,(1,2),3,4	562134											
201230050302	ダ	右	1200	曇	良	15:45	3歳条件　未勝利		2012-5-3	1	門別	3	(馬齢)		6.0	350.0	3.0	6.0	190	3.0	5.0	410	4.0							5-6	1740.0	9.0	6=>5	2940.0	14.0	3-5-6	770.0	3.0	6=>5=>3	7360.0	32.0			5,6,(1,7),2,(4,3)	5,6,1,7,(2,4,3)											
201230050303	ダ	右	1700	曇	良	16:20	3歳条件　未勝利		2012-5-3	1	門別	3	(馬齢)		6.0	230.0	2.0	6.0	160	2.0	1.0	360	4.0							1-6	1350.0	5.0	6=>1	1710.0	8.0	1-2-6	510.0	2.0	6=>1=>2	3860.0	13.0	6,(5,7),1,(2,3)	6,5,(1,7),(2,3)	6,5,(1,7),2,3	6,(1,5),2,7,3											
201230050304	ダ	右	1000	雨	良	16:55	3歳条件　未勝利		2012-5-3	1	門別	3	(馬齢)		1.0	230.0	2.0	1.0	110	2.0	2.0	110	1.0	4.0	120.0	3.0				1-2	210.0	1.0	1=>2	430.0	1.0	1-2-4	180.0	1.0	1=>2=>4	660.0	1.0			1,(2,4),(3,5),6,7,8	1,(2,4),3,6,5,7,8											
201230050305	ダ	右	1000	雨	良	17:30	C4　ー2組		2012-5-3	1	門別	3	80万円以下	(馬齢)	6.0	290.0	2.0	6.0	170	2.0	1.0	190	3.0							1-6	390.0	1.0	6=>1	760.0	3.0	1-3-6	890.0	4.0	6=>1=>3	3100.0	11.0			5,6,(1,3),7,(2,4)	(5,6),(1,3),7,(2,4)											
201230050306	ダ	右	1000	雨	良	18:05	JRA認定フレッシュ		2012-5-3	1	門別	3	(馬齢)		7.0	1210.0	4.0	7.0	310	5.0	6.0	770	8.0	5.0	2,040	10.0	6-7	13450.0	19.0	6-7	13390.0	27.0	7=>6	37090.0	53.0	5-6-7	75500.0	89.0	7=>6=>5	2570420.0	672.0			7,(1,9,10),6,5,3,8,(2,4)	7,(1,10),9,(6,5),3,(8,4),2											
201230050307	ダ	右	1700	雨	稍重	18:35	早苗月特別 		2012-5-3	1	門別	3	120万円以下	(馬齢)	3.0	200.0	2.0	3.0	110	2.0	5.0	110	1.0							3-5	170.0	1.0	3=>5	350.0	2.0	3-5-6	250.0	2.0	3=>5=>6	860.0	4.0	245631	2,4,5,(3,6),1	(2,3),(5,6),4,1	3,2,(5,6),4,1											
201230050308	ダ	右	1200	雨	稍重	19:05	C4　ー3組		2012-5-3	1	門別	3	80万円以下	(馬齢)	1.0	690.0	3.0	1.0	210	6.0	12.0	130	1.0	10.0	130	2.0	1-8	480.0	2.0	1-12	960.0	5.0	1=>12	1610.0	7.0	1-10-12	710.0	1.0	1=>12=>10	4930.0	12.0			(10,11),12,1,(2,3),(5,7),4,6	10,12,11,1,2,3,(4,7),(6,5)											
201230050309	ダ	右	1200	雨	稍重	19:35	C4　ー1組		2012-5-3	1	門別	3	80万円以下	(馬齢)	6.0	1080.0	6.0	6.0	320	6.0	9.0	260	5.0	7.0	200	2.0	6-7	1040.0	4.0	6-9	4880.0	15.0	6=>9	16330.0	42.0	6-7-9	10760.0	30.0	6=>9=>7	98160.0	222.0			(1,6,7),10,(9,11),(3,4),8,5,2	6,1,7,10,(9,11),(3,4),5,8,2											
201230050310	ダ	右	1200	雨	稍重	20:05	エメラルド特別 		2012-5-3	1	門別	3	500万円以下	(別定)	4.0	1600.0	6.0	4.0	250	5.0	1.0	120	1.0	6.0	180	4.0	1-4	2090.0	9.0	1-4	1710.0	4.0	4=>1	4550.0	16.0	1-4-6	2090.0	6.0	4=>1=>6	18640.0	63.0			235864179	3,(2,5),(8,6),4,1,7-9											
201230050311	ダ	右	1700	雨	重	20:40	日高町長杯「門別温泉 		2012-5-3	1	門別	3	(別定)		5.0	1110.0	6.0	5.0	330	6.0	7.0	200	3.0	9.0	580	8.0	5-6	1490.0	7.0	5-7	3910.0	13.0	5=>7	8950.0	32.0	5-7-9	24070.0	54.0	5=>7=>9	148450.0	309.0	(1,2),3,7,9,(5,11,8),4,6,12	1,2,3-7,(9,11,8),(4,5),6,12	1,7,(3,8),(9,11),(2,5),(4,6)-12	(1,7),(9,3),(8,11,5)-4,6,2,12											
201230050401	ダ	右	1200	雨	不良	15:25	3歳条件　未勝利		2012-5-4	1	門別	4	(馬齢)		5.0	240.0	2.0	5.0	190	2.0	4.0	450	4.0							4-5	1030.0	4.0	5=>4	1520.0	6.0	4-5-6	390.0	2.0	5=>4=>6	3040.0	11.0			5,(2,6),4,3,7,1	5,2,6,4,3,7-1											
201230050402	ダ	右	1000	雨	不良	15:55	C4　ー4組		2012-5-4	1	門別	4	80万円以下	(馬齢)	7.0	200.0	1.0	7.0	100	1.0	2.0	140	4.0	4.0	100	2.0				2-7	410.0	2.0	7=>2	640.0	2.0	2-4-7	360.0	1.0	7=>2=>4	1430.0	3.0			(2,4),5,7-(3,8),6,1	2,4,7,5-(3,6,8),1											
201230050403	ダ	右	1000	雨	不良	16:30	C4　ー1組		2012-5-4	1	門別	4	80万円以下	(馬齢)	3.0	160.0	1.0	3.0	130	1.0	7.0	320	5.0							3-7	800.0	3.0	3=>7	1080.0	5.0	2-3-7	690.0	2.0	3=>7=>2	3170.0	14.0			3,7,5,(2,6),1,4	3,7,2,(5,6),(1,4)											
201230050404	ダ	右	1000	雨	不良	17:00	3歳条件　未勝利		2012-5-4	1	門別	4	(馬齢)		2.0	230.0	1.0	2.0	100	1.0	6.0	120	3.0	9.0	120	2.0	2-6	510.0	2.0	2-6	610.0	2.0	2=>6	930.0	3.0	2-6-9	360.0	1.0	2=>6=>9	1740.0	2.0			6,2,5,(1,8),4,7,9	6,2,(5,8),1,4,(7,9)											
201230050405	ダ	右	1000	雨	不良	17:30	JRA認定フレッシュ		2012-5-4	1	門別	4	(馬齢)		7.0	150.0	1.0	7.0	130	1.0	1.0	480	6.0							1-7	1210.0	5.0	7=>1	2030.0	6.0	1-5-7	900.0	3.0	7=>1=>5	5410.0	17.0			(5,7),3,(1,2),6,4	(5,7),3,1,2,6,4											
201230050406	ダ	右	1200	雨	不良	18:05	JRA認定フレッシュ		2012-5-4	1	門別	4	(馬齢)		3.0	280.0	2.0	3.0	190	3.0	10.0	240	6.0	1.0	200	4.0	3-8	1200.0	6.0	3-10	1130.0	7.0	3=>10	1600.0	6.0	1-3-10	2580.0	9.0	3=>10=>1	11290.0	35.0			10,1,5,(3,2),4,6,9-7,8	10,(3,1),5,(6,2,4),9-(8,7)											
201230050407	ダ	右	1700	雨	不良	18:35	橘月特別 		2012-5-4	1	門別	4	80万円以下	(馬齢)	4.0	240.0	1.0	4.0	110	1.0	6.0	480	6.0							4-6	1250.0	8.0	4=>6	1550.0	5.0	1-4-6	1230.0	5.0	4=>6=>1	8100.0	37.0	3,(4,5),(1,2,6,7)	3,4,5,2,(1,6,7)	(3,4),(1,2),5,6,7	(3,4),(1,2),(6,5),7											
201230050408	ダ	右	1000	雨	不良	19:05	3歳条件　4ー1組		2012-5-4	1	門別	4	100万円以下	(馬齢)	5.0	1460.0	6.0	5.0	220	6.0	9.0	100	1.0	4.0	130	2.0	5-8	810.0	5.0	5-9	750.0	4.0	5=>9	1940.0	8.0	4-5-9	890.0	3.0	5=>9=>4	8570.0	28.0			594123876	5,9,4,1,2,3,(8,6),7											
201230050409	ダ	右	1200	雨	不良	19:35	リボンナポリン特別 		2012-5-4	1	門別	4	120万円以下	(馬齢)	1.0	130.0	1.0	1.0	110	2.0	5.0	100	1.0	7.0	300	7.0				1-5	350.0	2.0	1=>5	390.0	1.0	1-5-7	1560.0	6.0	1=>5=>7	3090.0	9.0			1,(3,7),(2,5,6,8),4	1,7,3,2,(5,6),8,4											
201230050410	ダ	右	1800	雨	不良	20:05	サッポロ大地のZER 		2012-5-4	1	門別	4	500万円以下	(別定)	12.0	510.0	3.0	12.0	150	2.0	6.0	170	4.0	3.0	110	1.0	5-8	1260.0	6.0	6-12	2200.0	9.0	12=>6	3880.0	17.0	3-6-12	1460.0	3.0	12=>6=>3	11320.0	27.0	11,7,6,(3,2),(1,12),8,5,9,4,10	11,6,7,2,3,(1,12),8,(5,9),4,10	11,(6,12),(7,2),(3,1),9,(8,5),4,10	12,(11,6),7,3,(2,1,9),(4,5),10,8											
201230050901	ダ	右	1000	晴	良	15:25	3歳条件　未勝利		2012-5-9	2	門別	1	(馬齢)		6.0	160.0	1.0	6.0	100	1.0	2.0	120	2.0							2-6	170.0	1.0	6=>2	260.0	1.0	2-3-6	3540.0	7.0	6=>2=>3	7320.0	18.0			2,(4,6),3,(5,7),1	2,6,4,3,(5,7),1											
201230050902	ダ	右	1700	晴	良	15:55	3歳条件　4ー1組		2012-5-9	2	門別	1	100万円以下	(馬齢)	5.0	250.0	2.0	5.0	140	2.0	1.0	150	3.0							1-5	650.0	3.0	5=>1	740.0	3.0	1-5-6	400.0	3.0	5=>1=>6	2020.0	8.0	4,1,5,6,(2,3)	4,(1,5),6,2,3	(4,1,5),6,(2,3)	(4,1,5),6,(2,3)											
201230050903	ダ	右	1200	晴	良	16:25	C4　ー4組		2012-5-9	2	門別	1	80万円以下	(馬齢)	10.0	340.0	2.0	10.0	160	2.0	8.0	110	1.0	7.0	380	8.0	7-8	410.0	1.0	8-10	480.0	2.0	10=>8	1110.0	5.0	7-8-10	7120.0	24.0	10=>8=>7	27010.0	76.0			2,10,(3,4),(7,8),6,1,9,5	(2,10),(3,4),(7,8),6,1,9,5											
201230050904	ダ	右	1000	晴	良	16:55	C4　ー3組		2012-5-9	2	門別	1	80万円以下	(馬齢)	4.0	760.0	3.0	4.0	350	5.0	3.0	300	3.0	6.0	180	2.0	3-4	1560.0	7.0	3-4	1150.0	5.0	4=>3	3970.0	16.0	3-4-6	2470.0	9.0	4=>3=>6	15170.0	48.0			4,7,9,6,(1,8),(2,3),5	476983125											
201230050905	ダ	右	1700	晴	良	17:25	C4　ー3組		2012-5-9	2	門別	1	80万円以下	(別定)	3.0	460.0	2.0	3.0	140	3.0	7.0	100	1.0	8.0	150	4.0	3-7	440.0	2.0	3-7	420.0	2.0	3=>7	1090.0	4.0	3-7-8	930.0	3.0	3=>7=>8	5180.0	15.0	7,5,6,(1,3,9),8,4,2	7,5,6,(1,9),3,(4,8),2	7,(5,6),1,9,3,8,4,2	7,(1,6),3,9,5,(4,8)-2											
201230050906	ダ	右	1000	晴	良	18:00	JRA認定フレッシュ		2012-5-9	2	門別	1	(馬齢)		10.0	840.0	4.0	10.0	170	2.0	1.0	290	5.0	7.0	550	9.0	1-8	1980.0	7.0	1-10	3500.0	11.0	10=>1	7980.0	26.0	1-7-10	28980.0	87.0	10=>1=>7	162500.0	386.0			2,10,5,9,(1,7),11,8,3,4	2,10,1,7,5,9,4,(3,11),8											
201230050907	ダ	右	1200	晴	良	18:30	C3　ー1組		2012-5-9	2	門別	1	120万円以下	(別定)	5.0	3530.0	10.0	5.0	470	10.0	3.0	120	1.0	8.0	130	2.0	3-5	1090.0	5.0	3-5	3120.0	12.0	5=>3	5720.0	22.0	3-5-8	2850.0	8.0	5=>3=>8	30830.0	88.0			(6,8),9,5,10,11,(7,12),3,4,2,1	(5,8),6,(3,9),7,(10,11),12,4,2-1											
201230050908	ダ	右	1200	晴	良	19:00	3歳条件　オープン		2012-5-9	2	門別	1	(別定)		2.0	260.0	2.0	2.0	210	3.0	9.0	220	4.0	8.0	150	2.0	2-7	1280.0	8.0	2-9	2280.0	9.0	2=>9	4590.0	17.0	2-8-9	1500.0	3.0	2=>9=>8	11640.0	34.0			2,(9,10),1,(5,8),3,4,(7,6),11,12	2,(9,10),(1,8),5,3,4,6,11,7,12											
201230050909	ダ	右	1200	晴	良	19:30	鈴蘭特別 		2012-5-9	2	門別	1	160万円以下	(馬齢)	9.0	240.0	1.0	9.0	130	1.0	4.0	130	2.0	11.0	150	4.0	4-7	400.0	1.0	4-9	380.0	1.0	9=>4	670.0	1.0	4-9-11	700.0	2.0	9=>4=>11	2910.0	4.0			9,7,11,(10,12),6,(2,8),(3,5),4,1	9,7,11,6,10,(2,3,12,8,4),5,1											
201230050910	ダ	右	1700	晴	良	20:00	花水木特別 		2012-5-9	2	門別	1	160万円以下	(馬齢)	3.0	140.0	1.0	3.0	100	1.0	2.0	110	2.0	1.0	120	3.0	2-3	440.0	2.0	2-3	520.0	2.0	3=>2	640.0	2.0	1-2-3	540.0	1.0	3=>2=>1	1840.0	2.0	4,8,(2,3),6,1,7,9-5	4,8,(2,3),6,1-7,9-5	(4,8),3,2,6,1-(7,9)-5	4,8,3,2,1,6,9,7-5											
201230050911	ダ	右	1800	晴	良	20:35	ソングオブウインド賞 		2012-5-9	2	門別	1	250万円以下	(別定)	6.0	190.0	1.0	6.0	120	1.0	4.0	290	6.0	10.0	170	4.0	4-6	1110.0	4.0	4-6	1170.0	4.0	6=>4	1320.0	5.0	4-6-10	2000.0	9.0	6=>4=>10	7310.0	25.0	9,1,(2,6),4,(5,8),(3,10),7	9,(1,2),6,4,(5,8,10),(3,7)	9,(1,2,6),(4,5),7,10,8,3	9,6,2,(4,1),(5,10),7,8,3											
201230051001	ダ	右	1200	雨	良	15:25	3歳条件　未勝利		2012-5-10	2	門別	2	(馬齢)		3.0	190.0	1.0	3.0	120	1.0	2.0	140	2.0							2-3	240.0	1.0	3=>2	510.0	1.0	2-3-7	240.0	1.0	3=>2=>7	970.0	1.0			3,4,(2,7,6,5),1	3,(2,4),(7,6),5,1											
201230051002	ダ	右	1000	雨	稍重	15:55	3歳条件　未勝利		2012-5-10	2	門別	2	(馬齢)		7.0	1030.0	4.0	7.0	260	3.0	1.0	180	2.0							1-7	3250.0	8.0	7=>1	7080.0	16.0	1-4-7	7710.0	17.0	7=>1=>4	76860.0	106.0			(3,6,7),(1,4),5,2	3,(6,7),1,(4,5),2											
201230051003	ダ	右	1700	雨	稍重	16:25	C4　ー2組		2012-5-10	2	門別	2	80万円以下	(馬齢)	7.0	280.0	2.0	7.0	140	2.0	4.0	120	1.0							4-7	360.0	2.0	7=>4	730.0	4.0	2-4-7	2020.0	7.0	7=>4=>2	9220.0	31.0	3,1,4,2,(5,6),7	3,1,4,2,(5,6),7	3,(1,4),(5,6),2,7	(3,1,4),7,(5,6),2											
201230051004	ダ	右	1000	雨	稍重	16:55	C4　ー4組		2012-5-10	2	門別	2	80万円以下	(馬齢)	5.0	110.0	1.0	5.0	100	1.0	4.0	130	3.0	6.0	190	4.0				4-5	220.0	1.0	5=>4	280.0	1.0	4-5-6	530.0	2.0	5=>4=>6	970.0	2.0			(5,7),(1,4),(2,3,6)=8	(5,7),(1,4),(2,6),3=8											
201230051005	ダ	右	1200	雨	稍重	17:25	C4　ー2組		2012-5-10	2	門別	2	80万円以下	(馬齢)	3.0	150.0	1.0	3.0	110	1.0	10.0	130	3.0	11.0	110	2.0	3-7	320.0	1.0	3-10	300.0	1.0	3=>10	530.0	1.0	3-10-11	520.0	1.0	3=>10=>11	1330.0	1.0			11,3,10,(9,4),12,7,8,2,(1,6),5	11,3,10,9,4,7,12,(2,8),(1,6),5											
201230051006	ダ	右	1200	雨	稍重	18:00	JRA認定フレッシュ		2012-5-10	2	門別	2	(馬齢)		9.0	760.0	3.0	9.0	280	6.0	10.0	160	3.0	4.0	110	1.0	7-8	1170.0	5.0	9-10	2680.0	9.0	9=>10	7020.0	20.0	4-9-10	1210.0	3.0	9=>10=>4	20920.0	66.0			(9,11),10,(2,7),(8,4),3,6,(1,5)	9,11-(7,10),(2,4),(3,8),(1,6),5											
201230051007	ダ	右	1200	雨	稍重	18:30	3歳条件　4ー1組		2012-5-10	2	門別	2	100万円以下	(馬齢)	6.0	140.0	1.0	6.0	120	1.0	7.0	270	5.0	1.0	210	4.0	6-6	750.0	4.0	6-7	1260.0	5.0	6=>7	1740.0	7.0	1-6-7	1630.0	6.0	6=>7=>1	7300.0	24.0			(2,5),(10,11),1,6,9,(3,7),4,8	(2,5),11,10,6,1,(3,9),7,4,8											
201230051008	ダ	右	1200	曇	稍重	19:00	C2　ー2組		2012-5-10	2	門別	2	160万円以下	(馬齢)	8.0	350.0	2.0	8.0	170	2.0	1.0	180	3.0	11.0	370	6.0	1-7	750.0	4.0	1-8	840.0	3.0	8=>1	1840.0	7.0	1-8-11	4010.0	14.0	8=>1=>11	20800.0	64.0			(4,10),6,9,8,5,2,1,7,11,3	10,4,6,9,8,2,(5,1),(7,11),3											
201230051009	ダ	右	1700	曇	稍重	19:30	つつじ特別 		2012-5-10	2	門別	2	160万円以下	(馬齢)	8.0	480.0	3.0	8.0	160	2.0	7.0	180	4.0	6.0	470	7.0				7-8	670.0	3.0	8=>7	1360.0	5.0	6-7-8	3430.0	14.0	8=>7=>6	13450.0	50.0	17826345	1,7,8,2,6,(3,4),5	7,(1,8),(2,6),(3,4,5)	(7,8),1,2,6,(3,4,5)											
201230051601	ダ	右	1000	曇	稍重	14:55	C4　ー4組		2012-5-16	2	門別	3	80万円以下	(馬齢)	8.0	110.0	1.0	8.0	100	1.0	2.0	100	2.0	1.0	290	5.0				2-8	130.0	1.0	8=>2	160.0	1.0	1-2-8	660.0	3.0	8=>2=>1	1250.0	4.0			(2,8),7-5,6,1,3	(2,8),7-1,5,6,3											
