	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	枠単:的中	枠単:配当	枠単:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201248010409	ダ	右	1600	晴	良	15:45	初夢特別 		2012-1-4	20	名古屋	4	(定量)		3	1350	5	3.0	220	5.0	1.0	170	3.0	1-3	3410	12	3=>1	10610	27.0	1-3-8	2850	11.0	3=>1=>8	34590	83.0		1,3,7,(2,8),6,4,9,5	1,3,7,(2,8),(6,4,9),5	1,3,7,8,(2,4),9,6,5			8.0	120.0	2.0	1-3	3750.0	11.0	3=>1	6290.0	22.0									
201248010410	ダ	右	1600	晴	良	16:20	名古屋LJケンタウロ 		2012-1-4	20	名古屋	4			7	7770	11	7.0	2,000	11.0	9.0	3,100	12.0	7-9	133580	66	7=>9	307290	130.0	7-8-9	491660	209.0	7=>9=>8	3533660	1202.0		212610814539117.0	212810631547911.0	210781195364121.0			8.0	280.0	4.0	6-7	3430.0	14.0	6=>7	5130.0	23.0									
201248010601	ダ	右	1400	曇	良	11:00	3歳キング 		2012-1-6	20	名古屋	5	(定量)		3	210	1	3.0	130	2.0	4.0	130	1.0	3-4	160	1	3=>4	350	1.0	2-3-4	230	2.0	3=>4=>2	1220	5.0		12345.0	12345.0	12345.0																				
201248010602	ダ	右	1400	曇	良	11:35	サラC13組		2012-1-6	20	名古屋	5	(定量)		5	580	2	5.0	100	2.0	4.0	100	1.0	4-5	120	1	5=>4	970	3.0	4-5-6	210	1.0	5=>4=>6	2970	7.0		45813762	4,5,8,(1,7),(3,6),2	45176832			6.0	110.0	3.0															
201248010603	ダ	右	1400	曇	良	12:10	サラC12組		2012-1-6	20	名古屋	5	(定量)		2	170	1	2.0	100	2.0	1.0	160	5.0	1-2	990	2	2=>1	1460	4.0	1-2-5	210	1.0	2=>1=>5	2260	8.0		1,5,(4,7),2,6,9,8,3	1,5,(4,2),7,6,9,8,3	154276938			5.0	100.0	1.0	1-2	1310.0	2.0	2=>1	2120.0	4.0									
201248010604	ダ	右	1400	曇	良	12:45	サラC11組		2012-1-6	20	名古屋	5	(定量)		8	170	1	8.0	110	1.0	4.0	120	2.0	4-8	240	1	8=>4	430	1.0	4-5-8	610	2.0	8=>4=>5	1870	4.0		2,8,(1,9),4,6,7,5,3	2,8,9,4,1,(5,6),7,3	284519673			5.0	160.0	4.0	4-8	230.0	1.0	8=>4	390.0	1.0									
201248010605	ダ	右	800	曇	良	13:20	サラC10組		2012-1-6	20	名古屋	5	(定量)		6	270	2	6.0	100	1.0	4.0	130	4.0	4-6	740	4	6=>4	1380	7.0	4-6-8	670	3.0	6=>4=>8	3600	17.0				469813275.0			8.0	110.0	2.0	4-6	790.0	4.0	6=>4	1440.0	6.0									
201248010606	ダ	右	1400	曇	良	13:55	サラC9組		2012-1-6	20	名古屋	5	(定量)		4	500	2	4.0	130	3.0	2.0	140	4.0	2-4	1190	5	4=>2	3130	10.0	2-4-5	310	1.0	4=>2=>5	5200	21.0		8,5,4,(2,6),1,3,7	5,(4,8),6,2,3,1,7	54623187			5.0	100.0	1.0															
201248010607	ダ	右	1400	曇	良	14:30	JAあいち尾東米花の		2012-1-6	20	名古屋	5	(定量)		4	150	1	4.0	100	1.0	3.0	110	2.0	3-4	150	1	4=>3	210	1.0	3-4-7	1370	4.0	4=>3=>7	2620	8.0		3,4,(1,6),5,8,2,7,9	3,4,6,8,(1,5),7,2,9	346758219			7.0	260.0	6.0	3-4	140.0	1.0	4=>3	280.0	1.0									
201248010608	ダ	右	1400	曇	良	15:05	麻衣子誕生日記念トレ		2012-1-6	20	名古屋	5	(定量)		7	720	3	7.0	260	3.0	4.0	690	6.0	4-7	7890	12	7=>4	14620	19.0	4-7-9	33160	26.0	7=>4=>9	213590	133.0		5,7,9,(2,8),4,1,6,3	5,(7,9),(2,8),4,1,6,3	579248316			9.0	600.0	5.0	4-7	6500.0	8.0	7=>4	10960.0	16.0									
201248010609	ダ	右	1400	曇	良	15:40	東雲賞		2012-1-6	20	名古屋	5	(定量)		7	620	4	7.0	140	3.0	9.0	100	1.0	7-9	380	1	7=>9	1150	5.0	2-7-9	3050	10.0	7=>9=>2	16310	45.0		1,2,7,(4,9),5,8,3,10,6	1,2,7,9,(4,5),8,10,6,3	27914851063			2.0	430.0	6.0	7-8	190.0	1.0	7=>8	680.0	3.0									
201248010610	ダ	右	1600	曇	良	16:20	新春ペガサスカップ	G	2012-1-6	20	名古屋	5	(定量)		6	1560	5	6.0	320	5.0	8.0	360	6.0	6-8	10280	30	6=>8	22930	58.0	2-6-8	19390	56.0	6=>8=>2	173270	358.0		24910173856.0	24910385716.0	28657310149.0			2.0	180.0	3.0	6-7	2390.0	9.0	6=>7	6330.0	24.0									
201248010701	ダ	右	800	晴	良	11:00	祝結婚!博文☆裕美の		2012-1-7	20	名古屋	6	(定量)		3	370	2	3.0	110	2.0	1.0	100	1.0	1-3	150	1	3=>1	510	2.0	1-3-4	230	2.0	3=>1=>4	1000	4.0				134256.0																				
201248010702	ダ	右	1400	晴	良	11:35	サラ3歳9組		2012-1-7	20	名古屋	6	(定量)		5	110	1	5.0	110	1.0	4.0	160	2.0	4-5	260	2	5=>4	270	2.0	4-5-7	240	1.0	5=>4=>7	520	2.0		5743261	5-7,4,2,3-1,6	5-7,4,2,3,1-6																				
201248010703	ダ	右	1400	晴	良	12:10	サラC6組		2012-1-7	20	名古屋	6	(定量)		5	840	3	5.0	190	3.0	7.0	120	1.0	5-7	530	2	5=>7	2800	7.0	3-5-7	200	1.0	5=>7=>3	4580	17.0		3,5,7,4,(2,6),1	3574621	3,5,7-4,2,6,1																				
201248010704	ダ	右	1400	晴	良	12:45	サラC5組		2012-1-7	20	名古屋	6	(定量)		7	140	1	7.0	110	1.0	5.0	150	2.0	5-7	460	3	7=>5	520	3.0	4-5-7	250	1.0	7=>5=>4	820	2.0		2,(7,5),1,3,6,4	2,7,(4,5),(1,6),3	2754163																				
201248010705	ダ	右	1400	晴	良	13:20	小林甚也・藍入籍記念		2012-1-7	20	名古屋	6	(定量)		3	780	5	3.0	180	5.0	5.0	170	4.0	3-5	4010	14	3=>5	6440	22.0	3-5-8	1160	5.0	3=>5=>8	19880	62.0		32678154	3,2,(6,8),7,1,5,4	3,2,8,5,6,7,1-4			8.0	110.0	1.0															
201248010706	ダ	右	1400	晴	良	13:55	チームトウカイテイオ		2012-1-7	20	名古屋	6	(定量)		4	240	2	4.0	100	2.0	9.0	170	4.0	4-9	1020	2	4=>9	1500	3.0	1-4-9	370	1.0	4=>9=>1	2690	7.0		4,5,(8,9),7,1,6,3,2	459871632	4,9,(8,5),1,7,6,3-2			1.0	100.0	1.0	4-8	490.0	2.0	4=>8	670.0	3.0									
201248010707	ダ	右	1400	晴	良	14:30	シンプライズ記		2012-1-7	20	名古屋	6	(定量)		6	540	3	6.0	340	5.0	5.0	310	4.0	5-6	8160	17	6=>5	12740	29.0	5-6-9	22630	42.0	6=>5=>9	115900	196.0		239816574	2,3,9,5,6,(4,7,8,1)	253694718			9.0	380.0	6.0	5-6	12770.0	21.0	6=>5	10880.0	28.0									
201248010708	ダ	右	1400	晴	良	15:05	系統豚シンボルマーク		2012-1-7	20	名古屋	6	(定量)		4	120	1	4.0	100	1.0	7.0	140	2.0	4-7	300	1	4=>7	350	2.0	4-6-7	1060	4.0	4=>7=>6	2210	8.0		7,1,8,(2,6),4,3,5	7,1,8,(4,6),2,3,5	71864235			6.0	190.0	5.0															
201248010709	ダ	右	1600	晴	良	15:40	千両特別 		2012-1-7	20	名古屋	6	(定量)		8	130	1	8.0	100	1.0	11.0	210	4.0	8-11	410	2	8=>11	470	1.0	3-8-11	1590	4.0	8=>11=>3	2760	5.0		11,8,2,9,(1,3),6,10,5,4,7	11,8,9,(3,2),1,4,6,7,5,10	1183924175610			3.0	410.0	7.0	7-8	300.0	1.0	7=>8	410.0	1.0									
201248010710	ダ	右	1400	晴	良	16:20	名古屋記念	G	2012-1-7	20	名古屋	6	(ハンデ)		4	190	1	4.0	100	1.0	2.0	110	2.0	2-4	320	2	4=>2	470	1.0	1-2-4	300	1.0	4=>2=>1	880	1.0		1,6,7,9,(2,4),3,8,5	1,6,7,(9,4),2,3,8,5	1,2,4,9,7,3,(6,8,5)			1.0	110.0	3.0	2-4	300.0	1.0	4=>2	520.0	2.0									
201248011601	ダ	右	1400	曇	良	11:00	サラC34組		2012-1-16	21	名古屋	1	(定量)		8	260	2	8.0	130	2.0	5.0	330	6.0	5-8	3260	8	8=>5	4800	14.0	2-5-8	5700	14.0	8=>5=>2	38470	76.0		7,8,(4,5),6,(1,3,9),2	785649312	7,8,5,6,2,1,(9,3,4)			2.0	230.0	4.0	5-8	4550.0	10.0	8=>5	10040.0	19.0									
201248011602	ダ	右	1400	曇	良	11:30	サラC33組		2012-1-16	21	名古屋	1	(定量)		7	390	2	7.0	160	3.0	9.0	110	1.0	7-9	520	2	7=>9	2220	9.0	6-7-9	320	1.0	7=>9=>6	1290	2.0		4,9,6,7-1,8,2,3,5	9,(4,6),7,8,1,3,2,5	976481352			6.0	260.0	4.0	7-8	470.0	2.0	7=>8	1220.0	7.0									
201248011603	ダ	右	800	曇	良	12:00	サラC32組		2012-1-16	21	名古屋	1	(定量)		8	840	4	8.0	280	6.0	9.0	130	2.0	8-9	1460	7	8=>9	5880	20.0	2-8-9	1010	2.0	8=>9=>2	15170	41.0				289457613.0			2.0	120.0	1.0	8-8	4230.0	9.0	8=>8	3960.0	12.0									
201248011604	ダ	右	1400	曇	良	12:30	サラC31組		2012-1-16	21	名古屋	1	(定量)		8	960	3	8.0	110	2.0	3.0	100	1.0	3-8	390	1	8=>3	1890	6.0	2-3-8	540	2.0	8=>3=>2	4860	14.0		138247596	1,3,8,2-4,5,7,9,6	382145769			2.0	130.0	3.0	3-8	330.0	1.0	8=>3	1210.0	6.0									
201248011605	ダ	右	1400	曇	良	13:00	サラC30組		2012-1-16	21	名古屋	1	(定量)		10	370	3	10.0	100	2.0	4.0	100	1.0	4-10	270	1	10=>4	560	3.0	3-4-10	240	1.0	10=>4=>3	1420	3.0		38941017526	3,(4,8),(10,9),1,6,7,5,2	34108961572			3.0	110.0	3.0	4-8	290.0	1.0	8=>4	520.0	2.0									
201248011606	ダ	右	1400	曇	良	13:30	サラC29組		2012-1-16	21	名古屋	1	(定量)		1	420	2	1.0	200	3.0	5.0	120	2.0	1-5	1670	8	1=>5	3910	18.0	1-5-8	4200	18.0	1=>5=>8	25110	88.0		8,3,5,(1,6,10),9,4,2,7	8,3,(5,10),1,4,9,6,2,7	8,5,10,1,(3,4),6,9,2,7			8.0	340.0	6.0	1-5	1730.0	9.0	1=>5	4690.0	22.0									
201248011607	ダ	右	1400	曇	良	14:00	サラC28組		2012-1-16	21	名古屋	1	(定量)		2	170	1	2.0	100	1.0	5.0	110	2.0	2-5	410	2	2=>5	650	2.0	2-4-5	300	1.0	2=>5=>4	1540	4.0		2,4,5,(7,10),8,6,1,9	2451078169	(2,5),4,7,8,10,9,1,6			4.0	140.0	4.0	2-5	400.0	2.0	2=>5	670.0	2.0									
201248011608	ダ	右	1400	曇	良	14:30	サラC27組		2012-1-16	21	名古屋	1	(定量)		3	180	1	3.0	100	1.0	5.0	100	2.0	3-5	180	1	3=>5	220	1.0	2-3-5	160	1.0	3=>5=>2	430	1.0		34256710981	3,(4,2),5,6,7,10,9,8,1	3,2,4,5,6,7,(1,9,8),10			2.0	110.0	3.0	3-5	190.0	1.0	3=>5	310.0	2.0									
201248011609	ダ	右	1600	曇	良	15:00	丹頂鶴特別 		2012-1-16	21	名古屋	1	(定量)		3	260	2	3.0	120	2.0	4.0	120	1.0	3-4	310	1	3=>4	400	1.0	3-4-6	1090	4.0	3=>4=>6	2980	12.0		6,(2,4),(1,3),8,9,7,5	6,2,(3,4),1,8,7,9-5	4,3,6,2,8,1,7,9-5			6.0	180.0	5.0	3-4	230.0	1.0	3=>4	590.0	1.0									
201248011701	ダ	右	1400	晴	良	11:00	サラC26組		2012-1-17	21	名古屋	2	(定量)		8	380	2	8.0	100	3.0	3.0	100	1.0	3-8	210	1	8=>3	680	4.0	3-6-8	280	2.0	8=>3=>6	1760	8.0		386174529	3,8,(6,7),1,4,5,2,9	386147529			6.0	100.0	2.0	3-8	160.0	1.0	8=>3	600.0	4.0									
201248011702	ダ	右	1400	晴	良	11:30	サラC25組		2012-1-17	21	名古屋	2	(定量)		9	400	2	9.0	100	1.0	7.0	100	2.0	7-9	170	1	9=>7	300	1.0	2-7-9	270	2.0	9=>7=>2	980	2.0		2,7,9,8,(3,6,4),5,1	279486351	279846135			2.0	250.0	5.0	7-8	190.0	1.0	8=>7	380.0	2.0									
201248011703	ダ	右	1400	晴	良	12:00	サラC24組		2012-1-17	21	名古屋	2	(定量)		3	180	1	3.0	100	1.0	5.0	100	2.0	3-5	150	1	3=>5	260	1.0	3-4-5	1090	3.0	3=>5=>4	2370	8.0		561378942	5,6,3,(1,9),8,4,7,2	539416872			4.0	380.0	6.0	3-5	140.0	1.0	3=>5	340.0	2.0									
201248011704	ダ	右	800	晴	良	12:30	サラC23組		2012-1-17	21	名古屋	2	(定量)		7	360	3	7.0	100	2.0	9.0	100	1.0	7-9	360	2	7=>9	860	5.0	5-7-9	140	1.0	7=>9=>5	1090	5.0				759328461.0			5.0	110.0	3.0	7-8	280.0	2.0	7=>8	700.0	5.0									
201248011705	ダ	右	1400	晴	良	13:05	サラ3歳3組		2012-1-17	21	名古屋	2	(定量)		8	1060	3	8.0	270	6.0	5.0	110	1.0	5-8	630	3	8=>5	1640	6.0	5-6-8	760	2.0	8=>5=>6	7500	24.0		6,5,7,(4,9,10),1,3,8,2	65710498312	6,5,7,(10,4,9,8),3,1,2			6.0	210.0	3.0	5-7	420.0	2.0	7=>5	1530.0	5.0									
201248011706	ダ	右	1400	晴	良	13:40	サラC22組		2012-1-17	21	名古屋	2	(定量)		6	250	1	6.0	100	1.0	10.0	100	3.0	6-10	570	3	6=>10	740	3.0	6-9-10	360	1.0	6=>10=>9	1710	3.0		6,10,9,(1,7),2,5,8,3,4	6,10,(7,9),1,8,5,2,3,4	61091728534			9.0	100.0	2.0	6-8	210.0	1.0	6=>8	330.0	1.0									
201248011801	ダ	右	1400	晴	良	11:00	サラC20組		2012-1-18	21	名古屋	3	(定量)		8	580	2	8.0	140	2.0	7.0	100	1.0	7-8	140	1	8=>7	930	4.0	5-7-8	730	4.0	8=>7=>5	4060	16.0		278913456	7,(2,8),9,1,3,5,4,6	783591426			5.0	250.0	6.0	7-8	130.0	1.0	8=>7	540.0	2.0									
